카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020년09월_여_40~49세,"11,073",344,377,973,257,220,324,187,268,"1,047","4,303","2,599",174,
2020년09월_여_50~59세,"9,174",570,419,"1,071",353,277,477,232,412,"1,215","2,166","1,603",379,
2020년09월_여_60~69세,"7,873",609,430,999,387,316,539,281,426,"1,028","1,504",872,482,
2020년09월_여_70~79세,"4,956",334,357,665,289,236,389,243,302,497,683,672,289,
2020년09월_여_80~89세,"2,355",184,207,300,119,108,233,107,147,272,285,260,133,
2020년09월_여_90~99세,464,42,43,64,24,29,49,15,26,62,47,31,32,
2020년09월_여_100세 이상,52,3,5,3,3,3,9,7,5,8,1,0,5,
2020년10월_계_총인구수,"139,391","6,320","5,248","13,355","4,093","3,372","5,975","2,902","4,574","15,668","43,314","30,446","4,124",
2020년10월_계_연령구간인구수,"139,391","6,320","5,248","13,355","4,093","3,372","5,975","2,902","4,574","15,668","43,314","30,446","4,124",
2020년10월_계_0~9세,"12,017",250,244,863,146,112,203,93,201,948,"7,116","1,746",95,
2020년10월_계_10~19세,"12,573",356,360,"1,127",289,208,296,151,335,"1,228","4,699","3,407",117,
2020년10월_계_20~29세,"19,198",654,546,"1,627",449,366,629,295,518,"2,125","4,056","7,650",283,
2020년10월_계_30~39세,"21,276",611,514,"1,628",394,305,653,239,477,"2,240","9,096","4,828",291,
2020년10월_계_40~49세,"24,483",861,816,"2,062",574,494,799,409,610,"2,563","9,214","5,574",507,
2020년10월_계_50~59세,"20,353","1,321",897,"2,299",745,640,"1,142",528,840,"2,786","4,473","3,760",922,
2020년10월_계_60~69세,"15,803","1,275",834,"1,994",734,613,"1,100",564,797,"2,253","2,796","1,801","1,042",
2020년10월_계_70~79세,"9,298",641,650,"1,190",533,436,731,415,530,"1,013","1,357","1,190",612,
2020년10월_계_80~89세,"3,710",290,323,484,190,162,342,173,219,423,445,448,211,
2020년10월_계_90~99세,602,57,58,75,36,33,67,25,35,76,60,41,39,
2020년10월_계_100세 이상,78,4,6,6,3,3,13,10,12,13,2,1,5,
2020년10월_남_총인구수,"72,267","3,407","2,649","6,772","2,084","1,741","3,145","1,508","2,259","8,712","21,779","15,898","2,313",
2020년10월_남_연령구간인구수,"72,267","3,407","2,649","6,772","2,084","1,741","3,145","1,508","2,259","8,712","21,779","15,898","2,313",
2020년10월_남_0~9세,"6,192",133,143,430,65,67,91,62,100,495,"3,661",902,43,
2020년10월_남_10~19세,"6,514",173,185,581,164,98,157,76,164,651,"2,401","1,808",56,
2020년10월_남_20~29세,"9,751",385,297,862,249,200,342,169,280,"1,224","1,982","3,578",183,
2020년10월_남_30~39세,"11,519",358,280,864,218,178,380,142,271,"1,356","4,419","2,866",187,
2020년10월_남_40~49세,"13,394",518,442,"1,092",319,274,473,225,338,"1,515","4,890","2,969",339,
2020년10월_남_50~59세,"11,170",751,479,"1,227",395,363,665,298,429,"1,561","2,306","2,155",541,
2020년10월_남_60~69세,"7,897",664,397,991,350,304,562,282,367,"1,227","1,282",911,560,
2020년10월_남_70~79세,"4,327",306,294,527,242,200,345,173,227,514,665,514,320,
2020년10월_남_80~89세,"1,327",102,114,181,69,53,108,67,67,146,159,184,77,
2020년10월_남_90~99세,150,16,17,14,13,4,18,11,9,18,13,10,7,
2020년10월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0,
2020년10월_여_총인구수,"67,124","2,913","2,599","6,583","2,009","1,631","2,830","1,394","2,315","6,956","21,535","14,548","1,811",
2020년10월_여_연령구간인구수,"67,124","2,913","2,599","6,583","2,009","1,631","2,830","1,394","2,315","6,956","21,535","14,548","1,811",
2020년10월_여_0~9세,"5,825",117,101,433,81,45,112,31,101,453,"3,455",844,52,
2020년10월_여_10~19세,"6,059",183,175,546,125,110,139,75,171,577,"2,298","1,599",61,
2020년10월_여_20~29세,"9,447",269,249,765,200,166,287,126,238,901,"2,074","4,072",100,
2020년10월_여_30~39세,"9,757",253,234,764,176,127,273,97,206,884,"4,677","1,962",104,
2020년10월_여_40~49세,"11,089",343,374,970,255,220,326,184,272,"1,048","4,324","2,605",168,
2020년10월_여_50~59세,"9,183",570,418,"1,072",350,277,477,230,411,"1,225","2,167","1,605",381,
2020년10월_여_60~69세,"7,906",611,437,"1,003",384,309,538,282,430,"1,026","1,514",890,482,
2020년10월_여_70~79세,"4,971",335,356,663,291,236,386,242,303,499,692,676,292,
2020년10월_여_80~89세,"2,383",188,209,303,121,109,234,106,152,277,286,264,134,
2020년10월_여_90~99세,452,41,41,61,23,29,49,14,26,58,47,31,32,
2020년10월_여_100세 이상,52,3,5,3,3,3,9,7,5,8,1,0,5,
2020년11월_계_총인구수,"139,646","6,315","5,263","13,383","4,081","3,383","5,960","2,895","4,554","15,665","43,415","30,623","4,109",
2020년11월_계_연령구간인구수,"139,646","6,315","5,263","13,383","4,081","3,383","5,960","2,895","4,554","15,665","43,415","30,623","4,109",
2020년11월_계_0~9세,"11,959",245,251,860,142,109,195,92,195,935,"7,089","1,755",91,
2020년11월_계_10~19세,"12,615",354,358,"1,131",287,212,297,149,333,"1,223","4,764","3,395",112,
2020년11월_계_20~29세,"19,184",655,546,"1,624",448,371,632,299,518,"2,107","4,042","7,654",288,
2020년11월_계_30~39세,"21,319",601,525,"1,619",389,300,648,238,470,"2,269","9,067","4,902",291,
2020년11월_계_40~49세,"24,541",857,813,"2,063",566,498,808,412,612,"2,536","9,286","5,594",496,
2020년11월_계_50~59세,"20,399","1,320",893,"2,313",754,644,"1,130",522,827,"2,794","4,484","3,800",918,
2020년11월_계_60~69세,"15,896","1,286",840,"2,003",734,617,"1,095",563,804,"2,271","2,809","1,824","1,050",
2020년11월_계_70~79세,"9,314",643,649,"1,194",530,437,731,414,528,"1,019","1,363","1,199",607,
2020년11월_계_80~89세,"3,732",292,324,494,193,160,342,171,219,419,447,459,212,
2020년11월_계_90~99세,608,58,57,76,35,32,69,25,36,79,62,40,39,
2020년11월_계_100세 이상,79,4,7,6,3,3,13,10,12,13,2,1,5,
2020년11월_남_총인구수,"72,385","3,405","2,656","6,792","2,082","1,742","3,133","1,502","2,257","8,694","21,833","15,990","2,299",
2020년11월_남_연령구간인구수,"72,385","3,405","2,656","6,792","2,082","1,742","3,133","1,502","2,257","8,694","21,833","15,990","2,299",
2020년11월_남_0~9세,"6,161",130,147,424,64,66,86,61,98,487,"3,642",914,42,
2020년11월_남_10~19세,"6,543",172,184,589,160,101,157,75,161,647,"2,441","1,803",53,
2020년11월_남_20~29세,"9,726",387,295,859,252,202,343,170,281,"1,206","1,981","3,564",186,
2020년11월_남_30~39세,"11,554",354,284,864,216,173,378,143,268,"1,369","4,410","2,906",189,
2020년11월_남_40~49세,"13,405",508,445,"1,093",313,272,478,225,342,"1,496","4,928","2,976",329,
2020년11월_남_50~59세,"11,210",758,475,"1,238",399,367,657,292,426,"1,569","2,305","2,187",537,
2020년11월_남_60~69세,"7,944",674,402,996,351,304,564,281,369,"1,236","1,287",918,562,
2020년11월_남_70~79세,"4,332",300,291,529,243,201,341,175,229,517,666,523,317,
2020년11월_남_80~89세,"1,334",106,115,182,71,52,107,66,66,146,159,187,77,
2020년11월_남_90~99세,150,15,17,15,13,4,18,11,10,16,13,11,7,
2020년11월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0,
2020년11월_여_총인구수,"67,261","2,910","2,607","6,591","1,999","1,641","2,827","1,393","2,297","6,971","21,582","14,633","1,810",
2020년11월_여_연령구간인구수,"67,261","2,910","2,607","6,591","1,999","1,641","2,827","1,393","2,297","6,971","21,582","14,633","1,810",
2020년11월_여_0~9세,"5,798",115,104,436,78,43,109,31,97,448,"3,447",841,49,
2020년11월_여_10~19세,"6,072",182,174,542,127,111,140,74,172,576,"2,323","1,592",59,
2020년11월_여_20~29세,"9,458",268,251,765,196,169,289,129,237,901,"2,061","4,090",102,
2020년11월_여_30~39세,"9,765",247,241,755,173,127,270,95,202,900,"4,657","1,996",102,
2020년11월_여_40~49세,"11,136",349,368,970,253,226,330,187,270,"1,040","4,358","2,618",167,
2020년11월_여_50~59세,"9,189",562,418,"1,075",355,277,473,230,401,"1,225","2,179","1,613",381,
2020년11월_여_60~69세,"7,952",612,438,"1,007",383,313,531,282,435,"1,035","1,522",906,488,
2020년11월_여_70~79세,"4,982",343,358,665,287,236,390,239,299,502,697,676,290,
2020년11월_여_80~89세,"2,398",186,209,312,122,108,235,105,153,273,288,272,135,
2020년11월_여_90~99세,458,43,40,61,22,28,51,14,26,63,49,29,32,
2020년11월_여_100세 이상,53,3,6,3,3,3,9,7,5,8,1,0,5,
2020년12월_계_총인구수,"139,729","6,315","5,283","13,329","4,043","3,374","5,928","2,871","4,535","15,724","43,447","30,776","4,104",
2020년12월_계_연령구간인구수,"139,729","6,315","5,283","13,329","4,043","3,374","5,928","2,871","4,535","15,724","43,447","30,776","4,104",
2020년12월_계_0~9세,"11,895",238,253,837,137,107,188,91,193,927,"7,074","1,764",86,
2020년12월_계_10~19세,"12,649",354,360,"1,133",278,204,301,144,335,"1,216","4,812","3,389",123,
2020년12월_계_20~29세,"19,133",649,546,"1,619",444,375,626,296,509,"2,108","4,006","7,666",289,
2020년12월_계_30~39세,"21,309",606,529,"1,606",383,297,642,240,464,"2,288","9,014","4,956",284,
2020년12월_계_40~49세,"24,596",856,822,"2,045",560,498,803,413,611,"2,544","9,336","5,613",495,
2020년12월_계_50~59세,"20,446","1,322",892,"2,314",741,644,"1,120",513,826,"2,805","4,513","3,839",917,
2020년12월_계_60~69세,"15,926","1,287",847,"1,999",738,611,"1,091",560,801,"2,295","2,818","1,836","1,043",
2020년12월_계_70~79세,"9,320",648,652,"1,193",529,440,731,407,530,"1,016","1,360","1,207",607,
2020년12월_계_80~89세,"3,762",294,320,501,196,163,340,172,218,429,449,464,216,
2020년12월_계_90~99세,612,57,54,76,34,32,72,25,36,83,63,41,39,
2020년12월_계_100세 이상,81,4,8,6,3,3,14,10,12,13,2,1,5,
2020년12월_남_총인구수,"72,485","3,406","2,673","6,774","2,066","1,741","3,119","1,490","2,242","8,726","21,872","16,089","2,287",
2020년12월_남_연령구간인구수,"72,485","3,406","2,673","6,774","2,066","1,741","3,119","1,490","2,242","8,726","21,872","16,089","2,287",
2020년12월_남_0~9세,"6,128",125,147,414,64,64,86,61,95,478,"3,636",919,39,
2020년12월_남_10~19세,"6,562",173,184,590,154,98,158,70,164,641,"2,478","1,794",58,
2020년12월_남_20~29세,"9,704",380,295,862,250,208,338,169,275,"1,197","1,968","3,575",187,
2020년12월_남_30~39세,"11,572",357,292,858,213,173,375,147,262,"1,387","4,387","2,937",184,
2020년12월_남_40~49세,"13,444",511,445,"1,087",311,272,471,225,343,"1,506","4,948","3,001",324,
2020년12월_남_50~59세,"11,261",756,477,"1,238",391,368,655,290,426,"1,587","2,331","2,206",536,
2020년12월_남_60~69세,"7,955",679,407,995,356,299,566,278,365,"1,242","1,285",928,555,
2020년12월_남_70~79세,"4,333",302,292,529,243,202,339,169,229,516,667,527,318,
2020년12월_남_80~89세,"1,348",107,116,183,71,53,109,67,66,149,158,190,79,
2020년12월_남_90~99세,152,15,17,15,13,4,18,11,10,18,13,11,7,
2020년12월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0,
2020년12월_여_총인구수,"67,244","2,909","2,610","6,555","1,977","1,633","2,809","1,381","2,293","6,998","21,575","14,687","1,817",
2020년12월_여_연령구간인구수,"67,244","2,909","2,610","6,555","1,977","1,633","2,809","1,381","2,293","6,998","21,575","14,687","1,817",
2020년12월_여_0~9세,"5,767",113,106,423,73,43,102,30,98,449,"3,438",845,47,
2020년12월_여_10~19세,"6,087",181,176,543,124,106,143,74,171,575,"2,334","1,595",65,
2020년12월_여_20~29세,"9,429",269,251,757,194,167,288,127,234,911,"2,038","4,091",102,
2020년12월_여_30~39세,"9,737",249,237,748,170,124,267,93,202,901,"4,627","2,019",100,
2020년12월_여_40~49세,"11,152",345,377,958,249,226,332,188,268,"1,038","4,388","2,612",171,
2020년12월_여_50~59세,"9,185",566,415,"1,076",350,276,465,223,400,"1,218","2,182","1,633",381,
2020년12월_여_60~69세,"7,971",608,440,"1,004",382,312,525,282,436,"1,053","1,533",908,488,
2020년12월_여_70~79세,"4,987",346,360,664,286,238,392,238,301,500,693,680,289,
2020년12월_여_80~89세,"2,414",187,204,318,125,110,231,105,152,280,291,274,137,
2020년12월_여_90~99세,460,42,37,61,21,28,54,14,26,65,50,30,32,
2020년12월_여_100세 이상,55,3,7,3,3,3,10,7,5,8,1,0,5,
2021년01월_계_총인구수,"139,762","6,309","5,265","13,342","4,015","3,369","5,906","2,859","4,523","15,767","43,485","30,842","4,080",
2021년01월_계_연령구간인구수,"139,762","6,309","5,265","13,342","4,015","3,369","5,906","2,859","4,523","15,767","43,485","30,842","4,080",
2021년01월_계_0~9세,"11,846",238,249,831,139,102,188,86,192,929,"7,075","1,734",83,
2021년01월_계_10~19세,"12,662",348,357,"1,137",271,199,298,144,338,"1,230","4,820","3,400",120,
2021년01월_계_20~29세,"19,046",646,540,"1,612",434,377,627,296,502,"2,093","3,986","7,645",288,
2021년01월_계_30~39세,"21,233",604,524,"1,603",376,295,640,242,459,"2,291","8,950","4,968",281,
2021년01월_계_40~49세,"24,601",840,818,"2,054",556,499,789,410,613,"2,546","9,387","5,603",486,
2021년01월_계_50~59세,"20,481","1,322",883,"2,312",739,644,"1,116",509,817,"2,797","4,538","3,893",911,
2021년01월_계_60~69세,"16,031","1,304",849,"2,007",730,606,"1,094",556,804,"2,331","2,840","1,867","1,043",
2021년01월_계_70~79세,"9,360",646,664,"1,204",532,446,723,405,529,"1,019","1,375","1,214",603,
2021년01월_계_80~89세,"3,794",298,318,498,200,166,344,175,221,431,447,476,220,
2021년01월_계_90~99세,626,59,55,78,35,32,72,26,36,87,65,41,40,
2021년01월_계_100세 이상,82,4,8,6,3,3,15,10,12,13,2,1,5,
2021년01월_남_총인구수,"72,524","3,407","2,662","6,793","2,053","1,740","3,110","1,484","2,231","8,742","21,893","16,132","2,277",
2021년01월_남_연령구간인구수,"72,524","3,407","2,662","6,793","2,053","1,740","3,110","1,484","2,231","8,742","21,893","16,132","2,277",
2021년01월_남_0~9세,"6,111",124,147,412,64,62,87,58,93,473,"3,652",901,38,
2021년01월_남_10~19세,"6,588",170,184,596,151,96,156,71,166,654,"2,478","1,810",56,
2021년01월_남_20~29세,"9,683",380,296,863,245,214,343,167,271,"1,192","1,965","3,558",189,
2021년01월_남_30~39세,"11,518",358,286,852,207,173,372,151,259,"1,386","4,343","2,951",180,
2021년01월_남_40~49세,"13,427",502,443,"1,095",313,273,461,223,345,"1,497","4,969","2,987",319,
2021년01월_남_50~59세,"11,281",763,470,"1,236",391,363,657,286,419,"1,581","2,345","2,233",537,
2021년01월_남_60~69세,"8,010",683,411,"1,002",349,295,566,276,366,"1,267","1,286",953,556,
2021년01월_남_70~79세,"4,351",303,292,535,246,206,332,169,229,518,678,529,314,
2021년01월_남_80~89세,"1,375",108,116,184,74,54,114,68,67,150,162,197,81,
2021년01월_남_90~99세,153,15,16,15,13,4,17,12,9,19,14,12,7,
2021년01월_남_100세 이상,27,1,1,3,0,0,5,3,7,5,1,1,0,
2021년01월_여_총인구수,"67,238","2,902","2,603","6,549","1,962","1,629","2,796","1,375","2,292","7,025","21,592","14,710","1,803",
2021년01월_여_연령구간인구수,"67,238","2,902","2,603","6,549","1,962","1,629","2,796","1,375","2,292","7,025","21,592","14,710","1,803",
2021년01월_여_0~9세,"5,735",114,102,419,75,40,101,28,99,456,"3,423",833,45,
2021년01월_여_10~19세,"6,074",178,173,541,120,103,142,73,172,576,"2,342","1,590",64,
2021년01월_여_20~29세,"9,363",266,244,749,189,163,284,129,231,901,"2,021","4,087",99,
2021년01월_여_30~39세,"9,715",246,238,751,169,122,268,91,200,905,"4,607","2,017",101,
2021년01월_여_40~49세,"11,174",338,375,959,243,226,328,187,268,"1,049","4,418","2,616",167,
2021년01월_여_50~59세,"9,200",559,413,"1,076",348,281,459,223,398,"1,216","2,193","1,660",374,
2021년01월_여_60~69세,"8,021",621,438,"1,005",381,311,528,280,438,"1,064","1,554",914,487,
2021년01월_여_70~79세,"5,009",343,372,669,286,240,391,236,300,501,697,685,289,
2021년01월_여_80~89세,"2,419",190,202,314,126,112,230,107,154,281,285,279,139,
2021년01월_여_90~99세,473,44,39,63,22,28,55,14,27,68,51,29,33,
2021년01월_여_100세 이상,55,3,7,3,3,3,10,7,5,8,1,0,5,
2021년02월_계_총인구수,"139,776","6,292","5,256","13,310","3,997","3,341","5,918","2,859","4,498","15,863","43,408","30,971","4,063",
2021년02월_계_연령구간인구수,"139,776","6,292","5,256","13,310","3,997","3,341","5,918","2,859","4,498","15,863","43,408","30,971","4,063",
2021년02월_계_0~9세,"11,771",240,248,825,135,95,195,81,188,928,"7,019","1,734",83,
2021년02월_계_10~19세,"12,669",341,352,"1,121",265,198,299,142,334,"1,240","4,845","3,415",117,
2021년02월_계_20~29세,"18,874",646,532,"1,603",430,368,627,291,497,"2,078","3,931","7,595",276,
2021년02월_계_30~39세,"21,191",597,533,"1,606",375,288,641,250,454,"2,318","8,822","5,028",279,
2021년02월_계_40~49세,"24,634",826,816,"2,035",547,495,776,402,611,"2,556","9,454","5,632",484,
2021년02월_계_50~59세,"20,577","1,327",882,"2,319",740,639,"1,117",516,809,"2,808","4,576","3,939",905,
2021년02월_계_60~69세,"16,155","1,303",850,"2,009",734,613,"1,106",559,804,"2,379","2,859","1,890","1,049",
2021년02월_계_70~79세,"9,367",643,665,"1,206",529,442,723,406,532,"1,019","1,381","1,216",605,
2021년02월_계_80~89세,"3,821",307,316,501,204,166,347,175,223,435,451,479,217,
2021년02월_계_90~99세,634,58,54,79,34,33,73,27,34,89,68,42,43,
2021년02월_계_100세 이상,83,4,8,6,4,4,14,10,12,13,2,1,5,
2021년02월_남_총인구수,"72,561","3,406","2,663","6,769","2,041","1,727","3,115","1,481","2,222","8,798","21,869","16,200","2,270",
2021년02월_남_연령구간인구수,"72,561","3,406","2,663","6,769","2,041","1,727","3,115","1,481","2,222","8,798","21,869","16,200","2,270",
2021년02월_남_0~9세,"6,079",127,146,411,63,59,92,53,91,477,"3,620",902,38,
2021년02월_남_10~19세,"6,591",166,182,582,149,94,157,69,163,656,"2,502","1,816",55,
2021년02월_남_20~29세,"9,577",377,292,855,243,208,342,165,267,"1,184","1,944","3,515",185,
2021년02월_남_30~39세,"11,514",354,292,852,206,171,371,154,261,"1,409","4,272","2,996",176,
2021년02월_남_40~49세,"13,444",497,442,"1,089",306,272,454,218,343,"1,506","4,995","3,004",318,
2021년02월_남_50~59세,"11,351",772,476,"1,237",389,364,656,289,418,"1,582","2,371","2,261",536,
2021년02월_남_60~69세,"8,082",680,409,"1,005",353,298,573,277,366,"1,292","1,303",965,561,
2021년02월_남_70~79세,"4,350",303,290,537,242,203,332,171,230,516,683,530,313,
2021년02월_남_80~89세,"1,388",114,117,181,77,52,116,70,67,152,163,198,81,
2021년02월_남_90~99세,158,15,16,17,12,6,18,12,9,19,15,12,7,
2021년02월_남_100세 이상,27,1,1,3,1,0,4,3,7,5,1,1,0,
2021년02월_여_총인구수,"67,215","2,886","2,593","6,541","1,956","1,614","2,803","1,378","2,276","7,065","21,539","14,771","1,793",
2021년02월_여_연령구간인구수,"67,215","2,886","2,593","6,541","1,956","1,614","2,803","1,378","2,276","7,065","21,539","14,771","1,793",
2021년02월_여_0~9세,"5,692",113,102,414,72,36,103,28,97,451,"3,399",832,45,
2021년02월_여_10~19세,"6,078",175,170,539,116,104,142,73,171,584,"2,343","1,599",62,
2021년02월_여_20~29세,"9,297",269,240,748,187,160,285,126,230,894,"1,987","4,080",91,
2021년02월_여_30~39세,"9,677",243,241,754,169,117,270,96,193,909,"4,550","2,032",103,
2021년02월_여_40~49세,"11,190",329,374,946,241,223,322,184,268,"1,050","4,459","2,628",166,
2021년02월_여_50~59세,"9,226",555,406,"1,082",351,275,461,227,391,"1,226","2,205","1,678",369,
2021년02월_여_60~69세,"8,073",623,441,"1,004",381,315,533,282,438,"1,087","1,556",925,488,
2021년02월_여_70~79세,"5,017",340,375,669,287,239,391,235,302,503,698,686,292,
2021년02월_여_80~89세,"2,433",193,199,320,127,114,231,105,156,283,288,281,136,
2021년02월_여_90~99세,476,43,38,62,22,27,55,15,25,70,53,30,36,
2021년02월_여_100세 이상,56,3,7,3,3,4,10,7,5,8,1,0,5,
2021년03월_계_총인구수,"139,325","6,223","5,167","13,251","3,945","3,293","5,824","2,769","4,417","15,800","43,405","31,192","4,039",
2021년03월_계_연령구간인구수,"139,325","6,223","5,167","13,251","3,945","3,293","5,824","2,769","4,417","15,800","43,405","31,192","4,039",
2021년03월_계_0~9세,"11,734",235,242,821,134,94,197,83,183,923,"7,008","1,732",82,
2021년03월_계_10~19세,"12,687",344,358,"1,117",262,196,293,142,328,"1,233","4,885","3,412",117,
2021년03월_계_20~29세,"18,823",639,537,"1,608",425,361,614,289,488,"2,058","3,884","7,646",274,
2021년03월_계_30~39세,"21,179",598,525,"1,596",364,277,647,240,453,"2,307","8,797","5,097",278,
2021년03월_계_40~49세,"24,545",820,813,"2,020",538,488,753,383,600,"2,569","9,453","5,633",475,
2021년03월_계_50~59세,"20,523","1,311",869,"2,304",733,631,"1,093",502,792,"2,797","4,594","4,000",897,
2021년03월_계_60~69세,"16,155","1,290",825,"2,018",730,610,"1,096",550,801,"2,386","2,887","1,913","1,049",
2021년03월_계_70~79세,"9,227",628,638,"1,180",525,440,706,394,521,997,"1,372","1,221",605,
2021년03월_계_80~89세,"3,817",303,310,506,203,165,347,161,222,435,455,492,218,
2021년03월_계_90~99세,612,54,49,81,30,31,72,24,28,89,68,45,41,
2021년03월_계_100세 이상,23,1,1,0,1,0,6,1,1,6,2,1,3,
2021년03월_남_총인구수,"72,400","3,371","2,646","6,737","2,015","1,704","3,077","1,434","2,181","8,784","21,843","16,349","2,259",
2021년03월_남_연령구간인구수,"72,400","3,371","2,646","6,737","2,015","1,704","3,077","1,434","2,181","8,784","21,843","16,349","2,259",
2021년03월_남_0~9세,"6,069",128,141,408,64,59,96,54,89,480,"3,606",907,37,
2021년03월_남_10~19세,"6,592",167,185,581,146,93,152,70,160,649,"2,519","1,814",56,
2021년03월_남_20~29세,"9,563",370,298,857,241,202,338,162,259,"1,175","1,910","3,570",181,
2021년03월_남_30~39세,"11,509",353,289,850,200,164,373,147,261,"1,404","4,261","3,030",177,
2021년03월_남_40~49세,"13,394",499,444,"1,078",300,271,441,208,336,"1,511","4,987","3,005",314,
2021년03월_남_50~59세,"11,349",762,475,"1,229",391,358,648,283,412,"1,584","2,387","2,288",532,
2021년03월_남_60~69세,"8,090",675,405,"1,004",349,297,571,271,364,"1,302","1,313",981,558,
2021년03월_남_70~79세,"4,288",293,277,528,240,203,323,164,226,504,681,536,313,
2021년03월_남_80~89세,"1,394",110,120,183,76,52,117,63,66,154,165,204,84,
2021년03월_남_90~99세,145,14,12,19,8,5,17,12,8,18,13,13,6,
2021년03월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021년03월_여_총인구수,"66,925","2,852","2,521","6,514","1,930","1,589","2,747","1,335","2,236","7,016","21,562","14,843","1,780",
2021년03월_여_연령구간인구수,"66,925","2,852","2,521","6,514","1,930","1,589","2,747","1,335","2,236","7,016","21,562","14,843","1,780",
2021년03월_여_0~9세,"5,665",107,101,413,70,35,101,29,94,443,"3,402",825,45,
2021년03월_여_10~19세,"6,095",177,173,536,116,103,141,72,168,584,"2,366","1,598",61,
2021년03월_여_20~29세,"9,260",269,239,751,184,159,276,127,229,883,"1,974","4,076",93,
2021년03월_여_30~39세,"9,670",245,236,746,164,113,274,93,192,903,"4,536","2,067",101,
2021년03월_여_40~49세,"11,151",321,369,942,238,217,312,175,264,"1,058","4,466","2,628",161,
2021년03월_여_50~59세,"9,174",549,394,"1,075",342,273,445,219,380,"1,213","2,207","1,712",365,
2021년03월_여_60~69세,"8,065",615,420,"1,014",381,313,525,279,437,"1,084","1,574",932,491,
2021년03월_여_70~79세,"4,939",335,361,652,285,237,383,230,295,493,691,685,292,
2021년03월_여_80~89세,"2,423",193,190,323,127,113,230,98,156,281,290,288,134,
2021년03월_여_90~99세,467,40,37,62,22,26,55,12,20,71,55,32,35,
2021년03월_여_100세 이상,16,1,1,0,1,0,5,1,1,3,1,0,2,
2021년04월_계_총인구수,"139,548","6,196","5,142","13,252","3,947","3,280","5,843","2,747","4,403","15,916","43,350","31,439","4,033",
2021년04월_계_연령구간인구수,"139,548","6,196","5,142","13,252","3,947","3,280","5,843","2,747","4,403","15,916","43,350","31,439","4,033",
2021년04월_계_0~9세,"11,686",233,244,816,136,94,202,79,184,924,"6,967","1,726",81,
2021년04월_계_10~19세,"12,721",338,354,"1,119",262,191,296,136,321,"1,248","4,935","3,403",118,
2021년04월_계_20~29세,"18,816",627,530,"1,617",422,357,621,289,478,"2,053","3,841","7,706",275,
2021년04월_계_30~39세,"21,210",604,527,"1,584",370,278,654,241,453,"2,363","8,716","5,148",272,
2021년04월_계_40~49세,"24,555",812,811,"2,016",534,489,751,378,598,"2,556","9,474","5,662",474,
2021년04월_계_50~59세,"20,525","1,295",864,"2,288",730,621,"1,097",496,788,"2,816","4,596","4,046",888,
2021년04월_계_60~69세,"16,323","1,298",819,"2,041",737,614,"1,095",551,812,"2,417","2,907","1,971","1,061",
2021년04월_계_70~79세,"9,244",632,635,"1,179",520,443,702,394,517,"1,002","1,392","1,226",602,
2021년04월_계_80~89세,"3,822",302,305,509,205,162,348,158,223,440,450,503,217,
2021년04월_계_90~99세,624,54,52,83,30,31,72,24,28,92,70,46,42,
2021년04월_계_100세 이상,22,1,1,0,1,0,5,1,1,5,2,2,3,
2021년04월_남_총인구수,"72,529","3,353","2,631","6,737","2,019","1,695","3,085","1,426","2,174","8,850","21,801","16,505","2,253",
2021년04월_남_연령구간인구수,"72,529","3,353","2,631","6,737","2,019","1,695","3,085","1,426","2,174","8,850","21,801","16,505","2,253",
2021년04월_남_0~9세,"6,033",125,141,405,62,59,99,50,90,478,"3,584",904,36,
2021년04월_남_10~19세,"6,595",163,180,581,147,91,154,67,159,652,"2,540","1,804",57,
2021년04월_남_20~29세,"9,580",363,295,863,245,199,337,162,253,"1,175","1,894","3,611",183,
2021년04월_남_30~39세,"11,539",356,288,847,204,164,376,151,256,"1,449","4,207","3,069",172,
2021년04월_남_40~49세,"13,413",496,447,"1,073",297,272,445,207,335,"1,493","5,005","3,032",311,
2021년04월_남_50~59세,"11,359",752,471,"1,224",388,351,647,280,413,"1,599","2,387","2,318",529,
2021년04월_남_60~69세,"8,168",679,405,"1,011",355,300,572,272,368,"1,320","1,314","1,009",563,
2021년04월_남_70~79세,"4,289",296,274,526,239,203,318,163,225,506,691,535,313,
2021년04월_남_80~89세,"1,402",109,119,189,74,51,119,62,67,157,164,209,82,
2021년04월_남_90~99세,144,14,11,18,8,5,17,12,8,18,14,13,6,
2021년04월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021년04월_여_총인구수,"67,019","2,843","2,511","6,515","1,928","1,585","2,758","1,321","2,229","7,066","21,549","14,934","1,780",
2021년04월_여_연령구간인구수,"67,019","2,843","2,511","6,515","1,928","1,585","2,758","1,321","2,229","7,066","21,549","14,934","1,780",
2021년04월_여_0~9세,"5,653",108,103,411,74,35,103,29,94,446,"3,383",822,45,
