카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년05월_계_90~99세,84,41,7,16,20
2021년05월_계_100세 이상,14,14,0,0,0
2021년05월_남_총인구수,"4,963","3,526",476,234,727
2021년05월_남_연령구간인구수,"4,963","3,526",476,234,727
2021년05월_남_0~9세,199,149,17,7,26
2021년05월_남_10~19세,229,170,25,13,21
2021년05월_남_20~29세,502,359,62,9,72
2021년05월_남_30~39세,522,402,35,19,66
2021년05월_남_40~49세,767,568,61,22,116
2021년05월_남_50~59세,"1,065",770,102,50,143
2021년05월_남_60~69세,953,653,100,49,151
2021년05월_남_70~79세,494,320,48,47,79
2021년05월_남_80~89세,205,120,24,13,48
2021년05월_남_90~99세,22,10,2,5,5
2021년05월_남_100세 이상,5,5,0,0,0
2021년05월_여_총인구수,"4,069","2,884",395,197,593
2021년05월_여_연령구간인구수,"4,069","2,884",395,197,593
2021년05월_여_0~9세,192,143,20,6,23
2021년05월_여_10~19세,219,180,13,5,21
2021년05월_여_20~29세,318,247,15,13,43
2021년05월_여_30~39세,328,249,27,11,41
2021년05월_여_40~49세,486,381,37,7,61
2021년05월_여_50~59세,737,529,77,34,97
2021년05월_여_60~69세,844,584,79,49,132
2021년05월_여_70~79세,567,366,69,39,93
2021년05월_여_80~89세,307,165,53,22,67
2021년05월_여_90~99세,62,31,5,11,15
2021년05월_여_100세 이상,9,9,0,0,0
2021년06월_계_총인구수,"8,990","6,352",873,439,"1,326"
2021년06월_계_연령구간인구수,"8,990","6,352",873,439,"1,326"
2021년06월_계_0~9세,399,296,37,17,49
2021년06월_계_10~19세,450,349,39,19,43
2021년06월_계_20~29세,809,598,76,22,113
2021년06월_계_30~39세,853,650,63,34,106
2021년06월_계_40~49세,"1,260",948,98,30,184
2021년06월_계_50~59세,"1,793","1,292",180,83,238
2021년06월_계_60~69세,"1,783","1,224",180,97,282
2021년06월_계_70~79세,"1,053",677,117,84,175
2021년06월_계_80~89세,504,277,76,35,116
2021년06월_계_90~99세,83,38,7,18,20
2021년06월_계_100세 이상,3,3,0,0,0
2021년06월_남_총인구수,"4,935","3,487",480,237,731
2021년06월_남_연령구간인구수,"4,935","3,487",480,237,731
2021년06월_남_0~9세,201,150,17,8,26
2021년06월_남_10~19세,231,170,25,13,23
2021년06월_남_20~29세,499,356,62,9,72
2021년06월_남_30~39세,517,399,35,20,63
2021년06월_남_40~49세,771,564,62,23,122
2021년06월_남_50~59세,"1,063",766,104,50,143
2021년06월_남_60~69세,939,642,101,49,147
2021년06월_남_70~79세,491,315,48,47,81
2021년06월_남_80~89세,201,116,24,12,49
2021년06월_남_90~99세,22,9,2,6,5
2021년06월_남_100세 이상,0,0,0,0,0
2021년06월_여_총인구수,"4,055","2,865",393,202,595
2021년06월_여_연령구간인구수,"4,055","2,865",393,202,595
2021년06월_여_0~9세,198,146,20,9,23
2021년06월_여_10~19세,219,179,14,6,20
2021년06월_여_20~29세,310,242,14,13,41
2021년06월_여_30~39세,336,251,28,14,43
2021년06월_여_40~49세,489,384,36,7,62
2021년06월_여_50~59세,730,526,76,33,95
2021년06월_여_60~69세,844,582,79,48,135
2021년06월_여_70~79세,562,362,69,37,94
2021년06월_여_80~89세,303,161,52,23,67
2021년06월_여_90~99세,61,29,5,12,15
2021년06월_여_100세 이상,3,3,0,0,0
2021년07월_계_총인구수,"9,019","6,370",879,442,"1,328"
2021년07월_계_연령구간인구수,"9,019","6,370",879,442,"1,328"
2021년07월_계_0~9세,395,290,37,18,50
2021년07월_계_10~19세,452,350,39,19,44
2021년07월_계_20~29세,831,616,76,22,117
2021년07월_계_30~39세,849,645,66,36,102
2021년07월_계_40~49세,"1,261",949,96,33,183
2021년07월_계_50~59세,"1,782","1,283",179,83,237
2021년07월_계_60~69세,"1,802","1,239",185,94,284
2021년07월_계_70~79세,"1,057",680,116,86,175
2021년07월_계_80~89세,504,276,78,34,116
2021년07월_계_90~99세,83,39,7,17,20
2021년07월_계_100세 이상,3,3,0,0,0
2021년07월_남_총인구수,"4,956","3,507",482,238,729
2021년07월_남_연령구간인구수,"4,956","3,507",482,238,729
2021년07월_남_0~9세,199,147,17,9,26
2021년07월_남_10~19세,233,171,25,13,24
2021년07월_남_20~29세,516,371,61,9,75
2021년07월_남_30~39세,509,392,37,21,59
2021년07월_남_40~49세,776,569,60,26,121
2021년07월_남_50~59세,"1,061",766,105,50,140
2021년07월_남_60~69세,948,651,103,45,149
2021년07월_남_70~79세,492,315,48,48,81
2021년07월_남_80~89세,201,116,24,12,49
2021년07월_남_90~99세,21,9,2,5,5
2021년07월_남_100세 이상,0,0,0,0,0
2021년07월_여_총인구수,"4,063","2,863",397,204,599
2021년07월_여_연령구간인구수,"4,063","2,863",397,204,599
2021년07월_여_0~9세,196,143,20,9,24
2021년07월_여_10~19세,219,179,14,6,20
2021년07월_여_20~29세,315,245,15,13,42
2021년07월_여_30~39세,340,253,29,15,43
2021년07월_여_40~49세,485,380,36,7,62
2021년07월_여_50~59세,721,517,74,33,97
2021년07월_여_60~69세,854,588,82,49,135
2021년07월_여_70~79세,565,365,68,38,94
2021년07월_여_80~89세,303,160,54,22,67
2021년07월_여_90~99세,62,30,5,12,15
2021년07월_여_100세 이상,3,3,0,0,0
2021년08월_계_총인구수,"8,976","6,363",878,437,"1,298"
2021년08월_계_연령구간인구수,"8,976","6,363",878,437,"1,298"
2021년08월_계_0~9세,383,280,39,15,49
2021년08월_계_10~19세,453,357,40,18,38
2021년08월_계_20~29세,833,626,69,23,115
2021년08월_계_30~39세,827,634,66,32,95
2021년08월_계_40~49세,"1,248",941,100,34,173
2021년08월_계_50~59세,"1,788","1,288",178,83,239
2021년08월_계_60~69세,"1,797","1,239",185,95,278
2021년08월_계_70~79세,"1,059",680,117,87,175
2021년08월_계_80~89세,502,276,77,34,115
2021년08월_계_90~99세,83,39,7,16,21
2021년08월_계_100세 이상,3,3,0,0,0
2021년08월_남_총인구수,"4,930","3,507",476,238,709
2021년08월_남_연령구간인구수,"4,930","3,507",476,238,709
2021년08월_남_0~9세,196,144,18,8,26
2021년08월_남_10~19세,230,173,26,12,19
2021년08월_남_20~29세,514,380,53,10,71
2021년08월_남_30~39세,492,380,37,19,56
2021년08월_남_40~49세,771,567,62,27,115
2021년08월_남_50~59세,"1,069",774,104,50,141
2021년08월_남_60~69세,942,648,101,47,146
2021년08월_남_70~79세,495,316,49,48,82
2021년08월_남_80~89세,200,116,24,12,48
2021년08월_남_90~99세,21,9,2,5,5
2021년08월_남_100세 이상,0,0,0,0,0
2021년08월_여_총인구수,"4,046","2,856",402,199,589
2021년08월_여_연령구간인구수,"4,046","2,856",402,199,589
2021년08월_여_0~9세,187,136,21,7,23
2021년08월_여_10~19세,223,184,14,6,19
2021년08월_여_20~29세,319,246,16,13,44
2021년08월_여_30~39세,335,254,29,13,39
2021년08월_여_40~49세,477,374,38,7,58
2021년08월_여_50~59세,719,514,74,33,98
2021년08월_여_60~69세,855,591,84,48,132
2021년08월_여_70~79세,564,364,68,39,93
2021년08월_여_80~89세,302,160,53,22,67
2021년08월_여_90~99세,62,30,5,11,16
2021년08월_여_100세 이상,3,3,0,0,0
2021년09월_계_총인구수,"8,887","6,312",875,427,"1,273"
2021년09월_계_연령구간인구수,"8,887","6,312",875,427,"1,273"
2021년09월_계_0~9세,383,285,40,13,45
2021년09월_계_10~19세,448,351,40,18,39
2021년09월_계_20~29세,821,622,66,24,109
2021년09월_계_30~39세,801,619,65,28,89
2021년09월_계_40~49세,"1,237",932,101,35,169
2021년09월_계_50~59세,"1,764","1,266",178,82,238
2021년09월_계_60~69세,"1,798","1,242",184,92,280
2021년09월_계_70~79세,"1,051",672,117,87,175
2021년09월_계_80~89세,500,280,77,34,109
2021년09월_계_90~99세,81,40,7,14,20
2021년09월_계_100세 이상,3,3,0,0,0
2021년09월_남_총인구수,"4,879","3,473",473,235,698
2021년09월_남_연령구간인구수,"4,879","3,473",473,235,698
2021년09월_남_0~9세,197,147,19,8,23
2021년09월_남_10~19세,226,167,27,12,20
2021년09월_남_20~29세,508,382,48,11,67
2021년09월_남_30~39세,477,372,35,16,54
2021년09월_남_40~49세,760,559,62,28,111
2021년09월_남_50~59세,"1,057",760,105,50,142
2021년09월_남_60~69세,940,646,100,45,149
2021년09월_남_70~79세,497,316,51,48,82
2021년09월_남_80~89세,197,116,24,12,45
2021년09월_남_90~99세,20,8,2,5,5
2021년09월_남_100세 이상,0,0,0,0,0
2021년09월_여_총인구수,"4,008","2,839",402,192,575
2021년09월_여_연령구간인구수,"4,008","2,839",402,192,575
2021년09월_여_0~9세,186,138,21,5,22
2021년09월_여_10~19세,222,184,13,6,19
2021년09월_여_20~29세,313,240,18,13,42
2021년09월_여_30~39세,324,247,30,12,35
2021년09월_여_40~49세,477,373,39,7,58
2021년09월_여_50~59세,707,506,73,32,96
2021년09월_여_60~69세,858,596,84,47,131
2021년09월_여_70~79세,554,356,66,39,93
2021년09월_여_80~89세,303,164,53,22,64
2021년09월_여_90~99세,61,32,5,9,15
2021년09월_여_100세 이상,3,3,0,0,0
2021년10월_계_총인구수,"8,894","6,309",886,433,"1,266"
2021년10월_계_연령구간인구수,"8,894","6,309",886,433,"1,266"
2021년10월_계_0~9세,381,284,40,13,44
2021년10월_계_10~19세,453,352,43,18,40
2021년10월_계_20~29세,810,612,67,24,107
2021년10월_계_30~39세,809,627,64,27,91
2021년10월_계_40~49세,"1,220",917,100,35,168
2021년10월_계_50~59세,"1,780","1,276",182,86,236
2021년10월_계_60~69세,"1,809","1,246",188,96,279
2021년10월_계_70~79세,"1,048",675,117,83,173
2021년10월_계_80~89세,498,275,78,36,109
2021년10월_계_90~99세,83,42,7,15,19
2021년10월_계_100세 이상,3,3,0,0,0
2021년10월_남_총인구수,"4,867","3,462",479,234,692
2021년10월_남_연령구간인구수,"4,867","3,462",479,234,692
2021년10월_남_0~9세,194,145,19,8,22
2021년10월_남_10~19세,229,167,29,12,21
2021년10월_남_20~29세,501,377,48,11,65
2021년10월_남_30~39세,480,375,36,15,54
2021년10월_남_40~49세,748,550,60,28,110
2021년10월_남_50~59세,"1,061",761,109,51,140
2021년10월_남_60~69세,942,645,101,46,150
2021년10월_남_70~79세,493,318,51,44,80
2021년10월_남_80~89세,199,116,24,14,45
2021년10월_남_90~99세,20,8,2,5,5
2021년10월_남_100세 이상,0,0,0,0,0
2021년10월_여_총인구수,"4,027","2,847",407,199,574
2021년10월_여_연령구간인구수,"4,027","2,847",407,199,574
2021년10월_여_0~9세,187,139,21,5,22
2021년10월_여_10~19세,224,185,14,6,19
2021년10월_여_20~29세,309,235,19,13,42
2021년10월_여_30~39세,329,252,28,12,37
2021년10월_여_40~49세,472,367,40,7,58
2021년10월_여_50~59세,719,515,73,35,96
2021년10월_여_60~69세,867,601,87,50,129
2021년10월_여_70~79세,555,357,66,39,93
2021년10월_여_80~89세,299,159,54,22,64
2021년10월_여_90~99세,63,34,5,10,14
2021년10월_여_100세 이상,3,3,0,0,0
2021년11월_계_총인구수,"8,888","6,290",893,433,"1,272"
2021년11월_계_연령구간인구수,"8,888","6,290",893,433,"1,272"
2021년11월_계_0~9세,378,277,45,13,43
2021년11월_계_10~19세,453,352,41,19,41
2021년11월_계_20~29세,810,612,66,22,110
2021년11월_계_30~39세,806,622,68,27,89
2021년11월_계_40~49세,"1,214",907,101,34,172
2021년11월_계_50~59세,"1,776","1,270",183,86,237
2021년11월_계_60~69세,"1,814","1,250",190,97,277
2021년11월_계_70~79세,"1,055",680,115,84,176
2021년11월_계_80~89세,500,277,78,36,109
2021년11월_계_90~99세,80,41,6,15,18
2021년11월_계_100세 이상,2,2,0,0,0
2021년11월_남_총인구수,"4,862","3,455",479,236,692
2021년11월_남_연령구간인구수,"4,862","3,455",479,236,692
2021년11월_남_0~9세,195,145,21,8,21
2021년11월_남_10~19세,227,164,29,12,22
2021년11월_남_20~29세,501,378,45,11,67
2021년11월_남_30~39세,475,372,37,15,51
2021년11월_남_40~49세,743,543,60,27,113
2021년11월_남_50~59세,"1,057",758,108,52,139
2021년11월_남_60~69세,945,647,104,46,148
2021년11월_남_70~79세,500,323,49,46,82
2021년11월_남_80~89세,199,116,24,14,45
2021년11월_남_90~99세,20,9,2,5,4
2021년11월_남_100세 이상,0,0,0,0,0
2021년11월_여_총인구수,"4,026","2,835",414,197,580
2021년11월_여_연령구간인구수,"4,026","2,835",414,197,580
2021년11월_여_0~9세,183,132,24,5,22
2021년11월_여_10~19세,226,188,12,7,19
2021년11월_여_20~29세,309,234,21,11,43
2021년11월_여_30~39세,331,250,31,12,38
2021년11월_여_40~49세,471,364,41,7,59
2021년11월_여_50~59세,719,512,75,34,98
2021년11월_여_60~69세,869,603,86,51,129
2021년11월_여_70~79세,555,357,66,38,94
2021년11월_여_80~89세,301,161,54,22,64
2021년11월_여_90~99세,60,32,4,10,14
2021년11월_여_100세 이상,2,2,0,0,0
2021년12월_계_총인구수,"8,867","6,278",881,443,"1,265"
2021년12월_계_연령구간인구수,"8,867","6,278",881,443,"1,265"
2021년12월_계_0~9세,377,273,46,15,43
2021년12월_계_10~19세,453,354,39,19,41
2021년12월_계_20~29세,812,611,65,24,112
2021년12월_계_30~39세,780,601,66,28,85
2021년12월_계_40~49세,"1,213",903,103,32,175
2021년12월_계_50~59세,"1,783","1,287",177,89,230
2021년12월_계_60~69세,"1,818","1,250",190,99,279
2021년12월_계_70~79세,"1,049",682,110,83,174
2021년12월_계_80~89세,501,276,79,37,109
2021년12월_계_90~99세,79,39,6,17,17
2021년12월_계_100세 이상,2,2,0,0,0
2021년12월_남_총인구수,"4,851","3,446",471,242,692
2021년12월_남_연령구간인구수,"4,851","3,446",471,242,692
2021년12월_남_0~9세,197,146,22,9,20
2021년12월_남_10~19세,229,166,28,12,23
2021년12월_남_20~29세,498,374,43,13,68
2021년12월_남_30~39세,458,359,35,15,49
2021년12월_남_40~49세,748,542,63,25,118
2021년12월_남_50~59세,"1,053",763,103,54,133
2021년12월_남_60~69세,953,651,104,48,150
2021년12월_남_70~79세,496,321,47,46,82
2021년12월_남_80~89세,199,116,24,14,45
2021년12월_남_90~99세,20,8,2,6,4
2021년12월_남_100세 이상,0,0,0,0,0
2021년12월_여_총인구수,"4,016","2,832",410,201,573
2021년12월_여_연령구간인구수,"4,016","2,832",410,201,573
2021년12월_여_0~9세,180,127,24,6,23
2021년12월_여_10~19세,224,188,11,7,18
2021년12월_여_20~29세,314,237,22,11,44
2021년12월_여_30~39세,322,242,31,13,36
2021년12월_여_40~49세,465,361,40,7,57
2021년12월_여_50~59세,730,524,74,35,97
2021년12월_여_60~69세,865,599,86,51,129
2021년12월_여_70~79세,553,361,63,37,92
2021년12월_여_80~89세,302,160,55,23,64
2021년12월_여_90~99세,59,31,4,11,13
2021년12월_여_100세 이상,2,2,0,0,0
