카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020년07월_계_10~19세,"21,228",218,"2,128",498,"1,110",193,339,217,94,139,"2,492",352,347,329,350,884,208,"1,747",340,"2,430","3,804","2,341",576,92,
2020년07월_계_20~29세,"27,041",385,"2,447",756,"1,892",449,590,284,140,195,"2,362",521,546,577,663,"2,092",360,"1,933",501,"2,427","3,803","3,089",852,177,
2020년07월_계_30~39세,"25,888",355,"1,881",698,"2,175",497,517,262,138,168,"3,147",404,611,540,578,"1,340",324,"1,556",533,"3,021","3,352","2,440","1,211",140,
2020년07월_계_40~49세,"37,157",636,"3,450","1,074","2,669",403,745,425,202,325,"3,862",769,696,660,785,"1,851",527,"2,614",770,"3,910","5,442","3,832","1,302",208,
2020년07월_계_50~59세,"46,881","1,046","5,133","1,747","3,937",653,"1,304",913,616,585,"3,542","1,288","1,076",927,"1,214","2,450",870,"2,776","1,040","3,683","5,455","4,540","1,750",336,
2020년07월_계_60~69세,"39,994","1,239","4,334","2,030","3,435",807,"1,290","1,114",952,744,"2,305","1,316","1,022","1,041","1,442","2,657","1,082","1,713","1,139","2,088","2,892","3,285","1,685",382,
2020년07월_계_70~79세,"24,383",950,"2,906","1,457","1,877",607,744,832,663,661,"1,143",895,733,740,"1,004","1,748",863,930,774,883,"1,158","1,515","1,037",263,
2020년07월_계_80~89세,"12,801",512,"1,578",834,"1,076",430,387,571,366,352,611,571,375,337,421,633,508,480,415,433,604,633,561,113,
2020년07월_계_90~99세,"1,680",67,170,109,148,63,75,62,55,36,73,76,44,30,62,80,58,64,63,73,85,78,86,23,
2020년07월_계_100세 이상,91,2,12,8,6,3,2,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020년07월_남_총인구수,"127,019","2,786","12,599","4,850","10,261","2,262","3,353","2,405","1,619","1,640","10,871","3,243","2,980","2,687","3,245","7,049","2,415","7,547","2,931","10,630","14,414","11,530","4,811",891,
2020년07월_남_연령구간인구수,"127,019","2,786","12,599","4,850","10,261","2,262","3,353","2,405","1,619","1,640","10,871","3,243","2,980","2,687","3,245","7,049","2,415","7,547","2,931","10,630","14,414","11,530","4,811",891,
2020년07월_남_0~9세,"8,460",89,657,193,547,124,156,54,27,32,"1,283",90,144,104,90,262,53,619,185,"1,341","1,347",681,351,31,
2020년07월_남_10~19세,"11,114",114,"1,076",275,587,124,182,111,48,93,"1,262",184,176,184,191,462,101,935,188,"1,222","2,043","1,217",301,38,
2020년07월_남_20~29세,"15,300",232,"1,430",473,"1,119",269,391,173,87,119,"1,268",301,302,325,359,"1,189",210,"1,086",301,"1,342","2,062","1,734",444,84,
2020년07월_남_30~39세,"13,777",209,"1,004",414,"1,281",305,307,166,71,92,"1,557",238,348,294,328,781,189,790,257,"1,489","1,624","1,306",645,82,
2020년07월_남_40~49세,"19,423",406,"1,798",625,"1,612",261,449,250,115,201,"1,903",447,399,376,443,"1,013",303,"1,273",420,"1,919","2,505","1,882",708,115,
2020년07월_남_50~59세,"24,154",571,"2,681",927,"2,139",382,732,513,318,327,"1,755",715,595,474,625,"1,175",482,"1,407",554,"1,762","2,707","2,232",899,182,
2020년07월_남_60~69세,"19,652",600,"2,138","1,002","1,776",410,656,577,502,363,"1,134",678,530,471,636,"1,158",543,851,532,"1,058","1,456","1,575",813,193,
2020년07월_남_70~79세,"10,764",383,"1,285",624,865,259,341,378,317,285,519,407,349,333,411,757,365,409,350,369,499,676,459,124,
2020년07월_남_80~89세,"4,027",169,497,294,303,122,126,168,124,121,182,165,124,120,146,237,153,162,127,113,159,207,174,34,
2020년07월_남_90~99세,327,13,31,22,29,5,13,14,9,6,7,18,13,4,14,14,13,15,17,15,12,19,17,7,
2020년07월_남_100세 이상,21,0,2,1,3,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1,
2020년07월_여_총인구수,"126,655","2,782","12,698","4,736","9,151","2,088","2,941","2,381","1,660","1,631","11,139","3,149","2,754","2,710","3,484","7,157","2,494","7,488","3,006","10,971","14,841","11,555","4,932",907,
2020년07월_여_연령구간인구수,"126,655","2,782","12,698","4,736","9,151","2,088","2,941","2,381","1,660","1,631","11,139","3,149","2,754","2,710","3,484","7,157","2,494","7,488","3,006","10,971","14,841","11,555","4,932",907,
2020년07월_여_0~9세,"8,070",69,601,182,540,121,145,49,23,32,"1,189",108,138,104,110,207,48,602,176,"1,308","1,311",650,326,31,
2020년07월_여_10~19세,"10,114",104,"1,052",223,523,69,157,106,46,46,"1,230",168,171,145,159,422,107,812,152,"1,208","1,761","1,124",275,54,
2020년07월_여_20~29세,"11,741",153,"1,017",283,773,180,199,111,53,76,"1,094",220,244,252,304,903,150,847,200,"1,085","1,741","1,355",408,93,
2020년07월_여_30~39세,"12,111",146,877,284,894,192,210,96,67,76,"1,590",166,263,246,250,559,135,766,276,"1,532","1,728","1,134",566,58,
2020년07월_여_40~49세,"17,734",230,"1,652",449,"1,057",142,296,175,87,124,"1,959",322,297,284,342,838,224,"1,341",350,"1,991","2,937","1,950",594,93,
2020년07월_여_50~59세,"22,727",475,"2,452",820,"1,798",271,572,400,298,258,"1,787",573,481,453,589,"1,275",388,"1,369",486,"1,921","2,748","2,308",851,154,
2020년07월_여_60~69세,"20,342",639,"2,196","1,028","1,659",397,634,537,450,381,"1,171",638,492,570,806,"1,499",539,862,607,"1,030","1,436","1,710",872,189,
2020년07월_여_70~79세,"13,619",567,"1,621",833,"1,012",348,403,454,346,376,624,488,384,407,593,991,498,521,424,514,659,839,578,139,
2020년07월_여_80~89세,"8,774",343,"1,081",540,773,308,261,403,242,231,429,406,251,217,275,396,355,318,288,320,445,426,387,79,
2020년07월_여_90~99세,"1,353",54,139,87,119,58,62,48,46,30,66,58,31,26,48,66,45,49,46,58,73,59,69,16,
2020년07월_여_100세 이상,70,2,10,7,3,2,2,2,2,1,0,2,2,6,8,1,5,1,1,4,2,0,6,1,
2020년08월_계_총인구수,"253,460","5,552","25,193","9,578","19,521","4,337","6,298","4,759","3,275","3,260","21,969","6,378","5,738","5,404","6,721","14,155","4,885","15,041","5,949","21,650","29,203","23,043","9,757","1,794",
2020년08월_계_연령구간인구수,"253,460","5,552","25,193","9,578","19,521","4,337","6,298","4,759","3,275","3,260","21,969","6,378","5,738","5,404","6,721","14,155","4,885","15,041","5,949","21,650","29,203","23,043","9,757","1,794",
2020년08월_계_0~9세,"16,490",160,"1,254",378,"1,091",241,295,102,49,64,"2,479",196,278,213,203,459,101,"1,219",366,"2,649","2,638","1,328",668,59,
2020년08월_계_10~19세,"21,115",215,"2,100",496,"1,110",191,340,210,95,134,"2,468",350,343,325,343,874,208,"1,743",339,"2,431","3,798","2,319",591,92,
2020년08월_계_20~29세,"26,944",381,"2,418",747,"1,896",441,590,284,138,193,"2,339",514,553,575,675,"2,082",355,"1,928",505,"2,417","3,781","3,098",853,181,
2020년08월_계_30~39세,"25,788",349,"1,853",702,"2,201",494,516,265,135,162,"3,145",397,606,538,572,"1,318",316,"1,551",537,"3,014","3,341","2,433","1,204",139,
2020년08월_계_40~49세,"37,012",636,"3,433","1,062","2,682",396,736,418,199,323,"3,834",766,696,654,774,"1,846",524,"2,612",765,"3,917","5,429","3,797","1,306",207,
2020년08월_계_50~59세,"46,855","1,043","5,114","1,752","3,943",660,"1,313",902,614,586,"3,547","1,281","1,077",925,"1,207","2,428",876,"2,788","1,036","3,702","5,454","4,521","1,751",335,
2020년08월_계_60~69세,"40,225","1,236","4,345","2,033","3,477",806,"1,293","1,115",958,746,"2,331","1,323","1,033","1,057","1,452","2,672","1,073","1,721","1,142","2,113","2,918","3,310","1,690",381,
2020년08월_계_70~79세,"24,426",948,"2,915","1,456","1,890",615,746,828,664,661,"1,136",901,735,742,998,"1,762",857,927,779,885,"1,157","1,527","1,036",261,
2020년08월_계_80~89세,"12,814",512,"1,581",833,"1,075",428,390,569,366,350,615,571,371,336,423,632,510,486,413,445,600,632,562,114,
2020년08월_계_90~99세,"1,698",70,168,111,149,62,76,63,54,39,74,77,44,31,64,80,57,65,66,73,85,77,90,23,
2020년08월_계_100세 이상,93,2,12,8,7,3,3,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020년08월_남_총인구수,"126,913","2,779","12,547","4,843","10,315","2,249","3,362","2,392","1,615","1,633","10,854","3,234","2,983","2,687","3,248","7,047","2,403","7,538","2,928","10,669","14,373","11,509","4,814",891,
2020년08월_남_연령구간인구수,"126,913","2,779","12,547","4,843","10,315","2,249","3,362","2,392","1,615","1,633","10,854","3,234","2,983","2,687","3,248","7,047","2,403","7,538","2,928","10,669","14,373","11,509","4,814",891,
2020년08월_남_0~9세,"8,437",89,658,194,547,123,154,54,27,32,"1,289",91,142,105,91,258,54,613,187,"1,341","1,333",684,341,30,
2020년08월_남_10~19세,"11,050",111,"1,063",273,586,123,181,107,48,90,"1,246",180,177,180,188,455,101,934,187,"1,225","2,040","1,207",309,39,
2020년08월_남_20~29세,"15,225",231,"1,405",468,"1,113",267,390,173,83,119,"1,252",291,305,330,365,"1,199",208,"1,082",302,"1,339","2,045","1,732",439,87,
2020년08월_남_30~39세,"13,752",205,990,417,"1,297",299,309,167,70,91,"1,561",236,345,291,327,772,185,792,258,"1,482","1,625","1,303",648,82,
2020년08월_남_40~49세,"19,345",409,"1,796",620,"1,618",258,447,246,114,197,"1,892",446,398,368,437,"1,009",301,"1,270",413,"1,921","2,494","1,871",706,114,
2020년08월_남_50~59세,"24,143",570,"2,670",927,"2,141",382,736,510,314,329,"1,757",712,592,473,626,"1,172",486,"1,410",549,"1,783","2,703","2,214",906,181,
2020년08월_남_60~69세,"19,780",599,"2,143","1,003","1,805",410,661,579,507,362,"1,149",682,541,478,644,"1,163",536,849,534,"1,074","1,462","1,592",814,193,
2020년08월_남_70~79세,"10,804",379,"1,295",628,873,262,342,374,317,284,520,412,347,335,406,764,361,408,355,372,504,683,458,125,
2020년08월_남_80~89세,"4,023",172,493,289,303,119,129,167,125,122,180,166,123,121,147,240,155,165,126,117,155,202,175,32,
2020년08월_남_90~99세,332,14,32,23,28,5,13,14,9,6,7,18,13,4,15,14,13,15,17,15,12,20,18,7,
2020년08월_남_100세 이상,22,0,2,1,4,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1,
2020년08월_여_총인구수,"126,547","2,773","12,646","4,735","9,206","2,088","2,936","2,367","1,660","1,627","11,115","3,144","2,755","2,717","3,473","7,108","2,482","7,503","3,021","10,981","14,830","11,534","4,943",903,
2020년08월_여_연령구간인구수,"126,547","2,773","12,646","4,735","9,206","2,088","2,936","2,367","1,660","1,627","11,115","3,144","2,755","2,717","3,473","7,108","2,482","7,503","3,021","10,981","14,830","11,534","4,943",903,
2020년08월_여_0~9세,"8,053",71,596,184,544,118,141,48,22,32,"1,190",105,136,108,112,201,47,606,179,"1,308","1,305",644,327,29,
2020년08월_여_10~19세,"10,065",104,"1,037",223,524,68,159,103,47,44,"1,222",170,166,145,155,419,107,809,152,"1,206","1,758","1,112",282,53,
2020년08월_여_20~29세,"11,719",150,"1,013",279,783,174,200,111,55,74,"1,087",223,248,245,310,883,147,846,203,"1,078","1,736","1,366",414,94,
2020년08월_여_30~39세,"12,036",144,863,285,904,195,207,98,65,71,"1,584",161,261,247,245,546,131,759,279,"1,532","1,716","1,130",556,57,
2020년08월_여_40~49세,"17,667",227,"1,637",442,"1,064",138,289,172,85,126,"1,942",320,298,286,337,837,223,"1,342",352,"1,996","2,935","1,926",600,93,
2020년08월_여_50~59세,"22,712",473,"2,444",825,"1,802",278,577,392,300,257,"1,790",569,485,452,581,"1,256",390,"1,378",487,"1,919","2,751","2,307",845,154,
2020년08월_여_60~69세,"20,445",637,"2,202","1,030","1,672",396,632,536,451,384,"1,182",641,492,579,808,"1,509",537,872,608,"1,039","1,456","1,718",876,188,
2020년08월_여_70~79세,"13,622",569,"1,620",828,"1,017",353,404,454,347,377,616,489,388,407,592,998,496,519,424,513,653,844,578,136,
2020년08월_여_80~89세,"8,791",340,"1,088",544,772,309,261,402,241,228,435,405,248,215,276,392,355,321,287,328,445,430,387,82,
2020년08월_여_90~99세,"1,366",56,136,88,121,57,63,49,45,33,67,59,31,27,49,66,44,50,49,58,73,57,72,16,
2020년08월_여_100세 이상,71,2,10,7,3,2,3,2,2,1,0,2,2,6,8,1,5,1,1,4,2,0,6,1,
2020년09월_계_총인구수,"253,396","5,543","25,141","9,565","19,690","4,334","6,293","4,754","3,266","3,257","21,964","6,351","5,750","5,396","6,697","14,147","4,864","15,015","5,957","21,649","29,174","23,013","9,777","1,799",
2020년09월_계_연령구간인구수,"253,396","5,543","25,141","9,565","19,690","4,334","6,293","4,754","3,266","3,257","21,964","6,351","5,750","5,396","6,697","14,147","4,864","15,015","5,957","21,649","29,174","23,013","9,777","1,799",
2020년09월_계_0~9세,"16,445",159,"1,239",364,"1,117",244,295,102,53,62,"2,478",196,279,219,198,459,104,"1,211",367,"2,644","2,601","1,320",676,58,
2020년09월_계_10~19세,"21,042",215,"2,081",503,"1,105",190,335,203,96,132,"2,467",350,336,319,342,866,205,"1,726",339,"2,433","3,796","2,312",599,92,
2020년09월_계_20~29세,"26,865",379,"2,419",740,"1,918",431,584,290,128,193,"2,317",503,555,571,661,"2,073",350,"1,940",499,"2,414","3,784","3,078",855,183,
2020년09월_계_30~39세,"25,690",348,"1,844",685,"2,231",488,510,261,137,158,"3,132",396,606,545,574,"1,316",312,"1,541",535,"2,976","3,328","2,431","1,193",143,
2020년09월_계_40~49세,"36,964",632,"3,415","1,063","2,696",398,737,416,195,320,"3,828",748,698,648,775,"1,846",515,"2,607",768,"3,931","5,424","3,786","1,310",208,
2020년09월_계_50~59세,"46,802","1,029","5,082","1,749","3,973",661,"1,304",901,605,575,"3,561","1,283","1,067",920,"1,199","2,426",872,"2,784","1,034","3,717","5,456","4,516","1,754",334,
2020년09월_계_60~69세,"40,458","1,246","4,365","2,034","3,510",811,"1,312","1,123",964,758,"2,349","1,321","1,055","1,054","1,459","2,677","1,078","1,730","1,147","2,122","2,936","3,325","1,698",384,
2020년09월_계_70~79세,"24,427",950,"2,915","1,464","1,896",617,746,819,657,665,"1,136",905,732,741,984,"1,761",849,929,784,888,"1,163","1,535","1,033",258,
2020년09월_계_80~89세,"12,894",511,"1,601",842,"1,085",429,391,572,375,352,618,569,376,339,428,640,513,483,416,444,597,632,564,117,
2020년09월_계_90~99세,"1,717",72,168,113,152,62,76,64,53,40,78,78,45,32,66,81,58,63,67,76,87,77,89,20,
2020년09월_계_100세 이상,92,2,12,8,7,3,3,3,3,2,0,2,1,8,11,2,8,1,1,4,2,1,6,2,
2020년09월_남_총인구수,"126,826","2,767","12,510","4,841","10,407","2,243","3,356","2,382","1,616","1,630","10,841","3,222","2,992","2,683","3,231","7,037","2,399","7,528","2,927","10,660","14,356","11,485","4,821",892,
2020년09월_남_연령구간인구수,"126,826","2,767","12,510","4,841","10,407","2,243","3,356","2,382","1,616","1,630","10,841","3,222","2,992","2,683","3,231","7,037","2,399","7,528","2,927","10,660","14,356","11,485","4,821",892,
2020년09월_남_0~9세,"8,409",87,649,191,557,125,153,54,30,30,"1,285",93,141,109,88,256,56,614,186,"1,336","1,320",677,343,29,
2020년09월_남_10~19세,"11,016",109,"1,056",279,588,121,181,105,48,90,"1,247",181,173,177,186,449,101,923,187,"1,228","2,028","1,209",310,40,
2020년09월_남_20~29세,"15,138",231,"1,393",463,"1,116",262,386,172,77,116,"1,241",282,309,324,351,"1,186",206,"1,090",297,"1,338","2,054","1,717",441,86,
2020년09월_남_30~39세,"13,687",203,982,402,"1,316",292,303,166,72,89,"1,552",233,344,297,334,773,183,789,256,"1,457","1,618","1,303",638,85,
2020년09월_남_40~49세,"19,309",403,"1,794",620,"1,620",260,446,241,114,198,"1,886",437,401,369,435,"1,003",295,"1,264",417,"1,922","2,492","1,863",713,116,
2020년09월_남_50~59세,"24,141",567,"2,652",929,"2,164",380,731,508,312,326,"1,769",716,585,463,624,"1,180",485,"1,412",544,"1,793","2,703","2,209",912,177,
2020년09월_남_60~69세,"19,915",602,"2,152","1,004","1,832",413,669,585,509,367,"1,154",686,555,483,647,"1,171",542,850,540,"1,081","1,468","1,597",814,194,
2020년09월_남_70~79세,"10,796",379,"1,298",635,877,264,343,368,314,283,516,410,347,333,402,762,357,408,355,374,505,686,456,124,
2020년09월_남_80~89세,"4,054",170,500,294,304,120,131,167,130,124,184,165,123,122,147,242,158,162,129,115,155,203,176,33,
2020년09월_남_90~99세,339,16,32,23,29,5,13,15,9,6,7,19,14,4,14,14,13,16,16,16,13,20,18,7,
2020년09월_남_100세 이상,22,0,2,1,4,1,0,1,1,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2020년09월_여_총인구수,"126,570","2,776","12,631","4,724","9,283","2,091","2,937","2,372","1,650","1,627","11,123","3,129","2,758","2,713","3,466","7,110","2,465","7,487","3,030","10,989","14,818","11,528","4,956",907,
2020년09월_여_연령구간인구수,"126,570","2,776","12,631","4,724","9,283","2,091","2,937","2,372","1,650","1,627","11,123","3,129","2,758","2,713","3,466","7,110","2,465","7,487","3,030","10,989","14,818","11,528","4,956",907,
2020년09월_여_0~9세,"8,036",72,590,173,560,119,142,48,23,32,"1,193",103,138,110,110,203,48,597,181,"1,308","1,281",643,333,29,
2020년09월_여_10~19세,"10,026",106,"1,025",224,517,69,154,98,48,42,"1,220",169,163,142,156,417,104,803,152,"1,205","1,768","1,103",289,52,
2020년09월_여_20~29세,"11,727",148,"1,026",277,802,169,198,118,51,77,"1,076",221,246,247,310,887,144,850,202,"1,076","1,730","1,361",414,97,
2020년09월_여_30~39세,"12,003",145,862,283,915,196,207,95,65,69,"1,580",163,262,248,240,543,129,752,279,"1,519","1,710","1,128",555,58,
2020년09월_여_40~49세,"17,655",229,"1,621",443,"1,076",138,291,175,81,122,"1,942",311,297,279,340,843,220,"1,343",351,"2,009","2,932","1,923",597,92,
2020년09월_여_50~59세,"22,661",462,"2,430",820,"1,809",281,573,393,293,249,"1,792",567,482,457,575,"1,246",387,"1,372",490,"1,924","2,753","2,307",842,157,
2020년09월_여_60~69세,"20,543",644,"2,213","1,030","1,678",398,643,538,455,391,"1,195",635,500,571,812,"1,506",536,880,607,"1,041","1,468","1,728",884,190,
2020년09월_여_70~79세,"13,631",571,"1,617",829,"1,019",353,403,451,343,382,620,495,385,408,582,999,492,521,429,514,658,849,577,134,
2020년09월_여_80~89세,"8,840",341,"1,101",548,781,309,260,405,245,228,434,404,253,217,281,398,355,321,287,329,442,429,388,84,
2020년09월_여_90~99세,"1,378",56,136,90,123,57,63,49,44,34,71,59,31,28,52,67,45,47,51,60,74,57,71,13,
2020년09월_여_100세 이상,70,2,10,7,3,2,3,2,2,1,0,2,1,6,8,1,5,1,1,4,2,0,6,1,
2020년10월_계_총인구수,"253,282","5,534","25,131","9,550","19,869","4,335","6,286","4,729","3,272","3,243","21,989","6,340","5,759","5,389","6,664","14,119","4,831","15,009","5,956","21,657","29,093","22,946","9,800","1,781",
2020년10월_계_연령구간인구수,"253,282","5,534","25,131","9,550","19,869","4,335","6,286","4,729","3,272","3,243","21,989","6,340","5,759","5,389","6,664","14,119","4,831","15,009","5,956","21,657","29,093","22,946","9,800","1,781",
2020년10월_계_0~9세,"16,357",158,"1,231",360,"1,139",246,288,100,54,62,"2,469",195,281,223,193,449,101,"1,208",358,"2,640","2,555","1,317",675,55,
2020년10월_계_10~19세,"20,935",213,"2,076",505,"1,101",187,331,198,96,128,"2,457",344,338,318,336,853,203,"1,711",347,"2,423","3,770","2,306",600,94,
2020년10월_계_20~29세,"26,888",377,"2,407",736,"1,939",439,590,290,129,191,"2,338",500,549,560,652,"2,090",354,"1,949",504,"2,420","3,796","3,049",858,171,
2020년10월_계_30~39세,"25,542",350,"1,832",678,"2,247",486,504,259,139,156,"3,106",393,610,544,570,"1,305",301,"1,537",533,"2,952","3,293","2,421","1,185",141,
2020년10월_계_40~49세,"36,835",635,"3,396","1,063","2,700",395,734,405,197,314,"3,853",742,707,650,770,"1,830",511,"2,594",761,"3,935","5,370","3,751","1,314",208,
2020년10월_계_50~59세,"46,779","1,016","5,073","1,743","4,017",656,"1,307",898,597,572,"3,563","1,288","1,060",911,"1,186","2,412",869,"2,779","1,039","3,727","5,483","4,493","1,760",330,
2020년10월_계_60~69세,"40,711","1,253","4,389","2,040","3,561",818,"1,314","1,126",971,754,"2,364","1,328","1,064","1,060","1,462","2,683","1,069","1,753","1,146","2,145","2,955","3,358","1,713",385,
2020년10월_계_70~79세,"24,477",946,"2,937","1,465","1,912",617,744,815,658,665,"1,139",904,724,744,990,"1,766",842,928,782,890,"1,179","1,537","1,037",256,
2020년10월_계_80~89세,"12,934",511,"1,611",838,"1,091",427,392,570,377,358,620,564,381,338,427,645,515,486,417,446,604,636,561,119,
2020년10월_계_90~99세,"1,734",73,166,114,155,61,79,65,53,41,80,80,44,33,67,84,58,63,68,75,86,77,92,20,
2020년10월_계_100세 이상,90,2,13,8,7,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2,
2020년10월_남_총인구수,"126,760","2,755","12,495","4,835","10,510","2,255","3,356","2,370","1,616","1,618","10,852","3,218","2,989","2,672","3,214","7,014","2,391","7,526","2,925","10,667","14,311","11,452","4,833",886,
2020년10월_남_연령구간인구수,"126,760","2,755","12,495","4,835","10,510","2,255","3,356","2,370","1,616","1,618","10,852","3,218","2,989","2,672","3,214","7,014","2,391","7,526","2,925","10,667","14,311","11,452","4,833",886,
2020년10월_남_0~9세,"8,366",85,643,190,570,127,151,53,29,29,"1,283",89,142,109,84,251,52,617,180,"1,340","1,293",678,343,28,
2020년10월_남_10~19세,"10,947",107,"1,054",276,589,120,176,104,48,88,"1,240",178,172,176,180,444,99,913,193,"1,219","2,011","1,208",310,42,
2020년10월_남_20~29세,"15,145",229,"1,385",465,"1,125",271,389,169,78,114,"1,252",280,307,318,354,"1,188",210,"1,091",297,"1,340","2,061","1,697",443,82,
2020년10월_남_30~39세,"13,616",204,977,398,"1,322",295,301,164,72,89,"1,542",230,340,296,333,771,178,790,258,"1,441","1,599","1,299",635,82,
2020년10월_남_40~49세,"19,243",403,"1,782",622,"1,628",256,447,237,115,192,"1,894",434,408,368,428,994,293,"1,258",410,"1,925","2,463","1,857",714,115,
2020년10월_남_50~59세,"24,154",562,"2,648",926,"2,192",378,734,506,310,326,"1,775",722,577,462,618,"1,180",486,"1,410",546,"1,805","2,719","2,181",916,175,
2020년10월_남_60~69세,"20,050",605,"2,166","1,008","1,862",419,669,587,507,363,"1,157",695,562,483,646,"1,164",541,861,541,"1,090","1,484","1,620",822,198,
2020년10월_남_70~79세,"10,820",377,"1,302",637,885,264,344,370,316,286,517,408,343,331,405,764,355,407,354,376,511,686,460,122,
2020년10월_남_80~89세,"4,051",168,504,288,303,118,131,164,132,123,184,162,124,122,148,242,161,164,130,115,157,205,172,34,
2020년10월_남_90~99세,347,15,32,24,30,6,14,15,9,7,8,20,14,5,15,15,13,15,16,16,13,20,18,7,
2020년10월_남_100세 이상,21,0,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2020년10월_여_총인구수,"126,522","2,779","12,636","4,715","9,359","2,080","2,930","2,359","1,656","1,625","11,137","3,122","2,770","2,717","3,450","7,105","2,440","7,483","3,031","10,990","14,782","11,494","4,967",895,
2020년10월_여_연령구간인구수,"126,522","2,779","12,636","4,715","9,359","2,080","2,930","2,359","1,656","1,625","11,137","3,122","2,770","2,717","3,450","7,105","2,440","7,483","3,031","10,990","14,782","11,494","4,967",895,
2020년10월_여_0~9세,"7,991",73,588,170,569,119,137,47,25,33,"1,186",106,139,114,109,198,49,591,178,"1,300","1,262",639,332,27,
2020년10월_여_10~19세,"9,988",106,"1,022",229,512,67,155,94,48,40,"1,217",166,166,142,156,409,104,798,154,"1,204","1,759","1,098",290,52,
2020년10월_여_20~29세,"11,743",148,"1,022",271,814,168,201,121,51,77,"1,086",220,242,242,298,902,144,858,207,"1,080","1,735","1,352",415,89,
2020년10월_여_30~39세,"11,926",146,855,280,925,191,203,95,67,67,"1,564",163,270,248,237,534,123,747,275,"1,511","1,694","1,122",550,59,
2020년10월_여_40~49세,"17,592",232,"1,614",441,"1,072",139,287,168,82,122,"1,959",308,299,282,342,836,218,"1,336",351,"2,010","2,907","1,894",600,93,
2020년10월_여_50~59세,"22,625",454,"2,425",817,"1,825",278,573,392,287,246,"1,788",566,483,449,568,"1,232",383,"1,369",493,"1,922","2,764","2,312",844,155,
2020년10월_여_60~69세,"20,661",648,"2,223","1,032","1,699",399,645,539,464,391,"1,207",633,502,577,816,"1,519",528,892,605,"1,055","1,471","1,738",891,187,
2020년10월_여_70~79세,"13,657",569,"1,635",828,"1,027",353,400,445,342,379,622,496,381,413,585,"1,002",487,521,428,514,668,851,577,134,
2020년10월_여_80~89세,"8,883",343,"1,107",550,788,309,261,406,245,235,436,402,257,216,279,403,354,322,287,331,447,431,389,85,
2020년10월_여_90~99세,"1,387",58,134,90,125,55,65,50,44,34,72,60,30,28,52,69,45,48,52,59,73,57,74,13,
2020년10월_여_100세 이상,69,2,11,7,3,2,3,2,1,1,0,2,1,6,8,1,5,1,1,4,2,0,5,1,
2020년11월_계_총인구수,"253,468","5,517","25,076","9,511","20,150","4,317","6,295","4,730","3,270","3,233","22,001","6,335","5,739","5,324","6,635","14,121","4,815","14,999","5,967","22,067","28,919","22,870","9,788","1,789",
2020년11월_계_연령구간인구수,"253,468","5,517","25,076","9,511","20,150","4,317","6,295","4,730","3,270","3,233","22,001","6,335","5,739","5,324","6,635","14,121","4,815","14,999","5,967","22,067","28,919","22,870","9,788","1,789",
2020년11월_계_0~9세,"16,295",153,"1,206",350,"1,158",240,291,99,55,61,"2,461",194,280,215,182,446,97,"1,209",358,"2,708","2,517","1,295",666,54,
2020년11월_계_10~19세,"20,868",211,"2,073",503,"1,112",185,330,196,89,124,"2,456",336,339,315,336,843,200,"1,713",347,"2,441","3,747","2,278",599,95,
2020년11월_계_20~29세,"26,953",374,"2,387",729,"1,982",439,589,284,135,194,"2,347",508,546,550,643,"2,078",352,"1,955",505,"2,483","3,783","3,053",860,177,
2020년11월_계_30~39세,"25,530",345,"1,826",669,"2,315",480,501,259,137,153,"3,101",387,605,524,569,"1,303",307,"1,519",531,"3,021","3,253","2,416","1,171",138,
2020년11월_계_40~49세,"36,763",624,"3,374","1,056","2,734",387,727,401,195,310,"3,851",747,698,651,764,"1,829",507,"2,593",759,"4,000","5,327","3,708","1,310",211,
2020년11월_계_50~59세,"46,846","1,015","5,070","1,728","4,073",654,"1,316",896,590,570,"3,569","1,288","1,058",900,"1,181","2,426",863,"2,776","1,045","3,787","5,451","4,497","1,764",329,
2020년11월_계_60~69세,"40,906","1,262","4,406","2,049","3,597",826,"1,320","1,137",976,755,"2,375","1,318","1,068","1,047","1,458","2,688","1,070","1,761","1,152","2,201","2,964","3,377","1,716",383,
2020년11월_계_70~79세,"24,522",945,"2,926","1,468","1,920",617,743,819,659,663,"1,144",911,725,750,997,"1,776",838,929,785,889,"1,183","1,528","1,046",261,
