카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2021년05월_여_50~59세,"3,170","1,684",79,141,174,181,174,96,117,333,191,
2021년05월_여_60~69세,"3,904","1,694",124,158,230,257,303,143,198,491,306,
2021년05월_여_70~79세,"2,596","1,165",108,146,128,190,178,77,154,280,170,
2021년05월_여_80~89세,"1,782",712,90,101,97,130,147,60,108,248,89,
2021년05월_여_90~99세,247,101,11,9,18,19,22,5,16,30,16,
2021년05월_여_100세 이상,14,3,0,0,0,4,3,0,0,4,0,
2021년06월_계_총인구수,"38,057","20,857","1,055","1,441","1,704","2,111","2,245","1,222","1,676","3,727","2,019",
2021년06월_계_연령구간인구수,"38,057","20,857","1,055","1,441","1,704","2,111","2,245","1,222","1,676","3,727","2,019",
2021년06월_계_0~9세,"1,609","1,246",19,31,28,33,39,42,44,85,42,
2021년06월_계_10~19세,"2,881","2,150",32,52,78,90,104,38,60,201,76,
2021년06월_계_20~29세,"3,131","2,215",46,69,80,125,112,99,95,207,83,
2021년06월_계_30~39세,"2,698","1,855",48,54,53,103,119,74,118,181,93,
2021년06월_계_40~49세,"4,389","2,886",101,108,147,186,212,117,157,305,170,
2021년06월_계_50~59세,"7,134","3,732",192,320,376,420,420,259,292,731,392,
2021년06월_계_60~69세,"8,287","3,451",275,394,504,570,649,321,437,"1,048",638,
2021년06월_계_70~79세,"4,761","2,065",190,245,260,341,347,162,273,530,348,
2021년06월_계_80~89세,"2,796","1,115",140,152,155,209,208,102,172,388,155,
2021년06월_계_90~99세,350,138,12,16,23,27,30,8,27,47,22,
2021년06월_계_100세 이상,21,4,0,0,0,7,5,0,1,4,0,
2021년06월_남_총인구수,"19,711","10,675",550,752,888,"1,102","1,191",688,911,"1,913","1,041",
2021년06월_남_연령구간인구수,"19,711","10,675",550,752,888,"1,102","1,191",688,911,"1,913","1,041",
2021년06월_남_0~9세,844,659,12,12,14,17,19,21,27,42,21,
2021년06월_남_10~19세,"1,562","1,180",17,24,40,38,56,24,24,118,41,
2021년06월_남_20~29세,"1,822","1,261",30,44,51,79,71,64,58,117,47,
2021년06월_남_30~39세,"1,468",969,24,36,31,59,78,40,83,103,45,
2021년06월_남_40~49세,"2,381","1,457",67,69,81,119,130,68,110,175,105,
2021년06월_남_50~59세,"3,975","2,052",114,177,204,240,250,166,175,394,203,
2021년06월_남_60~69세,"4,371","1,755",150,231,272,313,345,176,239,558,332,
2021년06월_남_70~79세,"2,175",906,87,99,133,151,169,86,119,251,174,
2021년06월_남_80~89세,"1,008",398,48,54,57,76,64,41,64,140,66,
2021년06월_남_90~99세,97,37,1,6,5,7,7,2,11,14,7,
2021년06월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년06월_여_총인구수,"18,346","10,182",505,689,816,"1,009","1,054",534,765,"1,814",978,
2021년06월_여_연령구간인구수,"18,346","10,182",505,689,816,"1,009","1,054",534,765,"1,814",978,
2021년06월_여_0~9세,765,587,7,19,14,16,20,21,17,43,21,
2021년06월_여_10~19세,"1,319",970,15,28,38,52,48,14,36,83,35,
2021년06월_여_20~29세,"1,309",954,16,25,29,46,41,35,37,90,36,
2021년06월_여_30~39세,"1,230",886,24,18,22,44,41,34,35,78,48,
2021년06월_여_40~49세,"2,008","1,429",34,39,66,67,82,49,47,130,65,
2021년06월_여_50~59세,"3,159","1,680",78,143,172,180,170,93,117,337,189,
2021년06월_여_60~69세,"3,916","1,696",125,163,232,257,304,145,198,490,306,
2021년06월_여_70~79세,"2,586","1,159",103,146,127,190,178,76,154,279,174,
2021년06월_여_80~89세,"1,788",717,92,98,98,133,144,61,108,248,89,
2021년06월_여_90~99세,253,101,11,10,18,20,23,6,16,33,15,
2021년06월_여_100세 이상,13,3,0,0,0,4,3,0,0,3,0,
2021년07월_계_총인구수,"38,064","20,840","1,052","1,444","1,713","2,106","2,248","1,218","1,670","3,751","2,022",
2021년07월_계_연령구간인구수,"38,064","20,840","1,052","1,444","1,713","2,106","2,248","1,218","1,670","3,751","2,022",
2021년07월_계_0~9세,"1,590","1,228",19,31,27,33,40,43,43,86,40,
2021년07월_계_10~19세,"2,859","2,127",32,50,78,88,102,38,61,206,77,
2021년07월_계_20~29세,"3,149","2,226",47,70,83,126,117,97,93,207,83,
2021년07월_계_30~39세,"2,685","1,848",46,53,51,104,116,75,117,183,92,
2021년07월_계_40~49세,"4,381","2,875",104,107,150,184,215,110,156,310,170,
2021년07월_계_50~59세,"7,123","3,739",190,320,373,423,417,259,290,728,384,
2021년07월_계_60~69세,"8,337","3,470",276,397,512,565,649,323,438,"1,059",648,
2021년07월_계_70~79세,"4,769","2,068",188,245,261,341,348,164,273,531,350,
2021년07월_계_80~89세,"2,804","1,118",137,155,155,210,209,102,172,390,156,
2021년07월_계_90~99세,346,137,13,16,23,25,30,7,26,47,22,
2021년07월_계_100세 이상,21,4,0,0,0,7,5,0,1,4,0,
2021년07월_남_총인구수,"19,724","10,670",546,753,894,"1,101","1,194",685,911,"1,929","1,041",
2021년07월_남_연령구간인구수,"19,724","10,670",546,753,894,"1,101","1,194",685,911,"1,929","1,041",
2021년07월_남_0~9세,838,656,12,12,13,17,18,21,27,43,19,
2021년07월_남_10~19세,"1,548","1,163",17,24,40,36,54,24,24,124,42,
2021년07월_남_20~29세,"1,838","1,271",31,43,53,80,76,63,57,118,46,
2021년07월_남_30~39세,"1,462",965,22,35,32,60,76,41,84,103,44,
2021년07월_남_40~49세,"2,372","1,449",69,68,82,118,131,65,109,177,104,
2021년07월_남_50~59세,"3,966","2,054",112,177,202,244,249,164,173,389,202,
2021년07월_남_60~69세,"4,401","1,768",150,234,276,311,347,177,240,566,332,
2021년07월_남_70~79세,"2,182",909,85,100,134,148,168,87,121,252,178,
2021년07월_남_80~89세,"1,012",398,47,54,57,77,65,41,64,142,67,
2021년07월_남_90~99세,97,36,1,6,5,7,8,2,11,14,7,
2021년07월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년07월_여_총인구수,"18,340","10,170",506,691,819,"1,005","1,054",533,759,"1,822",981,
2021년07월_여_연령구간인구수,"18,340","10,170",506,691,819,"1,005","1,054",533,759,"1,822",981,
2021년07월_여_0~9세,752,572,7,19,14,16,22,22,16,43,21,
2021년07월_여_10~19세,"1,311",964,15,26,38,52,48,14,37,82,35,
2021년07월_여_20~29세,"1,311",955,16,27,30,46,41,34,36,89,37,
2021년07월_여_30~39세,"1,223",883,24,18,19,44,40,34,33,80,48,
2021년07월_여_40~49세,"2,009","1,426",35,39,68,66,84,45,47,133,66,
2021년07월_여_50~59세,"3,157","1,685",78,143,171,179,168,95,117,339,182,
2021년07월_여_60~69세,"3,936","1,702",126,163,236,254,302,146,198,493,316,
2021년07월_여_70~79세,"2,587","1,159",103,145,127,193,180,77,152,279,172,
2021년07월_여_80~89세,"1,792",720,90,101,98,133,144,61,108,248,89,
2021년07월_여_90~99세,249,101,12,10,18,18,22,5,15,33,15,
2021년07월_여_100세 이상,13,3,0,0,0,4,3,0,0,3,0,
2021년08월_계_총인구수,"38,055","20,867","1,046","1,430","1,703","2,105","2,248","1,213","1,662","3,750","2,031",
2021년08월_계_연령구간인구수,"38,055","20,867","1,046","1,430","1,703","2,105","2,248","1,213","1,662","3,750","2,031",
2021년08월_계_0~9세,"1,586","1,228",19,26,26,32,42,43,42,87,41,
2021년08월_계_10~19세,"2,829","2,101",31,48,78,87,102,41,59,202,80,
2021년08월_계_20~29세,"3,164","2,239",48,70,81,127,118,93,94,210,84,
2021년08월_계_30~39세,"2,678","1,851",41,51,51,104,116,74,116,183,91,
2021년08월_계_40~49세,"4,362","2,883",102,105,151,180,210,112,152,301,166,
2021년08월_계_50~59세,"7,127","3,746",190,321,372,419,417,257,290,732,383,
2021년08월_계_60~69세,"8,355","3,488",279,394,505,569,650,323,435,"1,060",652,
2021년08월_계_70~79세,"4,761","2,064",187,243,259,342,347,161,275,531,352,
2021년08월_계_80~89세,"2,821","1,124",134,156,156,214,210,102,172,393,160,
2021년08월_계_90~99세,349,138,15,16,24,24,30,7,26,47,22,
2021년08월_계_100세 이상,23,5,0,0,0,7,6,0,1,4,0,
2021년08월_남_총인구수,"19,719","10,687",545,752,884,"1,107","1,196",678,906,"1,925","1,039",
2021년08월_남_연령구간인구수,"19,719","10,687",545,752,884,"1,107","1,196",678,906,"1,925","1,039",
2021년08월_남_0~9세,835,655,12,10,12,17,20,21,25,44,19,
2021년08월_남_10~19세,"1,532","1,151",17,24,40,36,54,25,23,119,43,
2021년08월_남_20~29세,"1,851","1,283",33,44,52,80,76,60,57,121,45,
2021년08월_남_30~39세,"1,459",968,19,35,31,61,76,40,84,101,44,
2021년08월_남_40~49세,"2,360","1,445",68,68,83,118,127,66,106,177,102,
2021년08월_남_50~59세,"3,963","2,054",111,178,200,243,253,162,173,390,199,
2021년08월_남_60~69세,"4,417","1,786",152,235,272,316,348,176,238,564,330,
2021년08월_남_70~79세,"2,178",908,85,98,132,147,168,84,123,251,182,
2021년08월_남_80~89세,"1,018",398,47,54,57,80,64,42,64,144,68,
2021년08월_남_90~99세,98,38,1,6,5,6,8,2,12,13,7,
2021년08월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년08월_여_총인구수,"18,336","10,180",501,678,819,998,"1,052",535,756,"1,825",992,
2021년08월_여_연령구간인구수,"18,336","10,180",501,678,819,998,"1,052",535,756,"1,825",992,
2021년08월_여_0~9세,751,573,7,16,14,15,22,22,17,43,22,
2021년08월_여_10~19세,"1,297",950,14,24,38,51,48,16,36,83,37,
2021년08월_여_20~29세,"1,313",956,15,26,29,47,42,33,37,89,39,
2021년08월_여_30~39세,"1,219",883,22,16,20,43,40,34,32,82,47,
2021년08월_여_40~49세,"2,002","1,438",34,37,68,62,83,46,46,124,64,
2021년08월_여_50~59세,"3,164","1,692",79,143,172,176,164,95,117,342,184,
2021년08월_여_60~69세,"3,938","1,702",127,159,233,253,302,147,197,496,322,
2021년08월_여_70~79세,"2,583","1,156",102,145,127,195,179,77,152,280,170,
2021년08월_여_80~89세,"1,803",726,87,102,99,134,146,60,108,249,92,
2021년08월_여_90~99세,251,100,14,10,19,18,22,5,14,34,15,
2021년08월_여_100세 이상,15,4,0,0,0,4,4,0,0,3,0,
2021년09월_계_총인구수,"38,012","20,863","1,044","1,425","1,699","2,089","2,240","1,211","1,649","3,758","2,034",
2021년09월_계_연령구간인구수,"38,012","20,863","1,044","1,425","1,699","2,089","2,240","1,211","1,649","3,758","2,034",
2021년09월_계_0~9세,"1,582","1,227",19,26,25,31,38,43,44,88,41,
2021년09월_계_10~19세,"2,806","2,079",32,50,79,84,102,42,57,203,78,
2021년09월_계_20~29세,"3,129","2,220",49,65,79,124,113,93,93,207,86,
2021년09월_계_30~39세,"2,666","1,861",39,50,51,101,111,71,112,181,89,
2021년09월_계_40~49세,"4,357","2,891",102,106,148,178,209,111,150,297,165,
2021년09월_계_50~59세,"7,131","3,752",189,322,370,421,417,254,286,733,387,
2021년09월_계_60~69세,"8,396","3,503",280,390,514,568,658,326,433,"1,071",653,
2021년09월_계_70~79세,"4,733","2,042",185,241,255,341,344,163,274,534,354,
2021년09월_계_80~89세,"2,839","1,143",134,158,156,210,212,101,173,393,159,
2021년09월_계_90~99세,349,140,15,16,22,24,30,7,26,47,22,
2021년09월_계_100세 이상,24,5,0,1,0,7,6,0,1,4,0,
2021년09월_남_총인구수,"19,673","10,676",544,753,880,"1,100","1,189",673,895,"1,926","1,037",
2021년09월_남_연령구간인구수,"19,673","10,676",544,753,880,"1,100","1,189",673,895,"1,926","1,037",
2021년09월_남_0~9세,837,659,12,10,12,16,17,21,26,46,18,
2021년09월_남_10~19세,"1,516","1,138",18,26,40,32,53,25,23,118,43,
2021년09월_남_20~29세,"1,824","1,263",34,42,51,79,73,60,55,121,46,
2021년09월_남_30~39세,"1,454",980,18,36,31,57,73,37,82,98,42,
2021년09월_남_40~49세,"2,346","1,443",68,68,78,117,129,66,104,172,101,
2021년09월_남_50~59세,"3,959","2,049",110,182,202,246,251,159,170,392,198,
2021년09월_남_60~69세,"4,445","1,800",153,231,275,316,354,177,236,571,332,
2021년09월_남_70~79세,"2,160",895,84,98,130,149,164,84,123,251,182,
2021년09월_남_80~89세,"1,027",409,46,53,57,79,65,42,65,143,68,
2021년09월_남_90~99세,97,39,1,7,4,6,8,2,10,13,7,
2021년09월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년09월_여_총인구수,"18,339","10,187",500,672,819,989,"1,051",538,754,"1,832",997,
2021년09월_여_연령구간인구수,"18,339","10,187",500,672,819,989,"1,051",538,754,"1,832",997,
2021년09월_여_0~9세,745,568,7,16,13,15,21,22,18,42,23,
2021년09월_여_10~19세,"1,290",941,14,24,39,52,49,17,34,85,35,
2021년09월_여_20~29세,"1,305",957,15,23,28,45,40,33,38,86,40,
2021년09월_여_30~39세,"1,212",881,21,14,20,44,38,34,30,83,47,
2021년09월_여_40~49세,"2,011","1,448",34,38,70,61,80,45,46,125,64,
2021년09월_여_50~59세,"3,172","1,703",79,140,168,175,166,95,116,341,189,
2021년09월_여_60~69세,"3,951","1,703",127,159,239,252,304,149,197,500,321,
2021년09월_여_70~79세,"2,573","1,147",101,143,125,192,180,79,151,283,172,
2021년09월_여_80~89세,"1,812",734,88,105,99,131,147,59,108,250,91,
2021년09월_여_90~99세,252,101,14,9,18,18,22,5,16,34,15,
2021년09월_여_100세 이상,16,4,0,1,0,4,4,0,0,3,0,
2021년10월_계_총인구수,"38,011","20,862","1,035","1,424","1,702","2,085","2,229","1,217","1,652","3,756","2,049",
2021년10월_계_연령구간인구수,"38,011","20,862","1,035","1,424","1,702","2,085","2,229","1,217","1,652","3,756","2,049",
2021년10월_계_0~9세,"1,581","1,228",19,26,25,31,36,42,45,86,43,
2021년10월_계_10~19세,"2,791","2,067",33,50,79,83,97,45,56,201,80,
2021년10월_계_20~29세,"3,131","2,226",49,63,80,119,113,96,94,204,87,
2021년10월_계_30~39세,"2,652","1,853",40,49,48,101,111,69,114,178,89,
2021년10월_계_40~49세,"4,341","2,883",99,104,147,177,210,110,148,294,169,
2021년10월_계_50~59세,"7,133","3,772",188,325,368,421,407,251,282,730,389,
2021년10월_계_60~69세,"8,437","3,504",277,394,523,570,663,332,435,"1,083",656,
2021년10월_계_70~79세,"4,723","2,032",185,239,256,344,341,163,275,532,356,
2021년10월_계_80~89세,"2,845","1,149",130,158,154,208,214,102,175,398,157,
2021년10월_계_90~99세,353,143,15,16,22,24,31,7,27,45,23,
2021년10월_계_100세 이상,24,5,0,0,0,7,6,0,1,5,0,
2021년10월_남_총인구수,"19,669","10,665",538,754,883,"1,101","1,187",677,897,"1,923","1,044",
2021년10월_남_연령구간인구수,"19,669","10,665",538,754,883,"1,101","1,187",677,897,"1,923","1,044",
2021년10월_남_0~9세,836,658,12,9,12,16,16,21,27,45,20,
2021년10월_남_10~19세,"1,507","1,130",19,26,40,32,51,26,22,117,44,
2021년10월_남_20~29세,"1,821","1,263",34,40,51,77,73,62,57,119,45,
2021년10월_남_30~39세,"1,440",972,18,36,30,57,73,36,81,95,42,
2021년10월_남_40~49세,"2,343","1,442",66,68,75,116,132,65,104,173,102,
2021년10월_남_50~59세,"3,960","2,054",109,184,203,248,245,159,167,389,202,
2021년10월_남_60~69세,"4,473","1,806",153,233,281,318,356,179,239,576,332,
2021년10월_남_70~79세,"2,158",888,83,98,131,150,166,85,123,252,182,
2021년10월_남_80~89세,"1,025",411,43,53,56,78,65,42,66,143,68,
2021년10월_남_90~99세,98,40,1,7,4,6,8,2,10,13,7,
2021년10월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년10월_여_총인구수,"18,342","10,197",497,670,819,984,"1,042",540,755,"1,833","1,005",
2021년10월_여_연령구간인구수,"18,342","10,197",497,670,819,984,"1,042",540,755,"1,833","1,005",
2021년10월_여_0~9세,745,570,7,17,13,15,20,21,18,41,23,
2021년10월_여_10~19세,"1,284",937,14,24,39,51,46,19,34,84,36,
2021년10월_여_20~29세,"1,310",963,15,23,29,42,40,34,37,85,42,
2021년10월_여_30~39세,"1,212",881,22,13,18,44,38,33,33,83,47,
2021년10월_여_40~49세,"1,998","1,441",33,36,72,61,78,45,44,121,67,
2021년10월_여_50~59세,"3,173","1,718",79,141,165,173,162,92,115,341,187,
2021년10월_여_60~69세,"3,964","1,698",124,161,242,252,307,153,196,507,324,
2021년10월_여_70~79세,"2,565","1,144",102,141,125,194,175,78,152,280,174,
2021년10월_여_80~89세,"1,820",738,87,105,98,130,149,60,109,255,89,
2021년10월_여_90~99세,255,103,14,9,18,18,23,5,17,32,16,
2021년10월_여_100세 이상,16,4,0,0,0,4,4,0,0,4,0,
2021년11월_계_총인구수,"37,934","20,821","1,029",0,"1,705","2,084","2,221","1,213","1,658","3,739","2,049","1,415"
2021년11월_계_연령구간인구수,"37,934","20,821","1,029",0,"1,705","2,084","2,221","1,213","1,658","3,739","2,049","1,415"
2021년11월_계_0~9세,"1,571","1,219",19,0,23,33,35,39,45,87,45,26
2021년11월_계_10~19세,"2,773","2,052",29,0,80,83,100,44,54,200,81,50
2021년11월_계_20~29세,"3,120","2,216",47,0,82,118,113,96,101,199,84,64
2021년11월_계_30~39세,"2,635","1,844",41,0,50,97,107,68,113,175,91,49
2021년11월_계_40~49세,"4,331","2,883",99,0,150,175,211,109,148,292,163,101
2021년11월_계_50~59세,"7,113","3,756",184,0,359,424,404,254,282,733,391,326
2021년11월_계_60~69세,"8,468","3,524",278,0,529,573,668,328,438,"1,081",661,388
2021년11월_계_70~79세,"4,697","2,029",186,0,257,339,338,164,272,523,351,238
2021년11월_계_80~89세,"2,849","1,145",130,0,153,213,211,104,177,400,159,157
2021년11월_계_90~99세,360,149,16,0,22,23,32,7,27,45,23,16
2021년11월_계_100세 이상,17,4,0,0,0,6,2,0,1,4,0,0
2021년11월_남_총인구수,"19,631","10,651",536,0,885,"1,096","1,182",677,897,"1,912","1,043",752
2021년11월_남_연령구간인구수,"19,631","10,651",536,0,885,"1,096","1,182",677,897,"1,912","1,043",752
2021년11월_남_0~9세,834,659,12,0,11,16,15,18,27,46,21,9
2021년11월_남_10~19세,"1,500","1,126",17,0,41,33,52,26,19,116,44,26
2021년11월_남_20~29세,"1,809","1,251",33,0,51,76,71,62,60,118,46,41
2021년11월_남_30~39세,"1,433",969,19,0,31,55,70,37,81,93,42,36
2021년11월_남_40~49세,"2,336","1,449",64,0,76,113,132,64,103,172,98,65
2021년11월_남_50~59세,"3,957","2,049",108,0,199,247,244,162,168,389,204,187
2021년11월_남_60~69세,"4,482","1,810",155,0,285,321,358,175,240,573,335,230
2021년11월_남_70~79세,"2,154",889,84,0,132,149,167,87,122,249,176,99
2021년11월_남_80~89세,"1,024",408,43,0,55,78,65,44,66,143,70,52
2021년11월_남_90~99세,98,41,1,0,4,6,8,2,10,12,7,7
2021년11월_남_100세 이상,4,0,0,0,0,2,0,0,1,1,0,0
2021년11월_여_총인구수,"18,303","10,170",493,0,820,988,"1,039",536,761,"1,827","1,006",663
2021년11월_여_연령구간인구수,"18,303","10,170",493,0,820,988,"1,039",536,761,"1,827","1,006",663
2021년11월_여_0~9세,737,560,7,0,12,17,20,21,18,41,24,17
2021년11월_여_10~19세,"1,273",926,12,0,39,50,48,18,35,84,37,24
2021년11월_여_20~29세,"1,311",965,14,0,31,42,42,34,41,81,38,23
2021년11월_여_30~39세,"1,202",875,22,0,19,42,37,31,32,82,49,13
2021년11월_여_40~49세,"1,995","1,434",35,0,74,62,79,45,45,120,65,36
2021년11월_여_50~59세,"3,156","1,707",76,0,160,177,160,92,114,344,187,139
2021년11월_여_60~69세,"3,986","1,714",123,0,244,252,310,153,198,508,326,158
2021년11월_여_70~79세,"2,543","1,140",102,0,125,190,171,77,150,274,175,139
2021년11월_여_80~89세,"1,825",737,87,0,98,135,146,60,111,257,89,105
2021년11월_여_90~99세,262,108,15,0,18,17,24,5,17,33,16,9
2021년11월_여_100세 이상,13,4,0,0,0,4,2,0,0,3,0,0
2021년12월_계_총인구수,"37,904","20,799","1,025",,"1,698","2,074","2,225","1,212","1,658","3,740","2,047","1,426"
2021년12월_계_연령구간인구수,"37,904","20,799","1,025",,"1,698","2,074","2,225","1,212","1,658","3,740","2,047","1,426"
2021년12월_계_0~9세,"1,549","1,199",19,,21,31,34,39,44,88,45,29
2021년12월_계_10~19세,"2,748","2,038",31,,81,83,99,46,51,191,78,50
2021년12월_계_20~29세,"3,136","2,225",44,,82,117,116,95,104,204,84,65
2021년12월_계_30~39세,"2,620","1,836",39,,48,96,109,64,111,177,90,50
2021년12월_계_40~49세,"4,322","2,878",99,,150,166,209,111,150,292,164,103
2021년12월_계_50~59세,"7,097","3,741",182,,353,429,404,256,281,732,388,331
2021년12월_계_60~69세,"8,503","3,547",280,,529,572,674,328,438,"1,082",665,388
2021년12월_계_70~79세,"4,688","2,030",185,,260,333,336,162,272,523,348,239
2021년12월_계_80~89세,"2,858","1,150",130,,151,222,210,104,179,397,161,154
2021년12월_계_90~99세,370,151,16,,23,23,32,7,27,50,24,17
2021년12월_계_100세 이상,13,4,0,,0,2,2,0,1,4,0,0
2021년12월_남_총인구수,"19,626","10,637",531,,880,"1,097","1,187",678,897,"1,914","1,046",759
2021년12월_남_연령구간인구수,"19,626","10,637",531,,880,"1,097","1,187",678,897,"1,914","1,046",759
2021년12월_남_0~9세,820,648,12,,10,15,14,17,26,47,21,10
2021년12월_남_10~19세,"1,489","1,117",18,,42,34,54,28,18,110,42,26
2021년12월_남_20~29세,"1,818","1,261",31,,51,75,71,61,60,121,45,42
2021년12월_남_30~39세,"1,429",961,17,,29,57,73,36,81,94,43,38
2021년12월_남_40~49세,"2,332","1,448",63,,76,108,133,65,104,172,98,65
2021년12월_남_50~59세,"3,950","2,043",107,,194,252,242,163,169,387,202,191
2021년12월_남_60~69세,"4,506","1,816",157,,287,320,362,177,238,577,342,230
2021년12월_남_70~79세,"2,148",892,81,,133,150,165,85,122,248,173,99
2021년12월_남_80~89세,"1,029",411,44,,53,78,64,44,68,143,74,50
2021년12월_남_90~99세,101,40,1,,5,6,9,2,10,14,6,8
2021년12월_남_100세 이상,4,0,0,,0,2,0,0,1,1,0,0
2021년12월_여_총인구수,"18,278","10,162",494,,818,977,"1,038",534,761,"1,826","1,001",667
2021년12월_여_연령구간인구수,"18,278","10,162",494,,818,977,"1,038",534,761,"1,826","1,001",667
2021년12월_여_0~9세,729,551,7,,11,16,20,22,18,41,24,19
2021년12월_여_10~19세,"1,259",921,13,,39,49,45,18,33,81,36,24
2021년12월_여_20~29세,"1,318",964,13,,31,42,45,34,44,83,39,23
2021년12월_여_30~39세,"1,191",875,22,,19,39,36,28,30,83,47,12
2021년12월_여_40~49세,"1,990","1,430",36,,74,58,76,46,46,120,66,38
2021년12월_여_50~59세,"3,147","1,698",75,,159,177,162,93,112,345,186,140
2021년12월_여_60~69세,"3,997","1,731",123,,242,252,312,151,200,505,323,158
2021년12월_여_70~79세,"2,540","1,138",104,,127,183,171,77,150,275,175,140
2021년12월_여_80~89세,"1,829",739,86,,98,144,146,60,111,254,87,104
2021년12월_여_90~99세,269,111,15,,18,17,23,5,17,36,18,9
2021년12월_여_100세 이상,9,4,0,,0,0,2,0,0,3,0,0
