카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020년08월_여_연령구간인구수,"142,138","3,531","3,244","23,193","8,082","9,737","12,908","15,275","1,303","9,817","1,788","1,593","22,218","24,524","4,925"
2020년08월_여_0~9세,"14,771",182,162,"1,955",484,536,"1,029","2,348",46,"1,312",66,80,"2,382","3,448",741
2020년08월_여_10~19세,"11,941",205,198,"1,896",524,630,"1,234","1,411",78,940,92,92,"1,826","2,464",351
2020년08월_여_20~29세,"16,915",420,453,"2,545","1,026","1,179","1,436","1,654",138,"1,099",221,201,"3,933","2,035",575
2020년08월_여_30~39세,"24,232",420,429,"3,351","1,082","1,348","1,669","3,078",156,"1,856",159,170,"4,870","4,474","1,170"
2020년08월_여_40~49세,"23,713",421,430,"3,632","1,107","1,266","2,253","2,750",157,"1,802",216,181,"3,845","4,907",746
2020년08월_여_50~59세,"20,847",658,606,"3,795","1,563","1,830","2,145","1,963",271,"1,501",313,325,"2,320","2,971",586
2020년08월_여_60~69세,"17,409",694,527,"3,467","1,379","1,699","1,769","1,264",240,896,362,308,"1,855","2,502",447
2020년08월_여_70~79세,"7,866",311,282,"1,726",610,786,896,447,131,273,205,140,748,"1,128",183
2020년08월_여_80~89세,"3,602",181,130,680,252,371,395,258,70,108,122,86,357,485,107
2020년08월_여_90~99세,751,33,23,136,45,86,73,83,11,27,26,8,80,105,15
2020년08월_여_100세 이상,91,6,4,10,10,6,9,19,5,3,6,2,2,5,4
2020년09월_계_총인구수,"287,452","7,869","6,735","45,765","16,328","19,603","25,708","30,277","2,929","19,205","4,085","3,735","46,543","48,256","10,414"
2020년09월_계_연령구간인구수,"287,452","7,869","6,735","45,765","16,328","19,603","25,708","30,277","2,929","19,205","4,085","3,735","46,543","48,256","10,414"
2020년09월_계_0~9세,"30,130",369,318,"3,890",985,"1,135","2,181","4,686",98,"2,586",138,167,"5,005","7,027","1,545"
2020년09월_계_10~19세,"24,500",436,427,"3,928","1,137","1,255","2,569","2,872",163,"1,853",202,187,"3,696","5,015",760
2020년09월_계_20~29세,"35,083",990,"1,013","5,267","2,223","2,570","3,076","3,300",341,"2,179",493,476,"7,907","4,094","1,154"
2020년09월_계_30~39세,"49,365","1,039","1,025","6,789","2,338","2,984","3,449","5,743",407,"3,330",438,469,"10,801","8,170","2,383"
2020년09월_계_40~49세,"50,350","1,071",941,"7,326","2,313","2,630","4,446","5,855",389,"3,715",568,482,"8,546","10,348","1,720"
2020년09월_계_50~59세,"41,360","1,506","1,259","7,188","2,952","3,537","4,148","3,839",592,"2,865",799,770,"4,910","5,788","1,207"
2020년09월_계_60~69세,"34,186","1,506","1,009","6,682","2,650","3,337","3,384","2,502",532,"1,873",792,738,"3,454","4,727","1,000"
2020년09월_계_70~79세,"15,785",619,508,"3,372","1,237","1,504","1,711",951,266,600,401,299,"1,603","2,265",449
2020년09월_계_80~89세,"5,585",277,202,"1,125",420,542,634,392,116,164,214,134,520,681,164
2020년09월_계_90~99세,986,48,27,182,60,100,101,108,18,37,33,11,99,136,26
2020년09월_계_100세 이상,122,8,6,16,13,9,9,29,7,3,7,2,2,5,6
2020년09월_남_총인구수,"144,433","4,322","3,478","22,631","8,250","9,896","12,817","14,994","1,618","9,353","2,289","2,138","23,601","23,793","5,253"
2020년09월_남_연령구간인구수,"144,433","4,322","3,478","22,631","8,250","9,896","12,817","14,994","1,618","9,353","2,289","2,138","23,601","23,793","5,253"
2020년09월_남_0~9세,"15,373",187,158,"1,946",500,604,"1,160","2,339",52,"1,275",71,87,"2,603","3,596",795
2020년09월_남_10~19세,"12,497",234,225,"2,049",613,624,"1,325","1,459",86,892,111,98,"1,842","2,538",401
2020년09월_남_20~29세,"17,947",567,552,"2,736","1,202","1,410","1,654","1,654",198,"1,073",274,273,"3,718","2,078",558
2020년09월_남_30~39세,"24,949",610,601,"3,471","1,253","1,631","1,763","2,676",253,"1,482",272,297,"5,729","3,737","1,174"
2020년09월_남_40~49세,"26,507",653,512,"3,700","1,201","1,362","2,220","3,082",231,"1,914",351,303,"4,600","5,439",939
2020년09월_남_50~59세,"20,475",845,651,"3,400","1,396","1,736","2,003","1,875",322,"1,365",483,444,"2,533","2,834",588
2020년09월_남_60~69세,"16,597",810,480,"3,184","1,278","1,620","1,611","1,238",288,967,435,423,"1,551","2,213",499
2020년09월_남_70~79세,"7,861",304,221,"1,655",623,720,814,501,133,328,194,160,838,"1,131",239
2020년09월_남_80~89세,"1,973",97,73,438,167,172,240,138,46,48,92,50,166,198,48
2020년09월_남_90~99세,222,13,3,46,14,14,26,22,7,9,4,3,21,29,11
2020년09월_남_100세 이상,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020년09월_여_총인구수,"143,019","3,547","3,257","23,134","8,078","9,707","12,891","15,283","1,311","9,852","1,796","1,597","22,942","24,463","5,161"
2020년09월_여_연령구간인구수,"143,019","3,547","3,257","23,134","8,078","9,707","12,891","15,283","1,311","9,852","1,796","1,597","22,942","24,463","5,161"
2020년09월_여_0~9세,"14,757",182,160,"1,944",485,531,"1,021","2,347",46,"1,311",67,80,"2,402","3,431",750
2020년09월_여_10~19세,"12,003",202,202,"1,879",524,631,"1,244","1,413",77,961,91,89,"1,854","2,477",359
2020년09월_여_20~29세,"17,136",423,461,"2,531","1,021","1,160","1,422","1,646",143,"1,106",219,203,"4,189","2,016",596
2020년09월_여_30~39세,"24,416",429,424,"3,318","1,085","1,353","1,686","3,067",154,"1,848",166,172,"5,072","4,433","1,209"
2020년09월_여_40~49세,"23,843",418,429,"3,626","1,112","1,268","2,226","2,773",158,"1,801",217,179,"3,946","4,909",781
2020년09월_여_50~59세,"20,885",661,608,"3,788","1,556","1,801","2,145","1,964",270,"1,500",316,326,"2,377","2,954",619
2020년09월_여_60~69세,"17,589",696,529,"3,498","1,372","1,717","1,773","1,264",244,906,357,315,"1,903","2,514",501
2020년09월_여_70~79세,"7,924",315,287,"1,717",614,784,897,450,133,272,207,139,765,"1,134",210
2020년09월_여_80~89세,"3,612",180,129,687,253,370,394,254,70,116,122,84,354,483,116
2020년09월_여_90~99세,764,35,24,136,46,86,75,86,11,28,29,8,78,107,15
2020년09월_여_100세 이상,90,6,4,10,10,6,8,19,5,3,5,2,2,5,5
2020년10월_계_총인구수,"288,922","7,846","6,692","45,702","16,308","19,552","25,720","30,243","2,921","19,143","4,081","3,736","47,719","48,216","11,043"
2020년10월_계_연령구간인구수,"288,922","7,846","6,692","45,702","16,308","19,552","25,720","30,243","2,921","19,143","4,081","3,736","47,719","48,216","11,043"
2020년10월_계_0~9세,"29,965",372,315,"3,889",982,"1,128","2,162","4,633",97,"2,558",137,168,"5,010","6,948","1,566"
2020년10월_계_10~19세,"24,679",431,427,"3,918","1,142","1,246","2,577","2,892",156,"1,870",204,187,"3,767","5,079",783
2020년10월_계_20~29세,"35,504",989,999,"5,270","2,205","2,571","3,086","3,297",351,"2,172",491,479,"8,276","4,095","1,223"
2020년10월_계_30~39세,"49,467","1,039","1,014","6,753","2,333","2,985","3,436","5,692",400,"3,285",437,478,"11,077","8,073","2,465"
2020년10월_계_40~49세,"50,653","1,069",947,"7,312","2,295","2,620","4,439","5,859",394,"3,729",565,480,"8,771","10,373","1,800"
2020년10월_계_50~59세,"41,517","1,499","1,239","7,160","2,950","3,522","4,152","3,855",592,"2,860",804,763,"5,020","5,800","1,301"
2020년10월_계_60~69세,"34,520","1,504","1,011","6,687","2,661","3,333","3,411","2,521",533,"1,867",796,738,"3,538","4,760","1,160"
2020년10월_계_70~79세,"15,888",613,504,"3,381","1,247","1,495","1,708",964,260,597,397,298,"1,635","2,269",520
2020년10월_계_80~89세,"5,618",272,202,"1,134",419,541,638,391,113,169,209,131,524,687,188
2020년10월_계_90~99세,988,50,28,182,61,102,101,109,18,34,34,12,99,127,31
2020년10월_계_100세 이상,123,8,6,16,13,9,10,30,7,2,7,2,2,5,6
2020년10월_남_총인구수,"145,167","4,315","3,459","22,616","8,233","9,870","12,820","14,984","1,614","9,324","2,288","2,143","24,162","23,765","5,574"
2020년10월_남_연령구간인구수,"145,167","4,315","3,459","22,616","8,233","9,870","12,820","14,984","1,614","9,324","2,288","2,143","24,162","23,765","5,574"
2020년10월_남_0~9세,"15,307",190,157,"1,955",500,598,"1,152","2,310",51,"1,259",71,88,"2,614","3,559",803
2020년10월_남_10~19세,"12,584",235,223,"2,043",615,620,"1,326","1,469",82,901,112,97,"1,878","2,573",410
2020년10월_남_20~29세,"18,097",562,550,"2,732","1,190","1,409","1,661","1,655",202,"1,072",273,275,"3,859","2,067",590
2020년10월_남_30~39세,"25,057",616,595,"3,459","1,249","1,638","1,759","2,657",251,"1,467",272,306,"5,886","3,677","1,225"
2020년10월_남_40~49세,"26,652",651,515,"3,697","1,189","1,355","2,210","3,093",236,"1,910",347,304,"4,719","5,446",980
2020년10월_남_50~59세,"20,586",843,643,"3,395","1,395","1,739","2,013","1,882",323,"1,366",487,439,"2,578","2,850",633
2020년10월_남_60~69세,"16,724",805,481,"3,181","1,284","1,603","1,616","1,235",287,961,437,423,"1,596","2,230",585
2020년10월_남_70~79세,"7,917",300,219,"1,657",626,719,816,514,129,329,191,158,844,"1,138",277
2020년10월_남_80~89세,"1,992",98,71,445,168,171,241,138,44,50,92,50,167,199,58
2020년10월_남_90~99세,219,13,3,46,14,15,25,21,7,9,4,3,21,26,12
2020년10월_남_100세 이상,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020년10월_여_총인구수,"143,755","3,531","3,233","23,086","8,075","9,682","12,900","15,259","1,307","9,819","1,793","1,593","23,557","24,451","5,469"
2020년10월_여_연령구간인구수,"143,755","3,531","3,233","23,086","8,075","9,682","12,900","15,259","1,307","9,819","1,793","1,593","23,557","24,451","5,469"
2020년10월_여_0~9세,"14,658",182,158,"1,934",482,530,"1,010","2,323",46,"1,299",66,80,"2,396","3,389",763
2020년10월_여_10~19세,"12,095",196,204,"1,875",527,626,"1,251","1,423",74,969,92,90,"1,889","2,506",373
2020년10월_여_20~29세,"17,407",427,449,"2,538","1,015","1,162","1,425","1,642",149,"1,100",218,204,"4,417","2,028",633
2020년10월_여_30~39세,"24,410",423,419,"3,294","1,084","1,347","1,677","3,035",149,"1,818",165,172,"5,191","4,396","1,240"
2020년10월_여_40~49세,"24,001",418,432,"3,615","1,106","1,265","2,229","2,766",158,"1,819",218,176,"4,052","4,927",820
2020년10월_여_50~59세,"20,931",656,596,"3,765","1,555","1,783","2,139","1,973",269,"1,494",317,324,"2,442","2,950",668
2020년10월_여_60~69세,"17,796",699,530,"3,506","1,377","1,730","1,795","1,286",246,906,359,315,"1,942","2,530",575
2020년10월_여_70~79세,"7,971",313,285,"1,724",621,776,892,450,131,268,206,140,791,"1,131",243
2020년10월_여_80~89세,"3,626",174,131,689,251,370,397,253,69,119,117,81,357,488,130
2020년10월_여_90~99세,769,37,25,136,47,87,76,88,11,25,30,9,78,101,19
2020년10월_여_100세 이상,91,6,4,10,10,6,9,20,5,2,5,2,2,5,5
2020년11월_계_총인구수,"291,075","7,833","6,712","45,584","16,306","19,476","25,703","30,265","2,896","19,179","4,057","3,717","48,553","48,203","12,591"
2020년11월_계_연령구간인구수,"291,075","7,833","6,712","45,584","16,306","19,476","25,703","30,265","2,896","19,179","4,057","3,717","48,553","48,203","12,591"
2020년11월_계_0~9세,"30,068",367,310,"3,866",981,"1,121","2,158","4,617",94,"2,562",134,170,"5,012","6,904","1,772"
2020년11월_계_10~19세,"24,857",423,419,"3,897","1,138","1,226","2,577","2,910",155,"1,889",204,175,"3,800","5,117",927
2020년11월_계_20~29세,"35,961","1,001","1,000","5,234","2,192","2,556","3,085","3,300",353,"2,169",490,476,"8,560","4,100","1,445"
2020년11월_계_30~39세,"49,744","1,035","1,029","6,721","2,340","2,980","3,421","5,652",390,"3,277",436,482,"11,308","7,985","2,688"
2020년11월_계_40~49세,"51,053","1,060",942,"7,270","2,293","2,590","4,445","5,896",391,"3,725",559,475,"8,941","10,428","2,038"
2020년11월_계_50~59세,"41,777","1,487","1,245","7,154","2,937","3,511","4,158","3,839",593,"2,870",799,757,"5,066","5,805","1,556"
2020년11월_계_60~69세,"34,805","1,522","1,018","6,706","2,670","3,343","3,396","2,537",526,"1,880",790,737,"3,591","4,767","1,322"
2020년11월_계_70~79세,"16,040",612,513,"3,397","1,254","1,499","1,718",983,258,601,396,296,"1,658","2,273",582
2020년11월_계_80~89세,"5,658",266,204,"1,141",428,539,634,393,112,171,209,134,515,692,220
2020년11월_계_90~99세,989,52,26,182,60,102,101,108,18,33,33,13,100,127,34
2020년11월_계_100세 이상,123,8,6,16,13,9,10,30,6,2,7,2,2,5,7
2020년11월_남_총인구수,"146,255","4,310","3,483","22,576","8,240","9,823","12,813","15,012","1,603","9,352","2,271","2,128","24,556","23,738","6,350"
2020년11월_남_연령구간인구수,"146,255","4,310","3,483","22,576","8,240","9,823","12,813","15,012","1,603","9,352","2,271","2,128","24,556","23,738","6,350"
2020년11월_남_0~9세,"15,384",186,159,"1,959",504,593,"1,148","2,307",49,"1,261",69,88,"2,615","3,525",921
2020년11월_남_10~19세,"12,689",232,217,"2,031",608,614,"1,328","1,480",84,918,114,92,"1,891","2,600",480
2020년11월_남_20~29세,"18,315",579,549,"2,722","1,189","1,398","1,668","1,660",201,"1,067",269,273,"3,975","2,058",707
2020년11월_남_30~39세,"25,216",608,611,"3,435","1,250","1,642","1,752","2,641",242,"1,474",273,305,"6,011","3,638","1,334"
2020년11월_남_40~49세,"26,820",642,513,"3,689","1,187","1,342","2,210","3,107",236,"1,894",343,301,"4,805","5,461","1,090"
2020년11월_남_50~59세,"20,746",842,648,"3,388","1,397","1,730","2,019","1,882",321,"1,379",482,436,"2,600","2,861",761
2020년11월_남_60~69세,"16,835",808,484,"3,186","1,284","1,597","1,610","1,243",286,964,434,422,"1,616","2,226",675
2020년11월_남_70~79세,"7,988",299,225,"1,667",630,721,816,522,131,335,190,156,855,"1,141",300
2020년11월_남_80~89세,"2,010",99,73,448,175,168,236,139,43,50,92,52,167,201,67
2020년11월_남_90~99세,220,13,2,45,13,15,25,21,8,10,3,3,21,27,14
2020년11월_남_100세 이상,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020년11월_여_총인구수,"144,820","3,523","3,229","23,008","8,066","9,653","12,890","15,253","1,293","9,827","1,786","1,589","23,997","24,465","6,241"
2020년11월_여_연령구간인구수,"144,820","3,523","3,229","23,008","8,066","9,653","12,890","15,253","1,293","9,827","1,786","1,589","23,997","24,465","6,241"
2020년11월_여_0~9세,"14,684",181,151,"1,907",477,528,"1,010","2,310",45,"1,301",65,82,"2,397","3,379",851
2020년11월_여_10~19세,"12,168",191,202,"1,866",530,612,"1,249","1,430",71,971,90,83,"1,909","2,517",447
2020년11월_여_20~29세,"17,646",422,451,"2,512","1,003","1,158","1,417","1,640",152,"1,102",221,203,"4,585","2,042",738
2020년11월_여_30~39세,"24,528",427,418,"3,286","1,090","1,338","1,669","3,011",148,"1,803",163,177,"5,297","4,347","1,354"
2020년11월_여_40~49세,"24,233",418,429,"3,581","1,106","1,248","2,235","2,789",155,"1,831",216,174,"4,136","4,967",948
2020년11월_여_50~59세,"21,031",645,597,"3,766","1,540","1,781","2,139","1,957",272,"1,491",317,321,"2,466","2,944",795
2020년11월_여_60~69세,"17,970",714,534,"3,520","1,386","1,746","1,786","1,294",240,916,356,315,"1,975","2,541",647
2020년11월_여_70~79세,"8,052",313,288,"1,730",624,778,902,461,127,266,206,140,803,"1,132",282
2020년11월_여_80~89세,"3,648",167,131,693,253,371,398,254,69,121,117,82,348,491,153
2020년11월_여_90~99세,769,39,24,137,47,87,76,87,10,23,30,10,79,100,20
2020년11월_여_100세 이상,91,6,4,10,10,6,9,20,4,2,5,2,2,5,6
2020년12월_계_총인구수,"293,452","7,815","6,698","45,552","16,325","19,478","25,719","30,280","2,884","19,210","4,045","3,735","49,415","48,194","14,102"
2020년12월_계_연령구간인구수,"293,452","7,815","6,698","45,552","16,325","19,478","25,719","30,280","2,884","19,210","4,045","3,735","49,415","48,194","14,102"
2020년12월_계_0~9세,"30,194",361,303,"3,864",989,"1,103","2,150","4,618",87,"2,580",130,176,"5,013","6,855","1,965"
2020년12월_계_10~19세,"25,139",424,410,"3,900","1,134","1,217","2,568","2,915",153,"1,908",198,174,"3,846","5,155","1,137"
2020년12월_계_20~29세,"36,407",992,"1,008","5,187","2,196","2,560","3,093","3,317",353,"2,167",494,485,"8,817","4,077","1,661"
2020년12월_계_30~39세,"50,109","1,035","1,024","6,723","2,348","2,984","3,402","5,620",385,"3,273",434,493,"11,563","7,951","2,874"
2020년12월_계_40~49세,"51,423","1,051",940,"7,265","2,272","2,579","4,436","5,906",390,"3,729",554,473,"9,067","10,429","2,332"
2020년12월_계_50~59세,"42,068","1,498","1,242","7,109","2,928","3,505","4,156","3,848",588,"2,849",795,760,"5,159","5,811","1,820"
2020년12월_계_60~69세,"35,105","1,523","1,024","6,726","2,703","3,357","3,435","2,543",531,"1,891",794,729,"3,639","4,786","1,424"
2020년12월_계_70~79세,"16,178",609,513,"3,430","1,255","1,509","1,728",981,262,603,396,296,"1,688","2,293",615
2020년12월_계_80~89세,"5,707",262,199,"1,150",428,554,637,395,110,174,210,134,517,705,232
2020년12월_계_90~99세,998,52,29,182,59,101,104,106,19,34,33,13,104,127,35
2020년12월_계_100세 이상,124,8,6,16,13,9,10,31,6,2,7,2,2,5,7
2020년12월_남_총인구수,"147,424","4,300","3,468","22,558","8,247","9,830","12,807","15,043","1,598","9,368","2,271","2,135","24,940","23,738","7,121"
2020년12월_남_연령구간인구수,"147,424","4,300","3,468","22,558","8,247","9,830","12,807","15,043","1,598","9,368","2,271","2,135","24,940","23,738","7,121"
2020년12월_남_0~9세,"15,438",182,152,"1,955",504,582,"1,138","2,305",47,"1,271",69,92,"2,606","3,504","1,031"
2020년12월_남_10~19세,"12,835",233,216,"2,041",611,617,"1,313","1,488",80,927,110,91,"1,905","2,616",587
2020년12월_남_20~29세,"18,535",568,552,"2,695","1,191","1,406","1,665","1,677",204,"1,061",275,277,"4,079","2,050",835
2020년12월_남_30~39세,"25,406",612,601,"3,444","1,256","1,642","1,745","2,630",242,"1,473",270,313,"6,143","3,619","1,416"
2020년12월_남_40~49세,"26,999",639,512,"3,688","1,184","1,339","2,207","3,121",233,"1,900",340,299,"4,854","5,460","1,223"
2020년12월_남_50~59세,"20,897",848,651,"3,369","1,381","1,727","2,020","1,883",319,"1,368",480,438,"2,644","2,866",903
2020년12월_남_60~69세,"16,960",808,485,"3,182","1,297","1,603","1,626","1,243",287,968,439,415,"1,647","2,240",720
2020년12월_남_70~79세,"8,076",296,224,"1,686",634,724,828,526,135,337,191,155,870,"1,146",324
2020년12월_남_80~89세,"2,024",99,70,447,173,173,238,138,41,53,92,52,171,210,67
2020년12월_남_90~99세,221,13,3,45,13,14,26,21,8,10,3,3,21,27,14
2020년12월_남_100세 이상,33,2,2,6,3,3,1,11,2,0,2,0,0,0,1
2020년12월_여_총인구수,"146,028","3,515","3,230","22,994","8,078","9,648","12,912","15,237","1,286","9,842","1,774","1,600","24,475","24,456","6,981"
2020년12월_여_연령구간인구수,"146,028","3,515","3,230","22,994","8,078","9,648","12,912","15,237","1,286","9,842","1,774","1,600","24,475","24,456","6,981"
2020년12월_여_0~9세,"14,756",179,151,"1,909",485,521,"1,012","2,313",40,"1,309",61,84,"2,407","3,351",934
2020년12월_여_10~19세,"12,304",191,194,"1,859",523,600,"1,255","1,427",73,981,88,83,"1,941","2,539",550
2020년12월_여_20~29세,"17,872",424,456,"2,492","1,005","1,154","1,428","1,640",149,"1,106",219,208,"4,738","2,027",826
2020년12월_여_30~39세,"24,703",423,423,"3,279","1,092","1,342","1,657","2,990",143,"1,800",164,180,"5,420","4,332","1,458"
2020년12월_여_40~49세,"24,424",412,428,"3,577","1,088","1,240","2,229","2,785",157,"1,829",214,174,"4,213","4,969","1,109"
2020년12월_여_50~59세,"21,171",650,591,"3,740","1,547","1,778","2,136","1,965",269,"1,481",315,322,"2,515","2,945",917
2020년12월_여_60~69세,"18,145",715,539,"3,544","1,406","1,754","1,809","1,300",244,923,355,314,"1,992","2,546",704
2020년12월_여_70~79세,"8,102",313,289,"1,744",621,785,900,455,127,266,205,141,818,"1,147",291
2020년12월_여_80~89세,"3,683",163,129,703,255,381,399,257,69,121,118,82,346,495,165
2020년12월_여_90~99세,777,39,26,137,46,87,78,85,11,24,30,10,83,100,21
2020년12월_여_100세 이상,91,6,4,10,10,6,9,20,4,2,5,2,2,5,6
2021년01월_계_총인구수,"295,122","7,813","6,737","45,461","16,280","19,459","25,745","30,305","2,856","19,227","4,055","3,705","49,927","48,257","15,295"
2021년01월_계_연령구간인구수,"295,122","7,813","6,737","45,461","16,280","19,459","25,745","30,305","2,856","19,227","4,055","3,705","49,927","48,257","15,295"
2021년01월_계_0~9세,"30,164",352,308,"3,798",995,"1,106","2,149","4,566",84,"2,557",127,172,"4,985","6,800","2,165"
2021년01월_계_10~19세,"25,378",428,413,"3,901","1,124","1,199","2,558","2,940",151,"1,942",200,170,"3,881","5,188","1,283"
2021년01월_계_20~29세,"36,632",988,"1,004","5,185","2,189","2,552","3,099","3,315",348,"2,131",494,483,"8,981","4,087","1,776"
2021년01월_계_30~39세,"50,171","1,023","1,037","6,656","2,326","2,961","3,395","5,562",381,"3,243",441,486,"11,674","7,865","3,121"
2021년01월_계_40~49세,"51,912","1,047",939,"7,254","2,259","2,593","4,435","5,971",385,"3,786",548,468,"9,162","10,505","2,560"
2021년01월_계_50~59세,"42,254","1,498","1,256","7,113","2,900","3,475","4,157","3,861",585,"2,841",807,747,"5,222","5,834","1,958"
2021년01월_계_60~69세,"35,407","1,540","1,022","6,752","2,725","3,386","3,462","2,570",523,"1,911",789,731,"3,688","4,815","1,493"
2021년01월_계_70~79세,"16,319",618,520,"3,446","1,254","1,519","1,734",988,264,608,401,296,"1,708","2,317",646
2021년01월_계_80~89세,"5,753",261,200,"1,155",437,557,642,396,109,174,209,136,519,711,247
2021년01월_계_90~99세,"1,009",50,32,185,58,102,105,105,20,32,32,14,105,130,39
2021년01월_계_100세 이상,123,8,6,16,13,9,9,31,6,2,7,2,2,5,7
2021년01월_남_총인구수,"148,229","4,308","3,481","22,503","8,230","9,828","12,819","15,060","1,578","9,376","2,275","2,117","25,170","23,769","7,715"
2021년01월_남_연령구간인구수,"148,229","4,308","3,481","22,503","8,230","9,828","12,819","15,060","1,578","9,376","2,275","2,117","25,170","23,769","7,715"
2021년01월_남_0~9세,"15,437",180,154,"1,923",508,578,"1,142","2,281",46,"1,266",65,88,"2,593","3,481","1,132"
2021년01월_남_10~19세,"12,933",236,218,"2,035",604,610,"1,306","1,501",77,944,113,89,"1,921","2,627",652
2021년01월_남_20~29세,"18,633",568,547,"2,690","1,194","1,411","1,663","1,677",202,"1,044",276,278,"4,131","2,059",893
2021년01월_남_30~39세,"25,437",604,603,"3,409","1,242","1,624","1,739","2,606",239,"1,456",271,302,"6,216","3,586","1,540"
2021년01월_남_40~49세,"27,217",639,517,"3,676","1,175","1,351","2,209","3,137",228,"1,923",336,296,"4,898","5,494","1,338"
2021년01월_남_50~59세,"21,024",849,649,"3,382","1,371","1,710","2,021","1,901",317,"1,366",491,437,"2,674","2,879",977
2021년01월_남_60~69세,"17,114",815,487,"3,191","1,314","1,626","1,639","1,258",286,980,433,415,"1,663","2,248",759
2021년01월_남_70~79세,"8,128",302,228,"1,696",627,723,830,531,132,334,194,154,882,"1,157",338
2021년01월_남_80~89세,"2,048",100,72,449,180,178,243,136,40,53,91,54,172,209,71
2021년01월_남_90~99세,224,13,4,46,12,14,26,20,9,10,3,4,20,29,14
2021년01월_남_100세 이상,34,2,2,6,3,3,1,12,2,0,2,0,0,0,1
2021년01월_여_총인구수,"146,893","3,505","3,256","22,958","8,050","9,631","12,926","15,245","1,278","9,851","1,780","1,588","24,757","24,488","7,580"
2021년01월_여_연령구간인구수,"146,893","3,505","3,256","22,958","8,050","9,631","12,926","15,245","1,278","9,851","1,780","1,588","24,757","24,488","7,580"
2021년01월_여_0~9세,"14,727",172,154,"1,875",487,528,"1,007","2,285",38,"1,291",62,84,"2,392","3,319","1,033"
2021년01월_여_10~19세,"12,445",192,195,"1,866",520,589,"1,252","1,439",74,998,87,81,"1,960","2,561",631
2021년01월_여_20~29세,"17,999",420,457,"2,495",995,"1,141","1,436","1,638",146,"1,087",218,205,"4,850","2,028",883
2021년01월_여_30~39세,"24,734",419,434,"3,247","1,084","1,337","1,656","2,956",142,"1,787",170,184,"5,458","4,279","1,581"
2021년01월_여_40~49세,"24,695",408,422,"3,578","1,084","1,242","2,226","2,834",157,"1,863",212,172,"4,264","5,011","1,222"
2021년01월_여_50~59세,"21,230",649,607,"3,731","1,529","1,765","2,136","1,960",268,"1,475",316,310,"2,548","2,955",981
2021년01월_여_60~69세,"18,293",725,535,"3,561","1,411","1,760","1,823","1,312",237,931,356,316,"2,025","2,567",734
2021년01월_여_70~79세,"8,191",316,292,"1,750",627,796,904,457,132,274,207,142,826,"1,160",308
2021년01월_여_80~89세,"3,705",161,128,706,257,379,399,260,69,121,118,82,347,502,176
2021년01월_여_90~99세,785,37,28,139,46,88,79,85,11,22,29,10,85,101,25
2021년01월_여_100세 이상,89,6,4,10,10,6,8,19,4,2,5,2,2,5,6
2021년02월_계_총인구수,"298,005","7,785","6,711","45,428","16,204","19,406","25,649","30,171","2,850","19,846","4,055","3,692","50,256","48,068","17,884"
2021년02월_계_연령구간인구수,"298,005","7,785","6,711","45,428","16,204","19,406","25,649","30,171","2,850","19,846","4,055","3,692","50,256","48,068","17,884"
2021년02월_계_0~9세,"30,340",352,305,"3,778",984,"1,102","2,123","4,499",85,"2,590",125,166,"4,947","6,723","2,561"
2021년02월_계_10~19세,"25,752",419,407,"3,862","1,098","1,177","2,524","2,945",146,"2,048",206,175,"3,945","5,204","1,596"
2021년02월_계_20~29세,"36,982",983,"1,001","5,210","2,172","2,559","3,085","3,311",351,"2,189",494,478,"9,016","4,038","2,095"
2021년02월_계_30~39세,"50,510","1,020","1,026","6,636","2,314","2,946","3,363","5,490",373,"3,316",440,482,"11,746","7,702","3,656"
2021년02월_계_40~49세,"52,624","1,022",933,"7,227","2,233","2,590","4,432","5,959",383,"3,952",537,464,"9,251","10,549","3,092"
2021년02월_계_50~59세,"42,565","1,500","1,245","7,103","2,878","3,459","4,156","3,878",585,"2,916",811,742,"5,272","5,834","2,186"
2021년02월_계_60~69세,"35,790","1,543","1,032","6,792","2,752","3,390","3,469","2,569",526,"1,987",786,734,"3,718","4,834","1,658"
2021년02월_계_70~79세,"16,459",624,524,"3,448","1,256","1,509","1,739",998,261,629,405,296,"1,727","2,336",707
2021년02월_계_80~89세,"5,836",264,200,"1,166",448,567,643,389,114,184,210,139,523,714,275
2021년02월_계_90~99세,"1,029",50,32,189,57,99,106,107,20,33,34,14,108,129,51
2021년02월_계_100세 이상,118,8,6,17,12,8,9,26,6,2,7,2,3,5,7
2021년02월_남_총인구수,"149,595","4,292","3,467","22,486","8,197","9,789","12,777","14,994","1,576","9,674","2,279","2,104","25,291","23,655","9,014"
2021년02월_남_연령구간인구수,"149,595","4,292","3,467","22,486","8,197","9,789","12,777","14,994","1,576","9,674","2,279","2,104","25,291","23,655","9,014"
