카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년12월_여_0~9세,690,279,16,26,37,244,19,15,54
2020년12월_여_10~19세,950,422,22,22,39,357,14,27,47
2020년12월_여_20~29세,"1,063",406,42,54,81,323,52,21,84
2020년12월_여_30~39세,"1,021",397,23,47,61,349,42,25,77
2020년12월_여_40~49세,"1,674",740,44,56,81,561,47,48,97
2020년12월_여_50~59세,"2,579",827,122,156,235,707,152,114,266
2020년12월_여_60~69세,"2,982",849,154,213,258,733,209,178,388
2020년12월_여_70~79세,"2,288",630,144,189,197,467,184,159,318
2020년12월_여_80~89세,"1,795",400,140,159,158,287,164,165,322
2020년12월_여_90~99세,239,57,17,21,23,29,24,17,51
2020년12월_여_100세 이상,6,2,1,0,1,0,0,0,2
2021년01월_계_총인구수,"31,310","10,074","1,423","1,864","2,585","8,446","1,939","1,593","3,386"
2021년01월_계_연령구간인구수,"31,310","10,074","1,423","1,864","2,585","8,446","1,939","1,593","3,386"
2021년01월_계_0~9세,"1,404",600,33,46,63,482,41,34,105
2021년01월_계_10~19세,"2,029",903,42,52,82,767,32,47,104
2021년01월_계_20~29세,"2,509",958,90,120,202,754,129,69,187
2021년01월_계_30~39세,"2,240",807,62,110,166,744,115,72,164
2021년01월_계_40~49세,"3,801","1,523",99,146,248,"1,225",144,146,270
2021년01월_계_50~59세,"5,918","1,857",258,341,561,"1,603",404,282,612
2021년01월_계_60~69세,"6,290","1,675",359,438,603,"1,541",472,358,844
2021년01월_계_70~79세,"4,108","1,075",239,346,380,845,340,310,573
2021년01월_계_80~89세,"2,682",605,217,233,247,444,226,251,459
2021년01월_계_90~99세,318,68,22,31,32,41,36,23,65
2021년01월_계_100세 이상,11,3,2,1,1,0,0,1,3
2021년01월_남_총인구수,"16,044","5,069",704,927,"1,412","4,393","1,036",818,"1,685"
2021년01월_남_연령구간인구수,"16,044","5,069",704,927,"1,412","4,393","1,036",818,"1,685"
2021년01월_남_0~9세,729,322,17,20,27,249,23,18,53
2021년01월_남_10~19세,"1,080",487,22,29,40,406,19,19,58
2021년01월_남_20~29세,"1,457",556,50,67,120,430,79,48,107
2021년01월_남_30~39세,"1,220",406,38,64,108,398,70,46,90
2021년01월_남_40~49세,"2,139",794,55,91,165,665,100,96,173
2021년01월_남_50~59세,"3,321","1,017",140,186,323,895,249,167,344
2021년01월_남_60~69세,"3,310",826,202,231,346,804,265,183,453
2021년01월_남_70~79세,"1,826",449,95,155,183,381,158,152,253
2021년01월_남_80~89세,881,198,77,75,91,154,62,84,140
2021년01월_남_90~99세,76,13,7,8,9,11,11,4,13
2021년01월_남_100세 이상,5,1,1,1,0,0,0,1,1
2021년01월_여_총인구수,"15,266","5,005",719,937,"1,173","4,053",903,775,"1,701"
2021년01월_여_연령구간인구수,"15,266","5,005",719,937,"1,173","4,053",903,775,"1,701"
2021년01월_여_0~9세,675,278,16,26,36,233,18,16,52
2021년01월_여_10~19세,949,416,20,23,42,361,13,28,46
2021년01월_여_20~29세,"1,052",402,40,53,82,324,50,21,80
2021년01월_여_30~39세,"1,020",401,24,46,58,346,45,26,74
2021년01월_여_40~49세,"1,662",729,44,55,83,560,44,50,97
2021년01월_여_50~59세,"2,597",840,118,155,238,708,155,115,268
2021년01월_여_60~69세,"2,980",849,157,207,257,737,207,175,391
2021년01월_여_70~79세,"2,282",626,144,191,197,464,182,158,320
2021년01월_여_80~89세,"1,801",407,140,158,156,290,164,167,319
2021년01월_여_90~99세,242,55,15,23,23,30,25,19,52
2021년01월_여_100세 이상,6,2,1,0,1,0,0,0,2
2021년02월_계_총인구수,"31,245","10,060","1,431","1,852","2,571","8,450","1,928","1,580","3,373"
2021년02월_계_연령구간인구수,"31,245","10,060","1,431","1,852","2,571","8,450","1,928","1,580","3,373"
2021년02월_계_0~9세,"1,403",597,36,47,64,480,41,33,105
2021년02월_계_10~19세,"2,015",900,45,53,78,759,33,45,102
2021년02월_계_20~29세,"2,503",954,91,116,201,761,128,70,182
2021년02월_계_30~39세,"2,210",795,63,103,161,744,113,69,162
2021년02월_계_40~49세,"3,780","1,524",96,149,247,"1,217",140,143,264
2021년02월_계_50~59세,"5,876","1,854",256,333,548,"1,604",397,282,602
2021년02월_계_60~69세,"6,335","1,684",363,442,612,"1,551",476,355,852
2021년02월_계_70~79세,"4,107","1,072",237,345,377,849,338,312,577
2021년02월_계_80~89세,"2,679",607,219,232,248,441,226,249,457
2021년02월_계_90~99세,326,70,23,31,34,44,36,21,67
2021년02월_계_100세 이상,11,3,2,1,1,0,0,1,3
2021년02월_남_총인구수,"16,013","5,064",705,927,"1,401","4,395","1,030",811,"1,680"
2021년02월_남_연령구간인구수,"16,013","5,064",705,927,"1,401","4,395","1,030",811,"1,680"
2021년02월_남_0~9세,727,319,18,20,27,249,22,19,53
2021년02월_남_10~19세,"1,071",487,25,31,38,397,20,17,56
2021년02월_남_20~29세,"1,451",553,49,65,118,435,78,47,106
2021년02월_남_30~39세,"1,210",402,38,61,105,403,69,45,87
2021년02월_남_40~49세,"2,123",795,53,95,167,656,95,94,168
2021년02월_남_50~59세,"3,315","1,019",142,181,318,895,247,167,346
2021년02월_남_60~69세,"3,332",830,201,235,346,811,270,184,455
2021년02월_남_70~79세,"1,819",445,95,154,181,382,156,150,256
2021년02월_남_80~89세,882,199,76,76,92,155,62,84,138
2021년02월_남_90~99세,78,14,7,8,9,12,11,3,14
2021년02월_남_100세 이상,5,1,1,1,0,0,0,1,1
2021년02월_여_총인구수,"15,232","4,996",726,925,"1,170","4,055",898,769,"1,693"
2021년02월_여_연령구간인구수,"15,232","4,996",726,925,"1,170","4,055",898,769,"1,693"
2021년02월_여_0~9세,676,278,18,27,37,231,19,14,52
2021년02월_여_10~19세,944,413,20,22,40,362,13,28,46
2021년02월_여_20~29세,"1,052",401,42,51,83,326,50,23,76
2021년02월_여_30~39세,"1,000",393,25,42,56,341,44,24,75
2021년02월_여_40~49세,"1,657",729,43,54,80,561,45,49,96
2021년02월_여_50~59세,"2,561",835,114,152,230,709,150,115,256
2021년02월_여_60~69세,"3,003",854,162,207,266,740,206,171,397
2021년02월_여_70~79세,"2,288",627,142,191,196,467,182,162,321
2021년02월_여_80~89세,"1,797",408,143,156,156,286,164,165,319
2021년02월_여_90~99세,248,56,16,23,25,32,25,18,53
2021년02월_여_100세 이상,6,2,1,0,1,0,0,0,2
2021년03월_계_총인구수,"31,167","10,037","1,432","1,850","2,568","8,417","1,922","1,573","3,368"
2021년03월_계_연령구간인구수,"31,167","10,037","1,432","1,850","2,568","8,417","1,922","1,573","3,368"
2021년03월_계_0~9세,"1,388",587,36,47,66,477,40,29,106
2021년03월_계_10~19세,"2,005",896,43,52,74,762,33,45,100
2021년03월_계_20~29세,"2,469",951,88,116,199,744,126,68,177
2021년03월_계_30~39세,"2,203",795,64,105,165,733,111,68,162
2021년03월_계_40~49세,"3,756","1,511",98,148,241,"1,215",142,138,263
2021년03월_계_50~59세,"5,843","1,845",254,328,549,"1,597",389,282,599
2021년03월_계_60~69세,"6,379","1,702",369,445,610,"1,553",487,360,853
2021년03월_계_70~79세,"4,117","1,073",233,345,380,850,339,314,583
2021년03월_계_80~89세,"2,677",609,221,233,249,438,218,249,460
2021년03월_계_90~99세,322,66,24,30,35,48,37,20,62
2021년03월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년03월_남_총인구수,"15,993","5,063",710,930,"1,404","4,374","1,027",807,"1,678"
2021년03월_남_연령구간인구수,"15,993","5,063",710,930,"1,404","4,374","1,027",807,"1,678"
2021년03월_남_0~9세,719,314,18,20,29,247,22,16,53
2021년03월_남_10~19세,"1,072",487,24,31,38,399,20,18,55
2021년03월_남_20~29세,"1,442",559,49,66,117,423,77,47,104
2021년03월_남_30~39세,"1,206",406,37,62,107,397,67,44,86
2021년03월_남_40~49세,"2,108",786,55,96,162,656,94,91,168
2021년03월_남_50~59세,"3,297","1,009",142,180,321,891,242,166,346
2021년03월_남_60~69세,"3,357",840,206,235,346,813,275,189,453
2021년03월_남_70~79세,"1,827",446,94,156,182,381,159,150,259
2021년03월_남_80~89세,886,202,76,75,93,154,61,84,141
2021년03월_남_90~99세,76,14,8,8,9,13,10,2,12
2021년03월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년03월_여_총인구수,"15,174","4,974",722,920,"1,164","4,043",895,766,"1,690"
2021년03월_여_연령구간인구수,"15,174","4,974",722,920,"1,164","4,043",895,766,"1,690"
2021년03월_여_0~9세,669,273,18,27,37,230,18,13,53
2021년03월_여_10~19세,933,409,19,21,36,363,13,27,45
2021년03월_여_20~29세,"1,027",392,39,50,82,321,49,21,73
2021년03월_여_30~39세,997,389,27,43,58,336,44,24,76
2021년03월_여_40~49세,"1,648",725,43,52,79,559,48,47,95
2021년03월_여_50~59세,"2,546",836,112,148,228,706,147,116,253
2021년03월_여_60~69세,"3,022",862,163,210,264,740,212,171,400
2021년03월_여_70~79세,"2,290",627,139,189,198,469,180,164,324
2021년03월_여_80~89세,"1,791",407,145,158,156,284,157,165,319
2021년03월_여_90~99세,246,52,16,22,26,35,27,18,50
2021년03월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년04월_계_총인구수,"31,133","10,015","1,429","1,847","2,565","8,425","1,912","1,568","3,372"
2021년04월_계_연령구간인구수,"31,133","10,015","1,429","1,847","2,565","8,425","1,912","1,568","3,372"
2021년04월_계_0~9세,"1,383",586,35,44,65,477,40,31,105
2021년04월_계_10~19세,"1,982",891,41,52,74,746,31,46,101
2021년04월_계_20~29세,"2,451",938,87,110,198,754,121,66,177
2021년04월_계_30~39세,"2,192",796,63,104,166,724,111,67,161
2021년04월_계_40~49세,"3,746","1,507",92,152,239,"1,218",137,136,265
2021년04월_계_50~59세,"5,828","1,841",255,322,543,"1,596",388,283,600
2021년04월_계_60~69세,"6,412","1,697",371,455,618,"1,564",493,359,855
2021년04월_계_70~79세,"4,114","1,075",233,342,379,853,337,311,584
2021년04월_계_80~89세,"2,688",614,227,235,249,444,215,248,456
2021년04월_계_90~99세,329,68,23,30,34,49,39,21,65
2021년04월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년04월_남_총인구수,"15,978","5,052",710,929,"1,403","4,383","1,022",804,"1,675"
2021년04월_남_연령구간인구수,"15,978","5,052",710,929,"1,403","4,383","1,022",804,"1,675"
2021년04월_남_0~9세,715,313,17,18,29,248,23,16,51
2021년04월_남_10~19세,"1,055",483,23,31,38,389,18,18,55
2021년04월_남_20~29세,"1,432",551,48,64,117,431,71,47,103
2021년04월_남_30~39세,"1,199",406,36,61,105,396,69,43,83
2021년04월_남_40~49세,"2,102",785,52,99,160,658,92,88,168
2021년04월_남_50~59세,"3,301","1,015",143,177,322,889,240,169,346
2021년04월_남_60~69세,"3,367",833,208,239,348,817,279,189,454
2021년04월_남_70~79세,"1,837",450,97,155,182,387,159,147,260
2021년04월_남_80~89세,890,202,77,76,93,155,61,84,142
2021년04월_남_90~99세,77,14,8,8,9,13,10,3,12
2021년04월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년04월_여_총인구수,"15,155","4,963",719,918,"1,162","4,042",890,764,"1,697"
2021년04월_여_연령구간인구수,"15,155","4,963",719,918,"1,162","4,042",890,764,"1,697"
2021년04월_여_0~9세,668,273,18,26,36,229,17,15,54
2021년04월_여_10~19세,927,408,18,21,36,357,13,28,46
2021년04월_여_20~29세,"1,019",387,39,46,81,323,50,19,74
2021년04월_여_30~39세,993,390,27,43,61,328,42,24,78
2021년04월_여_40~49세,"1,644",722,40,53,79,560,45,48,97
2021년04월_여_50~59세,"2,527",826,112,145,221,707,148,114,254
2021년04월_여_60~69세,"3,045",864,163,216,270,747,214,170,401
2021년04월_여_70~79세,"2,277",625,136,187,197,466,178,164,324
2021년04월_여_80~89세,"1,798",412,150,159,156,289,154,164,314
2021년04월_여_90~99세,252,54,15,22,25,36,29,18,53
2021년04월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년05월_계_총인구수,"31,024","9,997","1,420","1,841","2,560","8,402","1,909","1,557","3,338"
2021년05월_계_연령구간인구수,"31,024","9,997","1,420","1,841","2,560","8,402","1,909","1,557","3,338"
2021년05월_계_0~9세,"1,383",591,36,44,63,475,43,29,102
2021년05월_계_10~19세,"1,973",890,41,51,75,740,31,46,99
2021년05월_계_20~29세,"2,434",932,86,109,196,751,119,65,176
2021년05월_계_30~39세,"2,188",795,59,105,165,724,109,71,160
2021년05월_계_40~49세,"3,687","1,484",91,150,234,"1,201",133,132,262
2021년05월_계_50~59세,"5,795","1,844",249,317,540,"1,589",393,276,587
2021년05월_계_60~69세,"6,443","1,708",374,461,624,"1,573",495,361,847
2021년05월_계_70~79세,"4,094","1,066",235,339,381,853,332,307,581
2021년05월_계_80~89세,"2,687",619,224,233,245,447,215,248,456
2021년05월_계_90~99세,332,66,23,31,37,49,39,22,65
2021년05월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년05월_남_총인구수,"15,939","5,037",706,929,"1,404","4,378","1,026",802,"1,657"
2021년05월_남_연령구간인구수,"15,939","5,037",706,929,"1,404","4,378","1,026",802,"1,657"
2021년05월_남_0~9세,714,313,18,18,28,247,26,14,50
2021년05월_남_10~19세,"1,052",485,23,30,39,387,18,18,52
2021년05월_남_20~29세,"1,416",543,48,63,115,426,72,47,102
2021년05월_남_30~39세,"1,200",402,35,61,106,400,68,45,83
2021년05월_남_40~49세,"2,076",772,52,100,157,648,91,87,169
2021년05월_남_50~59세,"3,294","1,022",139,177,322,890,241,166,337
2021년05월_남_60~69세,"3,390",836,210,243,352,823,282,190,454
2021년05월_남_70~79세,"1,834",447,97,153,185,386,158,150,258
2021년05월_남_80~89세,884,204,75,75,91,158,60,82,139
2021년05월_남_90~99세,76,13,8,8,9,13,10,3,12
2021년05월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년05월_여_총인구수,"15,085","4,960",714,912,"1,156","4,024",883,755,"1,681"
2021년05월_여_연령구간인구수,"15,085","4,960",714,912,"1,156","4,024",883,755,"1,681"
2021년05월_여_0~9세,669,278,18,26,35,228,17,15,52
2021년05월_여_10~19세,921,405,18,21,36,353,13,28,47
2021년05월_여_20~29세,"1,018",389,38,46,81,325,47,18,74
2021년05월_여_30~39세,988,393,24,44,59,324,41,26,77
2021년05월_여_40~49세,"1,611",712,39,50,77,553,42,45,93
2021년05월_여_50~59세,"2,501",822,110,140,218,699,152,110,250
2021년05월_여_60~69세,"3,053",872,164,218,272,750,213,171,393
2021년05월_여_70~79세,"2,260",619,138,186,196,467,174,157,323
2021년05월_여_80~89세,"1,803",415,149,158,154,289,155,166,317
2021년05월_여_90~99세,256,53,15,23,28,36,29,19,53
2021년05월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년06월_계_총인구수,"30,927","9,971","1,419","1,845","2,531","8,379","1,902","1,550","3,330"
2021년06월_계_연령구간인구수,"30,927","9,971","1,419","1,845","2,531","8,379","1,902","1,550","3,330"
2021년06월_계_0~9세,"1,368",589,34,45,62,469,40,27,102
2021년06월_계_10~19세,"1,963",884,42,51,71,738,32,45,100
2021년06월_계_20~29세,"2,395",917,88,107,192,742,112,67,170
2021년06월_계_30~39세,"2,172",789,56,108,162,715,109,71,162
2021년06월_계_40~49세,"3,653","1,470",93,150,230,"1,188",130,130,262
2021년06월_계_50~59세,"5,775","1,840",250,317,530,"1,592",393,276,577
2021년06월_계_60~69세,"6,473","1,726",372,462,622,"1,581",495,358,857
2021년06월_계_70~79세,"4,091","1,065",235,337,379,850,337,310,578
2021년06월_계_80~89세,"2,698",623,225,237,244,453,216,247,453
2021년06월_계_90~99세,331,66,22,30,39,51,38,19,66
2021년06월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년06월_남_총인구수,"15,879","5,036",703,924,"1,388","4,355","1,021",801,"1,651"
2021년06월_남_연령구간인구수,"15,879","5,036",703,924,"1,388","4,355","1,021",801,"1,651"
2021년06월_남_0~9세,709,313,17,19,28,245,24,13,50
2021년06월_남_10~19세,"1,047",487,22,29,36,384,18,18,53
2021년06월_남_20~29세,"1,396",536,50,60,114,419,68,49,100
2021년06월_남_30~39세,"1,185",401,31,61,101,392,67,47,85
2021년06월_남_40~49세,"2,059",767,53,99,155,644,89,85,167
2021년06월_남_50~59세,"3,276","1,019",141,176,318,886,242,167,327
2021년06월_남_60~69세,"3,411",847,208,243,355,827,283,188,460
2021년06월_남_70~79세,"1,831",448,98,154,182,381,160,151,257
2021년06월_남_80~89세,887,205,75,74,90,164,60,81,138
2021년06월_남_90~99세,75,13,7,8,9,13,10,2,13
2021년06월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년06월_여_총인구수,"15,048","4,935",716,921,"1,143","4,024",881,749,"1,679"
2021년06월_여_연령구간인구수,"15,048","4,935",716,921,"1,143","4,024",881,749,"1,679"
2021년06월_여_0~9세,659,276,17,26,34,224,16,14,52
2021년06월_여_10~19세,916,397,20,22,35,354,14,27,47
2021년06월_여_20~29세,999,381,38,47,78,323,44,18,70
2021년06월_여_30~39세,987,388,25,47,61,323,42,24,77
2021년06월_여_40~49세,"1,594",703,40,51,75,544,41,45,95
2021년06월_여_50~59세,"2,499",821,109,141,212,706,151,109,250
2021년06월_여_60~69세,"3,062",879,164,219,267,754,212,170,397
2021년06월_여_70~79세,"2,260",617,137,183,197,469,177,159,321
2021년06월_여_80~89세,"1,811",418,150,163,154,289,156,166,315
2021년06월_여_90~99세,256,53,15,22,30,38,28,17,53
2021년06월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년07월_계_총인구수,"30,855","9,943","1,419","1,830","2,528","8,372","1,904","1,541","3,318"
2021년07월_계_연령구간인구수,"30,855","9,943","1,419","1,830","2,528","8,372","1,904","1,541","3,318"
2021년07월_계_0~9세,"1,365",588,34,44,63,467,41,26,102
2021년07월_계_10~19세,"1,947",882,39,50,71,730,32,42,101
2021년07월_계_20~29세,"2,383",914,84,103,187,748,112,67,168
2021년07월_계_30~39세,"2,135",773,59,105,160,705,106,70,157
2021년07월_계_40~49세,"3,631","1,454",93,144,225,"1,196",128,128,263
2021년07월_계_50~59세,"5,770","1,846",247,319,526,"1,586",398,275,573
2021년07월_계_60~69세,"6,489","1,731",376,460,632,"1,586",493,355,856
2021년07월_계_70~79세,"4,100","1,067",236,335,381,850,337,315,579
2021년07월_계_80~89세,"2,691",619,225,238,243,452,219,244,451
2021년07월_계_90~99세,335,67,24,31,40,52,37,19,65
2021년07월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년07월_남_총인구수,"15,851","5,028",706,916,"1,384","4,349","1,025",797,"1,646"
2021년07월_남_연령구간인구수,"15,851","5,028",706,916,"1,384","4,349","1,025",797,"1,646"
2021년07월_남_0~9세,710,314,17,18,28,244,25,13,51
2021년07월_남_10~19세,"1,041",486,21,29,35,380,18,18,54
2021년07월_남_20~29세,"1,391",539,47,57,111,424,68,47,98
2021년07월_남_30~39세,"1,158",390,33,58,100,380,66,47,84
2021년07월_남_40~49세,"2,047",761,54,95,150,650,87,84,166
2021년07월_남_50~59세,"3,277","1,023",139,178,316,884,247,165,325
2021년07월_남_60~69세,"3,434",853,212,243,362,831,282,190,461
2021년07월_남_70~79세,"1,830",445,98,154,184,381,159,152,257
2021년07월_남_80~89세,883,203,75,74,89,163,63,79,137
2021년07월_남_90~99세,76,14,9,9,9,12,9,2,12
2021년07월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년07월_여_총인구수,"15,004","4,915",713,914,"1,144","4,023",879,744,"1,672"
2021년07월_여_연령구간인구수,"15,004","4,915",713,914,"1,144","4,023",879,744,"1,672"
2021년07월_여_0~9세,655,274,17,26,35,223,16,13,51
2021년07월_여_10~19세,906,396,18,21,36,350,14,24,47
2021년07월_여_20~29세,992,375,37,46,76,324,44,20,70
2021년07월_여_30~39세,977,383,26,47,60,325,40,23,73
2021년07월_여_40~49세,"1,584",693,39,49,75,546,41,44,97
2021년07월_여_50~59세,"2,493",823,108,141,210,702,151,110,248
2021년07월_여_60~69세,"3,055",878,164,217,270,755,211,165,395
2021년07월_여_70~79세,"2,270",622,138,181,197,469,178,163,322
2021년07월_여_80~89세,"1,808",416,150,164,154,289,156,165,314
2021년07월_여_90~99세,259,53,15,22,31,40,28,17,53
2021년07월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년08월_계_총인구수,"30,792","9,919","1,422","1,826","2,531","8,346","1,906","1,543","3,299"
2021년08월_계_연령구간인구수,"30,792","9,919","1,422","1,826","2,531","8,346","1,906","1,543","3,299"
2021년08월_계_0~9세,"1,348",580,35,42,64,460,41,25,101
2021년08월_계_10~19세,"1,931",872,39,48,70,728,33,41,100
2021년08월_계_20~29세,"2,364",910,82,100,189,742,111,67,163
2021년08월_계_30~39세,"2,114",770,59,101,162,692,104,71,155
2021년08월_계_40~49세,"3,622","1,449",94,142,224,"1,193",129,128,263
2021년08월_계_50~59세,"5,740","1,835",244,324,521,"1,580",398,273,565
2021년08월_계_60~69세,"6,513","1,742",382,462,635,"1,588",493,353,858
2021년08월_계_70~79세,"4,128","1,078",237,332,384,856,341,323,577
2021년08월_계_80~89세,"2,687",614,222,243,243,455,218,243,449
2021년08월_계_90~99세,336,67,26,31,39,52,37,19,65
2021년08월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년08월_남_총인구수,"15,830","5,007",711,921,"1,387","4,336","1,027",800,"1,641"
2021년08월_남_연령구간인구수,"15,830","5,007",711,921,"1,387","4,336","1,027",800,"1,641"
2021년08월_남_0~9세,696,306,18,19,29,237,24,13,50
2021년08월_남_10~19세,"1,032",480,21,28,35,378,19,17,54
2021년08월_남_20~29세,"1,391",539,46,56,113,427,68,48,94
2021년08월_남_30~39세,"1,146",388,34,58,101,368,64,47,86
2021년08월_남_40~49세,"2,041",754,55,93,148,651,87,85,168
2021년08월_남_50~59세,"3,268","1,015",137,184,314,883,248,166,321
2021년08월_남_60~69세,"3,454",863,217,244,363,831,283,189,464
2021년08월_남_70~79세,"1,838",448,99,151,185,383,161,154,257
2021년08월_남_80~89세,883,200,74,78,89,165,63,79,135
2021년08월_남_90~99세,77,14,9,9,10,13,9,2,11
2021년08월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년08월_여_총인구수,"14,962","4,912",711,905,"1,144","4,010",879,743,"1,658"
2021년08월_여_연령구간인구수,"14,962","4,912",711,905,"1,144","4,010",879,743,"1,658"
2021년08월_여_0~9세,652,274,17,23,35,223,17,12,51
2021년08월_여_10~19세,899,392,18,20,35,350,14,24,46
2021년08월_여_20~29세,973,371,36,44,76,315,43,19,69
2021년08월_여_30~39세,968,382,25,43,61,324,40,24,69
2021년08월_여_40~49세,"1,581",695,39,49,76,542,42,43,95
2021년08월_여_50~59세,"2,472",820,107,140,207,697,150,107,244
2021년08월_여_60~69세,"3,059",879,165,218,272,757,210,164,394
2021년08월_여_70~79세,"2,290",630,138,181,199,473,180,169,320
2021년08월_여_80~89세,"1,804",414,148,165,154,290,155,164,314
2021년08월_여_90~99세,259,53,17,22,29,39,28,17,54
2021년08월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년09월_계_총인구수,"30,683","9,884","1,420","1,825","2,512","8,324","1,892","1,541","3,285"
2021년09월_계_연령구간인구수,"30,683","9,884","1,420","1,825","2,512","8,324","1,892","1,541","3,285"
2021년09월_계_0~9세,"1,338",576,33,41,64,458,42,26,98
2021년09월_계_10~19세,"1,921",864,38,49,65,732,32,42,99
2021년09월_계_20~29세,"2,314",900,82,101,183,721,102,67,158
2021년09월_계_30~39세,"2,089",766,60,102,156,688,103,68,146
2021년09월_계_40~49세,"3,592","1,433",94,139,224,"1,189",126,121,266
2021년09월_계_50~59세,"5,730","1,839",239,324,517,"1,576",395,278,562
2021년09월_계_60~69세,"6,517","1,735",385,461,637,"1,589",496,351,863
2021년09월_계_70~79세,"4,128","1,085",235,330,383,861,337,324,573
2021년09월_계_80~89세,"2,696",615,226,243,243,459,219,243,448
2021년09월_계_90~99세,349,69,26,34,40,51,39,21,69
2021년09월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년09월_남_총인구수,"15,762","4,985",710,921,"1,377","4,319","1,020",797,"1,633"
2021년09월_남_연령구간인구수,"15,762","4,985",710,921,"1,377","4,319","1,020",797,"1,633"
2021년09월_남_0~9세,697,304,18,20,30,236,25,14,50
2021년09월_남_10~19세,"1,024",476,20,28,33,378,18,18,53
2021년09월_남_20~29세,"1,360",534,46,57,110,412,64,46,91
2021년09월_남_30~39세,"1,128",385,34,58,96,367,64,45,79
2021년09월_남_40~49세,"2,023",746,54,91,150,650,84,80,168
2021년09월_남_50~59세,"3,250","1,012",134,183,309,879,244,169,320
2021년09월_남_60~69세,"3,465",861,221,243,363,833,286,188,470
2021년09월_남_70~79세,"1,845",455,98,152,188,386,159,154,253
2021년09월_남_80~89세,885,198,75,77,88,165,66,80,136
2021년09월_남_90~99세,81,14,9,11,10,13,9,3,12
2021년09월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년09월_여_총인구수,"14,921","4,899",710,904,"1,135","4,005",872,744,"1,652"
2021년09월_여_연령구간인구수,"14,921","4,899",710,904,"1,135","4,005",872,744,"1,652"
2021년09월_여_0~9세,641,272,15,21,34,222,17,12,48
2021년09월_여_10~19세,897,388,18,21,32,354,14,24,46
2021년09월_여_20~29세,954,366,36,44,73,309,38,21,67
2021년09월_여_30~39세,961,381,26,44,60,321,39,23,67
2021년09월_여_40~49세,"1,569",687,40,48,74,539,42,41,98
2021년09월_여_50~59세,"2,480",827,105,141,208,697,151,109,242
2021년09월_여_60~69세,"3,052",874,164,218,274,756,210,163,393
2021년09월_여_70~79세,"2,283",630,137,178,195,475,178,170,320
2021년09월_여_80~89세,"1,811",417,151,166,155,294,153,163,312
2021년09월_여_90~99세,268,55,17,23,30,38,30,18,57
2021년09월_여_100세 이상,5,2,1,0,0,0,0,0,2
2021년10월_계_총인구수,"30,694","9,876","1,426","1,827","2,518","8,331","1,890","1,544","3,282"
2021년10월_계_연령구간인구수,"30,694","9,876","1,426","1,827","2,518","8,331","1,890","1,544","3,282"
2021년10월_계_0~9세,"1,327",570,33,41,65,458,40,25,95
2021년10월_계_10~19세,"1,904",859,38,49,63,726,30,42,97
2021년10월_계_20~29세,"2,318",898,81,101,180,731,100,70,157
2021년10월_계_30~39세,"2,084",760,65,101,157,684,103,70,144
2021년10월_계_40~49세,"3,579","1,425",92,140,228,"1,181",132,119,262
2021년10월_계_50~59세,"5,752","1,854",238,321,515,"1,587",393,278,566
2021년10월_계_60~69세,"6,548","1,743",390,462,644,"1,590",502,348,869
2021년10월_계_70~79세,"4,117","1,081",236,332,384,858,332,325,569
2021년10월_계_80~89세,"2,708",617,228,245,241,464,217,247,449
2021년10월_계_90~99세,348,67,23,34,41,52,40,20,71
2021년10월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년10월_남_총인구수,"15,769","4,985",714,923,"1,376","4,321","1,022",798,"1,630"
2021년10월_남_연령구간인구수,"15,769","4,985",714,923,"1,376","4,321","1,022",798,"1,630"
2021년10월_남_0~9세,689,301,19,21,28,234,25,13,48
2021년10월_남_10~19세,"1,024",475,19,28,32,381,18,18,53
2021년10월_남_20~29세,"1,349",531,46,57,109,410,60,47,89
2021년10월_남_30~39세,"1,134",384,36,58,96,370,65,47,78
2021년10월_남_40~49세,"2,014",744,54,91,151,641,88,80,165
2021년10월_남_50~59세,"3,265","1,018",133,183,306,886,246,170,323
2021년10월_남_60~69세,"3,470",863,221,242,367,831,288,184,474
2021년10월_남_70~79세,"1,847",455,102,154,189,387,157,153,250
