카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2021년02월_여_0~9세,834,707,,42,22,14,49
2021년02월_여_10~19세,967,776,,47,25,35,84
2021년02월_여_20~29세,"1,028",725,,117,46,45,95
2021년02월_여_30~39세,"1,126",907,,48,35,41,95
2021년02월_여_40~49세,"1,154",879,,65,36,57,117
2021년02월_여_50~59세,"1,634",969,,167,91,125,282
2021년02월_여_60~69세,"1,602",879,,154,120,122,327
2021년02월_여_70~79세,"1,146",549,,149,91,97,260
2021년02월_여_80~89세,760,379,,89,65,60,167
2021년02월_여_90~99세,115,49,,17,11,11,27
2021년02월_여_100세 이상,9,6,,0,0,0,3
2021년03월_계_총인구수,"22,172","14,043",,"2,102","1,327","1,318","3,382"
2021년03월_계_연령구간인구수,"22,172","14,043",,"2,102","1,327","1,318","3,382"
2021년03월_계_0~9세,"1,702","1,413",,94,42,38,115
2021년03월_계_10~19세,"2,034","1,627",,86,55,85,181
2021년03월_계_20~29세,"3,100","1,773",,475,295,117,440
2021년03월_계_30~39세,"2,542","1,948",,156,100,89,249
2021년03월_계_40~49세,"2,504","1,837",,153,83,138,293
2021년03월_계_50~59세,"3,496","2,007",,349,211,284,645
2021년03월_계_60~69세,"3,447","1,843",,353,269,276,706
2021년03월_계_70~79세,"2,002",944,,266,151,186,455
2021년03월_계_80~89세,"1,172",568,,143,108,93,260
2021년03월_계_90~99세,158,72,,27,13,12,34
2021년03월_계_100세 이상,15,11,,0,0,0,4
2021년03월_남_총인구수,"11,748","7,182",,"1,190",787,714,"1,875"
2021년03월_남_연령구간인구수,"11,748","7,182",,"1,190",787,714,"1,875"
2021년03월_남_0~9세,863,703,,50,20,24,66
2021년03월_남_10~19세,"1,012",792,,43,31,50,96
2021년03월_남_20~29세,"2,078","1,064",,345,252,73,344
2021년03월_남_30~39세,"1,422","1,045",,104,67,49,157
2021년03월_남_40~49세,"1,349",956,,88,45,85,175
2021년03월_남_50~59세,"1,865","1,042",,182,120,157,364
2021년03월_남_60~69세,"1,835",960,,199,147,153,376
2021년03월_남_70~79세,870,403,,117,63,90,197
2021년03월_남_80~89세,408,191,,54,40,32,91
2021년03월_남_90~99세,40,21,,8,2,1,8
2021년03월_남_100세 이상,6,5,,0,0,0,1
2021년03월_여_총인구수,"10,424","6,861",,912,540,604,"1,507"
2021년03월_여_연령구간인구수,"10,424","6,861",,912,540,604,"1,507"
2021년03월_여_0~9세,839,710,,44,22,14,49
2021년03월_여_10~19세,"1,022",835,,43,24,35,85
2021년03월_여_20~29세,"1,022",709,,130,43,44,96
2021년03월_여_30~39세,"1,120",903,,52,33,40,92
2021년03월_여_40~49세,"1,155",881,,65,38,53,118
2021년03월_여_50~59세,"1,631",965,,167,91,127,281
2021년03월_여_60~69세,"1,612",883,,154,122,123,330
2021년03월_여_70~79세,"1,132",541,,149,88,96,258
2021년03월_여_80~89세,764,377,,89,68,61,169
2021년03월_여_90~99세,118,51,,19,11,11,26
2021년03월_여_100세 이상,9,6,,0,0,0,3
2021년04월_계_총인구수,"22,114","14,006",,"2,117","1,321","1,307","3,363"
2021년04월_계_연령구간인구수,"22,114","14,006",,"2,117","1,321","1,307","3,363"
2021년04월_계_0~9세,"1,675","1,394",,97,42,32,110
2021년04월_계_10~19세,"2,042","1,628",,88,58,84,184
2021년04월_계_20~29세,"3,064","1,759",,471,292,113,429
2021년04월_계_30~39세,"2,510","1,918",,167,94,86,245
2021년04월_계_40~49세,"2,502","1,841",,152,85,138,286
2021년04월_계_50~59세,"3,484","2,013",,345,205,286,635
2021년04월_계_60~69세,"3,495","1,861",,360,275,278,721
2021년04월_계_70~79세,"1,994",940,,269,150,185,450
2021년04월_계_80~89세,"1,172",570,,139,107,93,263
2021년04월_계_90~99세,161,71,,29,13,12,36
2021년04월_계_100세 이상,15,11,,0,0,0,4
2021년04월_남_총인구수,"11,701","7,148",,"1,203",781,707,"1,862"
2021년04월_남_연령구간인구수,"11,701","7,148",,"1,203",781,707,"1,862"
2021년04월_남_0~9세,840,685,,54,20,20,61
2021년04월_남_10~19세,"1,022",798,,44,32,50,98
2021년04월_남_20~29세,"2,052","1,057",,341,248,69,337
2021년04월_남_30~39세,"1,395","1,017",,110,63,48,157
2021년04월_남_40~49세,"1,347",959,,88,47,85,168
2021년04월_남_50~59세,"1,860","1,047",,182,115,157,359
2021년04월_남_60~69세,"1,866",971,,203,152,155,385
2021년04월_남_70~79세,863,397,,119,62,90,195
2021년04월_남_80~89세,412,193,,54,40,32,93
2021년04월_남_90~99세,38,19,,8,2,1,8
2021년04월_남_100세 이상,6,5,,0,0,0,1
2021년04월_여_총인구수,"10,413","6,858",,914,540,600,"1,501"
2021년04월_여_연령구간인구수,"10,413","6,858",,914,540,600,"1,501"
2021년04월_여_0~9세,835,709,,43,22,12,49
2021년04월_여_10~19세,"1,020",830,,44,26,34,86
2021년04월_여_20~29세,"1,012",702,,130,44,44,92
2021년04월_여_30~39세,"1,115",901,,57,31,38,88
2021년04월_여_40~49세,"1,155",882,,64,38,53,118
2021년04월_여_50~59세,"1,624",966,,163,90,129,276
2021년04월_여_60~69세,"1,629",890,,157,123,123,336
2021년04월_여_70~79세,"1,131",543,,150,88,95,255
2021년04월_여_80~89세,760,377,,85,67,61,170
2021년04월_여_90~99세,123,52,,21,11,11,28
2021년04월_여_100세 이상,9,6,,0,0,0,3
2021년05월_계_총인구수,"22,094","13,998",,"2,113","1,318","1,305","3,360"
2021년05월_계_연령구간인구수,"22,094","13,998",,"2,113","1,318","1,305","3,360"
2021년05월_계_0~9세,"1,687","1,404",,98,41,31,113
2021년05월_계_10~19세,"2,041","1,631",,86,59,86,179
2021년05월_계_20~29세,"3,019","1,735",,460,291,110,423
2021년05월_계_30~39세,"2,520","1,922",,168,93,87,250
2021년05월_계_40~49세,"2,492","1,837",,150,86,136,283
2021년05월_계_50~59세,"3,462","2,005",,346,203,283,625
2021년05월_계_60~69세,"3,521","1,867",,367,276,281,730
2021년05월_계_70~79세,"1,991",936,,269,148,182,456
2021년05월_계_80~89세,"1,183",577,,140,108,98,260
2021년05월_계_90~99세,164,74,,29,13,11,37
2021년05월_계_100세 이상,14,10,,0,0,0,4
2021년05월_남_총인구수,"11,679","7,142",,"1,196",776,704,"1,861"
2021년05월_남_연령구간인구수,"11,679","7,142",,"1,196",776,704,"1,861"
2021년05월_남_0~9세,849,693,,56,19,19,62
2021년05월_남_10~19세,"1,021",799,,42,33,51,96
2021년05월_남_20~29세,"2,016","1,041",,330,245,67,333
2021년05월_남_30~39세,"1,400","1,017",,113,62,48,160
2021년05월_남_40~49세,"1,339",957,,85,48,83,166
2021년05월_남_50~59세,"1,851","1,045",,186,113,155,352
2021년05월_남_60~69세,"1,880",974,,205,151,157,393
2021년05월_남_70~79세,863,398,,118,63,88,196
2021년05월_남_80~89세,417,194,,54,40,35,94
2021년05월_남_90~99세,38,20,,7,2,1,8
2021년05월_남_100세 이상,5,4,,0,0,0,1
2021년05월_여_총인구수,"10,415","6,856",,917,542,601,"1,499"
2021년05월_여_연령구간인구수,"10,415","6,856",,917,542,601,"1,499"
2021년05월_여_0~9세,838,711,,42,22,12,51
2021년05월_여_10~19세,"1,020",832,,44,26,35,83
2021년05월_여_20~29세,"1,003",694,,130,46,43,90
2021년05월_여_30~39세,"1,120",905,,55,31,39,90
2021년05월_여_40~49세,"1,153",880,,65,38,53,117
2021년05월_여_50~59세,"1,611",960,,160,90,128,273
2021년05월_여_60~69세,"1,641",893,,162,125,124,337
2021년05월_여_70~79세,"1,128",538,,151,85,94,260
2021년05월_여_80~89세,766,383,,86,68,63,166
2021년05월_여_90~99세,126,54,,22,11,10,29
2021년05월_여_100세 이상,9,6,,0,0,0,3
2021년06월_계_총인구수,"22,027","13,989",,"2,086","1,315","1,297","3,340"
2021년06월_계_연령구간인구수,"22,027","13,989",,"2,086","1,315","1,297","3,340"
2021년06월_계_0~9세,"1,688","1,411",,98,42,27,110
2021년06월_계_10~19세,"2,039","1,628",,83,59,87,182
2021년06월_계_20~29세,"2,975","1,716",,448,283,112,416
2021년06월_계_30~39세,"2,515","1,919",,167,96,84,249
2021년06월_계_40~49세,"2,486","1,842",,145,88,133,278
2021년06월_계_50~59세,"3,426","1,993",,339,199,281,614
2021년06월_계_60~69세,"3,552","1,881",,368,281,284,738
2021년06월_계_70~79세,"1,974",935,,267,146,179,447
2021년06월_계_80~89세,"1,193",581,,141,108,99,264
2021년06월_계_90~99세,165,73,,30,13,11,38
2021년06월_계_100세 이상,14,10,,0,0,0,4
2021년06월_남_총인구수,"11,620","7,119",,"1,177",771,702,"1,851"
2021년06월_남_연령구간인구수,"11,620","7,119",,"1,177",771,702,"1,851"
2021년06월_남_0~9세,853,699,,56,20,18,60
2021년06월_남_10~19세,"1,009",787,,41,33,50,98
2021년06월_남_20~29세,"1,977","1,025",,320,238,68,326
2021년06월_남_30~39세,"1,401","1,018",,111,64,47,161
2021년06월_남_40~49세,"1,329",955,,82,47,82,163
2021년06월_남_50~59세,"1,838","1,046",,181,110,153,348
2021년06월_남_60~69세,"1,896",975,,208,155,160,398
2021년06월_남_70~79세,856,398,,117,63,86,192
2021년06월_남_80~89세,417,192,,54,39,37,95
2021년06월_남_90~99세,39,20,,7,2,1,9
2021년06월_남_100세 이상,5,4,,0,0,0,1
2021년06월_여_총인구수,"10,407","6,870",,909,544,595,"1,489"
2021년06월_여_연령구간인구수,"10,407","6,870",,909,544,595,"1,489"
2021년06월_여_0~9세,835,712,,42,22,9,50
2021년06월_여_10~19세,"1,030",841,,42,26,37,84
2021년06월_여_20~29세,998,691,,128,45,44,90
2021년06월_여_30~39세,"1,114",901,,56,32,37,88
2021년06월_여_40~49세,"1,157",887,,63,41,51,115
2021년06월_여_50~59세,"1,588",947,,158,89,128,266
2021년06월_여_60~69세,"1,656",906,,160,126,124,340
2021년06월_여_70~79세,"1,118",537,,150,83,93,255
2021년06월_여_80~89세,776,389,,87,69,62,169
2021년06월_여_90~99세,126,53,,23,11,10,29
2021년06월_여_100세 이상,9,6,,0,0,0,3
2021년07월_계_총인구수,"21,981","13,970",,"2,053","1,305","1,294","3,359"
2021년07월_계_연령구간인구수,"21,981","13,970",,"2,053","1,305","1,294","3,359"
2021년07월_계_0~9세,"1,684","1,411",,94,44,27,108
2021년07월_계_10~19세,"2,026","1,616",,83,57,86,184
2021년07월_계_20~29세,"2,926","1,704",,423,269,113,417
2021년07월_계_30~39세,"2,527","1,921",,165,96,86,259
2021년07월_계_40~49세,"2,480","1,836",,144,87,133,280
2021년07월_계_50~59세,"3,410","1,987",,342,199,274,608
2021년07월_계_60~69세,"3,573","1,891",,363,284,290,745
2021년07월_계_70~79세,"1,970",935,,263,147,176,449
2021년07월_계_80~89세,"1,199",582,,146,108,97,266
2021년07월_계_90~99세,172,77,,30,14,12,39
2021년07월_계_100세 이상,14,10,,0,0,0,4
2021년07월_남_총인구수,"11,584","7,103",,"1,153",759,700,"1,869"
2021년07월_남_연령구간인구수,"11,584","7,103",,"1,153",759,700,"1,869"
2021년07월_남_0~9세,849,698,,53,21,18,59
2021년07월_남_10~19세,"1,006",785,,42,31,49,99
2021년07월_남_20~29세,"1,937","1,015",,299,225,68,330
2021년07월_남_30~39세,"1,404","1,015",,111,63,48,167
2021년07월_남_40~49세,"1,327",950,,82,46,82,167
2021년07월_남_50~59세,"1,823","1,039",,181,110,148,345
2021년07월_남_60~69세,"1,913",983,,206,157,165,402
2021년07월_남_70~79세,860,400,,115,65,85,195
2021년07월_남_80~89세,419,193,,57,38,36,95
2021년07월_남_90~99세,41,21,,7,3,1,9
2021년07월_남_100세 이상,5,4,,0,0,0,1
2021년07월_여_총인구수,"10,397","6,867",,900,546,594,"1,490"
2021년07월_여_연령구간인구수,"10,397","6,867",,900,546,594,"1,490"
2021년07월_여_0~9세,835,713,,41,23,9,49
2021년07월_여_10~19세,"1,020",831,,41,26,37,85
2021년07월_여_20~29세,989,689,,124,44,45,87
2021년07월_여_30~39세,"1,123",906,,54,33,38,92
2021년07월_여_40~49세,"1,153",886,,62,41,51,113
2021년07월_여_50~59세,"1,587",948,,161,89,126,263
2021년07월_여_60~69세,"1,660",908,,157,127,125,343
2021년07월_여_70~79세,"1,110",535,,148,82,91,254
2021년07월_여_80~89세,780,389,,89,70,61,171
2021년07월_여_90~99세,131,56,,23,11,11,30
2021년07월_여_100세 이상,9,6,,0,0,0,3
2021년08월_계_총인구수,"21,972","13,974",,"2,053","1,303","1,285","3,357"
2021년08월_계_연령구간인구수,"21,972","13,974",,"2,053","1,303","1,285","3,357"
2021년08월_계_0~9세,"1,690","1,416",,95,45,27,107
2021년08월_계_10~19세,"2,022","1,609",,85,57,85,186
2021년08월_계_20~29세,"2,898","1,688",,414,266,109,421
2021년08월_계_30~39세,"2,522","1,919",,168,96,82,257
2021년08월_계_40~49세,"2,466","1,827",,147,84,133,275
2021년08월_계_50~59세,"3,414","1,998",,340,198,270,608
2021년08월_계_60~69세,"3,595","1,904",,367,287,293,744
2021년08월_계_70~79세,"1,974",941,,264,147,176,446
2021년08월_계_80~89세,"1,200",586,,144,109,97,264
2021년08월_계_90~99세,177,76,,29,14,13,45
2021년08월_계_100세 이상,14,10,,0,0,0,4
2021년08월_남_총인구수,"11,565","7,099",,"1,145",758,694,"1,869"
2021년08월_남_연령구간인구수,"11,565","7,099",,"1,145",758,694,"1,869"
2021년08월_남_0~9세,848,698,,53,21,18,58
2021년08월_남_10~19세,"1,009",785,,43,32,48,101
2021년08월_남_20~29세,"1,908",997,,290,223,65,333
2021년08월_남_30~39세,"1,404","1,017",,111,63,46,167
2021년08월_남_40~49세,"1,323",948,,84,45,82,164
2021년08월_남_50~59세,"1,821","1,043",,180,108,146,344
2021년08월_남_60~69세,"1,921",986,,209,159,167,400
2021년08월_남_70~79세,863,405,,113,65,85,195
2021년08월_남_80~89세,421,195,,55,39,35,97
2021년08월_남_90~99세,42,21,,7,3,2,9
2021년08월_남_100세 이상,5,4,,0,0,0,1
2021년08월_여_총인구수,"10,407","6,875",,908,545,591,"1,488"
2021년08월_여_연령구간인구수,"10,407","6,875",,908,545,591,"1,488"
2021년08월_여_0~9세,842,718,,42,24,9,49
2021년08월_여_10~19세,"1,013",824,,42,25,37,85
2021년08월_여_20~29세,990,691,,124,43,44,88
2021년08월_여_30~39세,"1,118",902,,57,33,36,90
2021년08월_여_40~49세,"1,143",879,,63,39,51,111
2021년08월_여_50~59세,"1,593",955,,160,90,124,264
2021년08월_여_60~69세,"1,674",918,,158,128,126,344
2021년08월_여_70~79세,"1,111",536,,151,82,91,251
2021년08월_여_80~89세,779,391,,89,70,62,167
2021년08월_여_90~99세,135,55,,22,11,11,36
2021년08월_여_100세 이상,9,6,,0,0,0,3
2021년09월_계_총인구수,"21,924","13,936",,"2,048","1,294","1,280","3,366"
2021년09월_계_연령구간인구수,"21,924","13,936",,"2,048","1,294","1,280","3,366"
2021년09월_계_0~9세,"1,688","1,417",,95,44,26,106
2021년09월_계_10~19세,"1,998","1,594",,84,56,83,181
2021년09월_계_20~29세,"2,874","1,665",,406,262,107,434
2021년09월_계_30~39세,"2,513","1,912",,168,96,81,256
2021년09월_계_40~49세,"2,451","1,821",,141,82,131,276
2021년09월_계_50~59세,"3,406","2,001",,339,196,266,604
2021년09월_계_60~69세,"3,629","1,909",,377,290,301,752
2021년09월_계_70~79세,"1,968",942,,262,145,176,443
2021년09월_계_80~89세,"1,205",590,,146,109,96,264
2021년09월_계_90~99세,177,74,,30,14,13,46
2021년09월_계_100세 이상,15,11,,0,0,0,4
2021년09월_남_총인구수,"11,554","7,079",,"1,145",751,693,"1,886"
2021년09월_남_연령구간인구수,"11,554","7,079",,"1,145",751,693,"1,886"
2021년09월_남_0~9세,847,700,,53,20,17,57
2021년09월_남_10~19세,998,778,,42,32,46,100
2021년09월_남_20~29세,"1,899",986,,284,219,64,346
2021년09월_남_30~39세,"1,398","1,011",,113,63,46,165
2021년09월_남_40~49세,"1,316",944,,81,44,80,167
2021년09월_남_50~59세,"1,817","1,041",,181,105,145,345
2021년09월_남_60~69세,"1,948",993,,215,163,173,404
2021년09월_남_70~79세,861,406,,113,62,85,195
2021년09월_남_80~89세,422,195,,56,39,35,97
2021년09월_남_90~99세,42,20,,7,4,2,9
2021년09월_남_100세 이상,6,5,,0,0,0,1
2021년09월_여_총인구수,"10,370","6,857",,903,543,587,"1,480"
2021년09월_여_연령구간인구수,"10,370","6,857",,903,543,587,"1,480"
2021년09월_여_0~9세,841,717,,42,24,9,49
2021년09월_여_10~19세,"1,000",816,,42,24,37,81
2021년09월_여_20~29세,975,679,,122,43,43,88
2021년09월_여_30~39세,"1,115",901,,55,33,35,91
2021년09월_여_40~49세,"1,135",877,,60,38,51,109
2021년09월_여_50~59세,"1,589",960,,158,91,121,259
2021년09월_여_60~69세,"1,681",916,,162,127,128,348
2021년09월_여_70~79세,"1,107",536,,149,83,91,248
2021년09월_여_80~89세,783,395,,90,70,61,167
2021년09월_여_90~99세,135,54,,23,10,11,37
2021년09월_여_100세 이상,9,6,,0,0,0,3
2021년10월_계_총인구수,"21,925","13,934",,"2,048","1,290","1,276","3,377"
2021년10월_계_연령구간인구수,"21,925","13,934",,"2,048","1,290","1,276","3,377"
2021년10월_계_0~9세,"1,680","1,410",,94,43,26,107
2021년10월_계_10~19세,"1,999","1,586",,90,57,83,183
2021년10월_계_20~29세,"2,858","1,662",,393,261,104,438
2021년10월_계_30~39세,"2,521","1,919",,171,94,82,255
2021년10월_계_40~49세,"2,439","1,810",,143,83,130,273
2021년10월_계_50~59세,"3,423","2,012",,342,196,267,606
2021년10월_계_60~69세,"3,637","1,915",,377,289,298,758
2021년10월_계_70~79세,"1,961",936,,264,145,177,439
2021년10월_계_80~89세,"1,211",598,,143,105,96,269
2021년10월_계_90~99세,180,74,,31,17,13,45
2021년10월_계_100세 이상,16,12,,0,0,0,4
2021년10월_남_총인구수,"11,540","7,068",,"1,143",746,689,"1,894"
2021년10월_남_연령구간인구수,"11,540","7,068",,"1,143",746,689,"1,894"
2021년10월_남_0~9세,842,696,,51,20,17,58
2021년10월_남_10~19세,997,774,,47,31,45,100
2021년10월_남_20~29세,"1,891",984,,276,218,62,351
2021년10월_남_30~39세,"1,399","1,012",,115,62,48,162
2021년10월_남_40~49세,"1,312",941,,81,44,79,167
2021년10월_남_50~59세,"1,820","1,045",,183,104,145,343
2021년10월_남_60~69세,"1,948",991,,216,162,170,409
2021년10월_남_70~79세,857,403,,113,63,85,193
2021년10월_남_80~89세,424,196,,54,37,36,101
2021년10월_남_90~99세,43,20,,7,5,2,9
2021년10월_남_100세 이상,7,6,,0,0,0,1
2021년10월_여_총인구수,"10,385","6,866",,905,544,587,"1,483"
2021년10월_여_연령구간인구수,"10,385","6,866",,905,544,587,"1,483"
2021년10월_여_0~9세,838,714,,43,23,9,49
2021년10월_여_10~19세,"1,002",812,,43,26,38,83
2021년10월_여_20~29세,967,678,,117,43,42,87
2021년10월_여_30~39세,"1,122",907,,56,32,34,93
2021년10월_여_40~49세,"1,127",869,,62,39,51,106
2021년10월_여_50~59세,"1,603",967,,159,92,122,263
2021년10월_여_60~69세,"1,689",924,,161,127,128,349
2021년10월_여_70~79세,"1,104",533,,151,82,92,246
2021년10월_여_80~89세,787,402,,89,68,60,168
2021년10월_여_90~99세,137,54,,24,12,11,36
2021년10월_여_100세 이상,9,6,,0,0,0,3
2021년11월_계_총인구수,"21,875","13,912",,"2,047","1,282","1,267","3,367"
2021년11월_계_연령구간인구수,"21,875","13,912",,"2,047","1,282","1,267","3,367"
2021년11월_계_0~9세,"1,665","1,399",,97,41,26,102
2021년11월_계_10~19세,"1,987","1,583",,88,58,79,179
2021년11월_계_20~29세,"2,870","1,669",,395,262,104,440
2021년11월_계_30~39세,"2,496","1,899",,170,91,83,253
2021년11월_계_40~49세,"2,437","1,818",,142,79,128,270
2021년11월_계_50~59세,"3,419","2,013",,340,197,265,604
2021년11월_계_60~69세,"3,642","1,919",,379,288,296,760
2021년11월_계_70~79세,"1,959",941,,262,144,177,435
2021년11월_계_80~89세,"1,211",590,,144,105,97,275
2021년11월_계_90~99세,180,76,,30,17,12,45
2021년11월_계_100세 이상,9,5,,0,0,0,4
2021년11월_남_총인구수,"11,525","7,063",,"1,140",741,685,"1,896"
2021년11월_남_연령구간인구수,"11,525","7,063",,"1,140",741,685,"1,896"
2021년11월_남_0~9세,837,692,,53,20,17,55
2021년11월_남_10~19세,991,773,,45,31,43,99
2021년11월_남_20~29세,"1,901",984,,279,218,63,357
2021년11월_남_30~39세,"1,382","1,005",,111,60,48,158
2021년11월_남_40~49세,"1,318",948,,81,43,79,167
2021년11월_남_50~59세,"1,817","1,046",,181,104,144,342
2021년11월_남_60~69세,"1,953",993,,216,162,169,413
2021년11월_남_70~79세,854,405,,113,61,84,191
2021년11월_남_80~89세,424,193,,54,37,36,104
2021년11월_남_90~99세,44,21,,7,5,2,9
2021년11월_남_100세 이상,4,3,,0,0,0,1
2021년11월_여_총인구수,"10,350","6,849",,907,541,582,"1,471"
2021년11월_여_연령구간인구수,"10,350","6,849",,907,541,582,"1,471"
2021년11월_여_0~9세,828,707,,44,21,9,47
2021년11월_여_10~19세,996,810,,43,27,36,80
2021년11월_여_20~29세,969,685,,116,44,41,83
2021년11월_여_30~39세,"1,114",894,,59,31,35,95
2021년11월_여_40~49세,"1,119",870,,61,36,49,103
2021년11월_여_50~59세,"1,602",967,,159,93,121,262
2021년11월_여_60~69세,"1,689",926,,163,126,127,347
2021년11월_여_70~79세,"1,105",536,,149,83,93,244
2021년11월_여_80~89세,787,397,,90,68,61,171
2021년11월_여_90~99세,136,55,,23,12,10,36
2021년11월_여_100세 이상,5,2,,0,0,0,3
2021년12월_계_총인구수,"21,748","13,802",,"2,039","1,290","1,258","3,359"
2021년12월_계_연령구간인구수,"21,748","13,802",,"2,039","1,290","1,258","3,359"
2021년12월_계_0~9세,"1,649","1,390",,98,41,24,96
2021년12월_계_10~19세,"1,929","1,516",,89,58,79,187
2021년12월_계_20~29세,"2,856","1,654",,389,266,104,443
2021년12월_계_30~39세,"2,471","1,889",,168,90,80,244
2021년12월_계_40~49세,"2,428","1,812",,140,81,125,270
2021년12월_계_50~59세,"3,407","2,002",,342,195,265,603
2021년12월_계_60~69세,"3,649","1,925",,377,291,296,760
2021년12월_계_70~79세,"1,954",944,,258,146,176,430
2021년12월_계_80~89세,"1,218",590,,148,104,97,279
2021년12월_계_90~99세,180,75,,30,18,12,45
2021년12월_계_100세 이상,7,5,,0,0,0,2
2021년12월_남_총인구수,"11,464","7,012",,"1,132",746,680,"1,894"
2021년12월_남_연령구간인구수,"11,464","7,012",,"1,132",746,680,"1,894"
2021년12월_남_0~9세,823,684,,52,20,15,52
2021년12월_남_10~19세,969,746,,45,31,43,104
2021년12월_남_20~29세,"1,897",978,,275,220,64,360
2021년12월_남_30~39세,"1,373","1,004",,110,59,47,153
2021년12월_남_40~49세,"1,310",940,,80,47,76,167
2021년12월_남_50~59세,"1,818","1,042",,184,104,145,343
2021년12월_남_60~69세,"1,948",994,,211,161,169,413
2021년12월_남_70~79세,854,408,,111,62,83,190
2021년12월_남_80~89세,427,194,,57,37,36,103
2021년12월_남_90~99세,42,19,,7,5,2,9
2021년12월_남_100세 이상,3,3,,0,0,0,0
2021년12월_여_총인구수,"10,284","6,790",,907,544,578,"1,465"
2021년12월_여_연령구간인구수,"10,284","6,790",,907,544,578,"1,465"
2021년12월_여_0~9세,826,706,,46,21,9,44
2021년12월_여_10~19세,960,770,,44,27,36,83
2021년12월_여_20~29세,959,676,,114,46,40,83
2021년12월_여_30~39세,"1,098",885,,58,31,33,91
2021년12월_여_40~49세,"1,118",872,,60,34,49,103
2021년12월_여_50~59세,"1,589",960,,158,91,120,260
2021년12월_여_60~69세,"1,701",931,,166,130,127,347
2021년12월_여_70~79세,"1,100",536,,147,84,93,240
2021년12월_여_80~89세,791,396,,91,67,61,176
2021년12월_여_90~99세,138,56,,23,13,10,36
2021년12월_여_100세 이상,4,2,,0,0,0,2
