카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년06월_계_30~39세,"4,513","4,414",99
2021년06월_계_40~49세,"5,531","5,345",186
2021년06월_계_50~59세,"5,994","5,667",327
2021년06월_계_60~69세,"5,240","4,757",483
2021년06월_계_70~79세,"2,666","2,384",282
2021년06월_계_80~89세,"1,522","1,305",217
2021년06월_계_90~99세,177,147,30
2021년06월_계_100세 이상,4,4,0
2021년06월_남_총인구수,"19,019","18,042",977
2021년06월_남_연령구간인구수,"19,019","18,042",977
2021년06월_남_0~9세,"1,590","1,562",28
2021년06월_남_10~19세,"1,749","1,716",33
2021년06월_남_20~29세,"2,617","2,542",75
2021년06월_남_30~39세,"2,498","2,440",58
2021년06월_남_40~49세,"2,992","2,877",115
2021년06월_남_50~59세,"3,167","2,985",182
2021년06월_남_60~69세,"2,637","2,371",266
2021년06월_남_70~79세,"1,205","1,066",139
2021년06월_남_80~89세,519,445,74
2021년06월_남_90~99세,43,36,7
2021년06월_남_100세 이상,2,2,0
2021년06월_여_총인구수,"17,480","16,599",881
2021년06월_여_연령구간인구수,"17,480","16,599",881
2021년06월_여_0~9세,"1,472","1,455",17
2021년06월_여_10~19세,"1,592","1,555",37
2021년06월_여_20~29세,"1,832","1,788",44
2021년06월_여_30~39세,"2,015","1,974",41
2021년06월_여_40~49세,"2,539","2,468",71
2021년06월_여_50~59세,"2,827","2,682",145
2021년06월_여_60~69세,"2,603","2,386",217
2021년06월_여_70~79세,"1,461","1,318",143
2021년06월_여_80~89세,"1,003",860,143
2021년06월_여_90~99세,134,111,23
2021년06월_여_100세 이상,2,2,0
2021년07월_계_총인구수,"36,470","34,607","1,863"
2021년07월_계_연령구간인구수,"36,470","34,607","1,863"
2021년07월_계_0~9세,"3,030","2,982",48
2021년07월_계_10~19세,"3,345","3,272",73
2021년07월_계_20~29세,"4,456","4,333",123
2021년07월_계_30~39세,"4,483","4,384",99
2021년07월_계_40~49세,"5,518","5,332",186
2021년07월_계_50~59세,"5,990","5,665",325
2021년07월_계_60~69세,"5,268","4,787",481
2021년07월_계_70~79세,"2,667","2,385",282
2021년07월_계_80~89세,"1,532","1,315",217
2021년07월_계_90~99세,177,148,29
2021년07월_계_100세 이상,4,4,0
2021년07월_남_총인구수,"19,031","18,048",983
2021년07월_남_연령구간인구수,"19,031","18,048",983
2021년07월_남_0~9세,"1,579","1,549",30
2021년07월_남_10~19세,"1,753","1,717",36
2021년07월_남_20~29세,"2,633","2,556",77
2021년07월_남_30~39세,"2,494","2,436",58
2021년07월_남_40~49세,"2,978","2,863",115
2021년07월_남_50~59세,"3,172","2,991",181
2021년07월_남_60~69세,"2,654","2,387",267
2021년07월_남_70~79세,"1,204","1,065",139
2021년07월_남_80~89세,520,447,73
2021년07월_남_90~99세,42,35,7
2021년07월_남_100세 이상,2,2,0
2021년07월_여_총인구수,"17,439","16,559",880
2021년07월_여_연령구간인구수,"17,439","16,559",880
2021년07월_여_0~9세,"1,451","1,433",18
2021년07월_여_10~19세,"1,592","1,555",37
2021년07월_여_20~29세,"1,823","1,777",46
2021년07월_여_30~39세,"1,989","1,948",41
2021년07월_여_40~49세,"2,540","2,469",71
2021년07월_여_50~59세,"2,818","2,674",144
2021년07월_여_60~69세,"2,614","2,400",214
2021년07월_여_70~79세,"1,463","1,320",143
2021년07월_여_80~89세,"1,012",868,144
2021년07월_여_90~99세,135,113,22
2021년07월_여_100세 이상,2,2,0
2021년08월_계_총인구수,"36,406","34,550","1,856"
2021년08월_계_연령구간인구수,"36,406","34,550","1,856"
2021년08월_계_0~9세,"2,995","2,948",47
2021년08월_계_10~19세,"3,363","3,287",76
2021년08월_계_20~29세,"4,416","4,293",123
2021년08월_계_30~39세,"4,454","4,355",99
2021년08월_계_40~49세,"5,496","5,313",183
2021년08월_계_50~59세,"6,009","5,682",327
2021년08월_계_60~69세,"5,272","4,797",475
2021년08월_계_70~79세,"2,681","2,401",280
2021년08월_계_80~89세,"1,537","1,318",219
2021년08월_계_90~99세,179,152,27
2021년08월_계_100세 이상,4,4,0
2021년08월_남_총인구수,"18,984","18,008",976
2021년08월_남_연령구간인구수,"18,984","18,008",976
2021년08월_남_0~9세,"1,563","1,535",28
2021년08월_남_10~19세,"1,760","1,722",38
2021년08월_남_20~29세,"2,611","2,533",78
2021년08월_남_30~39세,"2,468","2,411",57
2021년08월_남_40~49세,"2,970","2,856",114
2021년08월_남_50~59세,"3,185","3,004",181
2021년08월_남_60~69세,"2,648","2,386",262
2021년08월_남_70~79세,"1,210","1,073",137
2021년08월_남_80~89세,525,451,74
2021년08월_남_90~99세,42,35,7
2021년08월_남_100세 이상,2,2,0
2021년08월_여_총인구수,"17,422","16,542",880
2021년08월_여_연령구간인구수,"17,422","16,542",880
2021년08월_여_0~9세,"1,432","1,413",19
2021년08월_여_10~19세,"1,603","1,565",38
2021년08월_여_20~29세,"1,805","1,760",45
2021년08월_여_30~39세,"1,986","1,944",42
2021년08월_여_40~49세,"2,526","2,457",69
2021년08월_여_50~59세,"2,824","2,678",146
2021년08월_여_60~69세,"2,624","2,411",213
2021년08월_여_70~79세,"1,471","1,328",143
2021년08월_여_80~89세,"1,012",867,145
2021년08월_여_90~99세,137,117,20
2021년08월_여_100세 이상,2,2,0
2021년09월_계_총인구수,"36,388","34,536","1,852"
2021년09월_계_연령구간인구수,"36,388","34,536","1,852"
2021년09월_계_0~9세,"2,994","2,947",47
2021년09월_계_10~19세,"3,369","3,293",76
2021년09월_계_20~29세,"4,405","4,280",125
2021년09월_계_30~39세,"4,421","4,322",99
2021년09월_계_40~49세,"5,470","5,291",179
2021년09월_계_50~59세,"6,018","5,693",325
2021년09월_계_60~69세,"5,306","4,830",476
2021년09월_계_70~79세,"2,673","2,397",276
2021년09월_계_80~89세,"1,546","1,324",222
2021년09월_계_90~99세,182,155,27
2021년09월_계_100세 이상,4,4,0
2021년09월_남_총인구수,"18,973","18,000",973
2021년09월_남_연령구간인구수,"18,973","18,000",973
2021년09월_남_0~9세,"1,566","1,539",27
2021년09월_남_10~19세,"1,762","1,723",39
2021년09월_남_20~29세,"2,612","2,533",79
2021년09월_남_30~39세,"2,451","2,393",58
2021년09월_남_40~49세,"2,944","2,833",111
2021년09월_남_50~59세,"3,188","3,010",178
2021년09월_남_60~69세,"2,661","2,399",262
2021년09월_남_70~79세,"1,214","1,077",137
2021년09월_남_80~89세,529,454,75
2021년09월_남_90~99세,44,37,7
2021년09월_남_100세 이상,2,2,0
2021년09월_여_총인구수,"17,415","16,536",879
2021년09월_여_연령구간인구수,"17,415","16,536",879
2021년09월_여_0~9세,"1,428","1,408",20
2021년09월_여_10~19세,"1,607","1,570",37
2021년09월_여_20~29세,"1,793","1,747",46
2021년09월_여_30~39세,"1,970","1,929",41
2021년09월_여_40~49세,"2,526","2,458",68
2021년09월_여_50~59세,"2,830","2,683",147
2021년09월_여_60~69세,"2,645","2,431",214
2021년09월_여_70~79세,"1,459","1,320",139
2021년09월_여_80~89세,"1,017",870,147
2021년09월_여_90~99세,138,118,20
2021년09월_여_100세 이상,2,2,0
2021년10월_계_총인구수,"36,371","34,530","1,841"
2021년10월_계_연령구간인구수,"36,371","34,530","1,841"
2021년10월_계_0~9세,"2,989","2,943",46
2021년10월_계_10~19세,"3,361","3,287",74
2021년10월_계_20~29세,"4,395","4,267",128
2021년10월_계_30~39세,"4,390","4,295",95
2021년10월_계_40~49세,"5,454","5,277",177
2021년10월_계_50~59세,"6,033","5,715",318
2021년10월_계_60~69세,"5,322","4,849",473
2021년10월_계_70~79세,"2,691","2,406",285
2021년10월_계_80~89세,"1,546","1,329",217
2021년10월_계_90~99세,188,160,28
2021년10월_계_100세 이상,2,2,0
2021년10월_남_총인구수,"18,957","17,991",966
2021년10월_남_연령구간인구수,"18,957","17,991",966
2021년10월_남_0~9세,"1,562","1,536",26
2021년10월_남_10~19세,"1,753","1,716",37
2021년10월_남_20~29세,"2,603","2,521",82
2021년10월_남_30~39세,"2,434","2,379",55
2021년10월_남_40~49세,"2,940","2,830",110
2021년10월_남_50~59세,"3,200","3,027",173
2021년10월_남_60~69세,"2,664","2,406",258
2021년10월_남_70~79세,"1,226","1,081",145
2021년10월_남_80~89세,531,458,73
2021년10월_남_90~99세,44,37,7
2021년10월_남_100세 이상,0,0,0
2021년10월_여_총인구수,"17,414","16,539",875
2021년10월_여_연령구간인구수,"17,414","16,539",875
2021년10월_여_0~9세,"1,427","1,407",20
2021년10월_여_10~19세,"1,608","1,571",37
2021년10월_여_20~29세,"1,792","1,746",46
2021년10월_여_30~39세,"1,956","1,916",40
2021년10월_여_40~49세,"2,514","2,447",67
2021년10월_여_50~59세,"2,833","2,688",145
2021년10월_여_60~69세,"2,658","2,443",215
2021년10월_여_70~79세,"1,465","1,325",140
2021년10월_여_80~89세,"1,015",871,144
2021년10월_여_90~99세,144,123,21
2021년10월_여_100세 이상,2,2,0
2021년11월_계_총인구수,"36,351","34,529","1,822"
2021년11월_계_연령구간인구수,"36,351","34,529","1,822"
2021년11월_계_0~9세,"2,952","2,909",43
2021년11월_계_10~19세,"3,352","3,283",69
2021년11월_계_20~29세,"4,403","4,275",128
2021년11월_계_30~39세,"4,373","4,285",88
2021년11월_계_40~49세,"5,440","5,265",175
2021년11월_계_50~59세,"6,030","5,710",320
2021년11월_계_60~69세,"5,367","4,897",470
2021년11월_계_70~79세,"2,691","2,408",283
2021년11월_계_80~89세,"1,551","1,335",216
2021년11월_계_90~99세,190,160,30
2021년11월_계_100세 이상,2,2,0
2021년11월_남_총인구수,"18,947","17,989",958
2021년11월_남_연령구간인구수,"18,947","17,989",958
2021년11월_남_0~9세,"1,542","1,517",25
2021년11월_남_10~19세,"1,748","1,713",35
2021년11월_남_20~29세,"2,616","2,535",81
2021년11월_남_30~39세,"2,423","2,372",51
2021년11월_남_40~49세,"2,927","2,819",108
2021년11월_남_50~59세,"3,196","3,020",176
2021년11월_남_60~69세,"2,693","2,436",257
2021년11월_남_70~79세,"1,223","1,078",145
2021년11월_남_80~89세,536,463,73
2021년11월_남_90~99세,43,36,7
2021년11월_남_100세 이상,0,0,0
2021년11월_여_총인구수,"17,404","16,540",864
2021년11월_여_연령구간인구수,"17,404","16,540",864
2021년11월_여_0~9세,"1,410","1,392",18
2021년11월_여_10~19세,"1,604","1,570",34
2021년11월_여_20~29세,"1,787","1,740",47
2021년11월_여_30~39세,"1,950","1,913",37
2021년11월_여_40~49세,"2,513","2,446",67
2021년11월_여_50~59세,"2,834","2,690",144
2021년11월_여_60~69세,"2,674","2,461",213
2021년11월_여_70~79세,"1,468","1,330",138
2021년11월_여_80~89세,"1,015",872,143
2021년11월_여_90~99세,147,124,23
2021년11월_여_100세 이상,2,2,0
2021년12월_계_총인구수,"36,426","34,617","1,809"
2021년12월_계_연령구간인구수,"36,426","34,617","1,809"
2021년12월_계_0~9세,"2,947","2,905",42
2021년12월_계_10~19세,"3,337","3,270",67
2021년12월_계_20~29세,"4,412","4,288",124
2021년12월_계_30~39세,"4,408","4,326",82
2021년12월_계_40~49세,"5,442","5,267",175
2021년12월_계_50~59세,"6,038","5,714",324
2021년12월_계_60~69세,"5,394","4,928",466
2021년12월_계_70~79세,"2,701","2,418",283
2021년12월_계_80~89세,"1,551","1,334",217
2021년12월_계_90~99세,193,165,28
2021년12월_계_100세 이상,3,2,1
2021년12월_남_총인구수,"18,993","18,045",948
2021년12월_남_연령구간인구수,"18,993","18,045",948
2021년12월_남_0~9세,"1,535","1,512",23
2021년12월_남_10~19세,"1,743","1,708",35
2021년12월_남_20~29세,"2,630","2,550",80
2021년12월_남_30~39세,"2,455","2,411",44
2021년12월_남_40~49세,"2,924","2,817",107
2021년12월_남_50~59세,"3,186","3,005",181
2021년12월_남_60~69세,"2,708","2,456",252
2021년12월_남_70~79세,"1,234","1,087",147
2021년12월_남_80~89세,533,460,73
2021년12월_남_90~99세,45,39,6
2021년12월_남_100세 이상,0,0,0
2021년12월_여_총인구수,"17,433","16,572",861
2021년12월_여_연령구간인구수,"17,433","16,572",861
2021년12월_여_0~9세,"1,412","1,393",19
2021년12월_여_10~19세,"1,594","1,562",32
2021년12월_여_20~29세,"1,782","1,738",44
2021년12월_여_30~39세,"1,953","1,915",38
2021년12월_여_40~49세,"2,518","2,450",68
2021년12월_여_50~59세,"2,852","2,709",143
2021년12월_여_60~69세,"2,686","2,472",214
2021년12월_여_70~79세,"1,467","1,331",136
2021년12월_여_80~89세,"1,018",874,144
2021년12월_여_90~99세,148,126,22
2021년12월_여_100세 이상,3,2,1
