카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020년04월_여_연령구간인구수,"287,079","12,574","7,996","4,617","14,315","7,425","8,996","16,019","14,851","11,904","8,353","15,539","11,143","22,528","8,732","39,337","20,478","10,598","6,043","19,006","10,070","9,782","6,773",
2020년04월_여_0~9세,"20,702",925,320,197,"1,107",360,669,"1,047",928,694,457,705,"1,093","2,662",292,"4,558","1,541",573,205,"1,212",413,393,351,
2020년04월_여_10~19세,"27,611","1,082",380,302,"1,177",498,870,"1,769","1,463","1,302",710,"1,318","1,141","4,117",587,"3,980","2,252",749,284,"1,816",675,670,469,
2020년04월_여_20~29세,"37,503","1,520","1,311",653,"2,161","1,159","1,177","2,373","2,230","1,882","1,165","2,936","1,240","1,908",853,"4,399","2,506","1,721",559,"2,408","1,374","1,196",772,
2020년04월_여_30~39세,"33,325","1,450",962,488,"1,866",802,"1,136","1,677","1,576","1,196",967,"1,518","1,503","2,736",625,"6,158","2,182","1,296",513,"1,987","1,061",920,706,
2020년04월_여_40~49세,"47,449","1,792",911,582,"2,166","1,080","1,508","2,962","2,614","2,123","1,252","2,367","1,969","5,775","1,135","6,991","3,688","1,395",641,"2,922","1,367","1,231",978,
2020년04월_여_50~59세,"54,441","2,165","1,418",834,"2,782","1,607","1,764","3,334","3,339","2,652","1,932","3,238","2,037","2,688","1,576","6,256","3,944","2,183","1,299","4,062","2,041","1,926","1,364",
2020년04월_여_60~69세,"36,491","1,970","1,348",746,"1,842","1,101","1,071","1,644","1,514","1,132","1,154","1,765","1,341","1,501","1,699","4,023","2,464","1,537","1,352","2,645","1,708","1,786","1,148",
2020년04월_여_70~79세,"18,767","1,097",891,519,839,551,541,785,767,573,476,"1,035",536,711,"1,260","1,905","1,143",708,701,"1,198",917,"1,029",585,
2020년04월_여_80~89세,"9,451",499,396,256,321,241,225,386,370,312,210,583,246,374,633,934,657,377,427,669,448,538,349,
2020년04월_여_90~99세,"1,271",68,54,35,53,25,33,40,48,38,30,73,36,49,67,122,96,55,62,86,63,87,51,
2020년04월_여_100세 이상,68,6,5,5,1,1,2,2,2,0,0,1,1,7,5,11,5,4,0,1,3,6,0,
2020년05월_계_총인구수,"566,213","24,459","15,445","8,938","28,171","14,749","17,763","32,097","29,829","23,889","16,887","31,923","22,012","44,088","16,777","77,402","40,078","20,955","11,667","36,900","19,935","18,818","13,431",
2020년05월_계_연령구간인구수,"566,213","24,459","15,445","8,938","28,171","14,749","17,763","32,097","29,829","23,889","16,887","31,923","22,012","44,088","16,777","77,402","40,078","20,955","11,667","36,900","19,935","18,818","13,431",
2020년05월_계_0~9세,"42,200","1,802",643,420,"2,210",717,"1,397","2,155","1,962","1,416",942,"1,495","2,132","5,383",659,"9,280","3,121","1,202",414,"2,468",889,801,692,
2020년05월_계_10~19세,"57,145","2,061",785,615,"2,402","1,063","1,770","3,770","3,094","2,659","1,463","2,605","2,140","8,352","1,222","8,465","5,015","1,573",620,"3,771","1,392","1,321",987,
2020년05월_계_20~29세,"80,465","3,026","2,446","1,339","4,343","2,434","2,516","5,139","4,822","4,155","2,580","6,601","2,745","4,203","1,885","9,311","5,486","3,655","1,322","5,199","2,917","2,581","1,760",
2020년05월_계_30~39세,"68,875","2,957","1,986","1,017","3,922","1,829","2,346","3,468","3,429","2,559","2,162","3,661","3,014","4,846","1,365","11,907","4,299","2,946","1,188","4,028","2,346","2,027","1,573",
2020년05월_계_40~49세,"91,472","3,697","1,995","1,179","4,252","2,095","2,858","5,454","4,819","3,887","2,450","4,776","3,948","10,759","2,361","13,691","6,620","2,693","1,297","5,374","2,783","2,472","2,012",
2020년05월_계_50~59세,"105,320","4,302","2,776","1,588","5,304","3,041","3,412","6,705","6,543","5,275","3,636","6,511","3,937","5,833","3,124","11,896","7,449","3,994","2,340","7,518","3,896","3,584","2,656",
2020년05월_계_60~69세,"71,021","3,759","2,547","1,407","3,561","2,196","2,110","3,282","3,179","2,387","2,409","3,540","2,640","2,821","3,096","7,755","4,871","2,992","2,546","5,255","3,212","3,299","2,157",
2020년05월_계_70~79세,"33,686","1,999","1,567",904,"1,585",959,972,"1,481","1,345","1,023",870,"1,813","1,023","1,268","2,070","3,490","2,077","1,284","1,265","2,153","1,707","1,792","1,039",
2020년05월_계_80~89세,"14,313",767,629,418,522,379,339,590,572,483,334,827,382,545,897,"1,432","1,007",547,592,"1,026",713,827,485,
2020년05월_계_90~99세,"1,631",82,65,46,67,34,40,51,62,45,41,93,48,70,92,157,128,65,83,108,77,107,70,
2020년05월_계_100세 이상,85,7,6,5,3,2,3,2,2,0,0,1,3,8,6,18,5,4,0,0,3,7,0,
2020년05월_남_총인구수,"279,670","11,939","7,511","4,318","13,828","7,333","8,789","16,096","15,021","12,007","8,545","16,386","10,911","21,588","8,076","38,121","19,629","10,388","5,634","17,947","9,877","9,043","6,683",
2020년05월_남_연령구간인구수,"279,670","11,939","7,511","4,318","13,828","7,333","8,789","16,096","15,021","12,007","8,545","16,386","10,911","21,588","8,076","38,121","19,629","10,388","5,634","17,947","9,877","9,043","6,683",
2020년05월_남_0~9세,"21,625",878,331,221,"1,100",353,738,"1,118","1,048",720,489,791,"1,050","2,741",367,"4,747","1,585",630,213,"1,273",480,404,348,
2020년05월_남_10~19세,"29,682",992,401,312,"1,248",570,907,"2,005","1,628","1,371",769,"1,305","1,004","4,234",641,"4,483","2,759",834,341,"1,968",724,661,525,
2020년05월_남_20~29세,"43,044","1,528","1,149",680,"2,177","1,283","1,349","2,767","2,613","2,277","1,407","3,642","1,501","2,286","1,040","4,937","3,001","1,934",753,"2,805","1,539","1,383",993,
2020년05월_남_30~39세,"35,682","1,512","1,040",522,"2,045","1,022","1,214","1,799","1,843","1,371","1,202","2,136","1,536","2,124",744,"5,777","2,128","1,653",685,"2,055","1,292","1,109",873,
2020년05월_남_40~49세,"44,259","1,923","1,094",605,"2,070","1,015","1,364","2,498","2,231","1,783","1,209","2,437","1,980","5,000","1,233","6,709","2,941","1,313",664,"2,469","1,433","1,244","1,044",
2020년05월_남_50~59세,"50,950","2,148","1,381",757,"2,533","1,442","1,638","3,367","3,206","2,620","1,695","3,281","1,918","3,131","1,551","5,636","3,504","1,828","1,049","3,470","1,851","1,664","1,280",
2020년05월_남_60~69세,"34,330","1,776","1,192",660,"1,703","1,093","1,030","1,633","1,658","1,243","1,253","1,760","1,285","1,318","1,407","3,711","2,394","1,439","1,185","2,578","1,494","1,513","1,005",
2020년05월_남_70~79세,"14,930",900,680,391,744,410,427,696,579,449,389,781,487,559,799,"1,580",934,579,565,964,796,760,461,
2020년05월_남_80~89세,"4,798",267,230,159,193,135,115,204,200,167,121,234,136,175,269,498,351,167,159,345,254,284,135,
2020년05월_남_90~99세,353,14,12,11,13,9,6,9,15,6,11,19,12,19,24,37,32,11,20,20,14,20,19,
2020년05월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,
2020년05월_여_총인구수,"286,543","12,520","7,934","4,620","14,343","7,416","8,974","16,001","14,808","11,882","8,342","15,537","11,101","22,500","8,701","39,281","20,449","10,567","6,033","18,953","10,058","9,775","6,748",
2020년05월_여_연령구간인구수,"286,543","12,520","7,934","4,620","14,343","7,416","8,974","16,001","14,808","11,882","8,342","15,537","11,101","22,500","8,701","39,281","20,449","10,567","6,033","18,953","10,058","9,775","6,748",
2020년05월_여_0~9세,"20,575",924,312,199,"1,110",364,659,"1,037",914,696,453,704,"1,082","2,642",292,"4,533","1,536",572,201,"1,195",409,397,344,
2020년05월_여_10~19세,"27,463","1,069",384,303,"1,154",493,863,"1,765","1,466","1,288",694,"1,300","1,136","4,118",581,"3,982","2,256",739,279,"1,803",668,660,462,
2020년05월_여_20~29세,"37,421","1,498","1,297",659,"2,166","1,151","1,167","2,372","2,209","1,878","1,173","2,959","1,244","1,917",845,"4,374","2,485","1,721",569,"2,394","1,378","1,198",767,
2020년05월_여_30~39세,"33,193","1,445",946,495,"1,877",807,"1,132","1,669","1,586","1,188",960,"1,525","1,478","2,722",621,"6,130","2,171","1,293",503,"1,973","1,054",918,700,
2020년05월_여_40~49세,"47,213","1,774",901,574,"2,182","1,080","1,494","2,956","2,588","2,104","1,241","2,339","1,968","5,759","1,128","6,982","3,679","1,380",633,"2,905","1,350","1,228",968,
2020년05월_여_50~59세,"54,370","2,154","1,395",831,"2,771","1,599","1,774","3,338","3,337","2,655","1,941","3,230","2,019","2,702","1,573","6,260","3,945","2,166","1,291","4,048","2,045","1,920","1,376",
2020년05월_여_60~69세,"36,691","1,983","1,355",747,"1,858","1,103","1,080","1,649","1,521","1,144","1,156","1,780","1,355","1,503","1,689","4,044","2,477","1,553","1,361","2,677","1,718","1,786","1,152",
2020년05월_여_70~79세,"18,756","1,099",887,513,841,549,545,785,766,574,481,"1,032",536,709,"1,271","1,910","1,143",705,700,"1,189",911,"1,032",578,
2020년05월_여_80~89세,"9,515",500,399,259,329,244,224,386,372,316,213,593,246,370,628,934,656,380,433,681,459,543,350,
2020년05월_여_90~99세,"1,278",68,53,35,54,25,34,42,47,39,30,74,36,51,68,120,96,54,63,88,63,87,51,
2020년05월_여_100세 이상,68,6,5,5,1,1,2,2,2,0,0,1,1,7,5,12,5,4,0,0,3,6,0,
2020년06월_계_총인구수,"565,378","24,514","15,301","8,871","28,170","14,725","17,712","32,045","29,749","23,873","16,853","31,972","21,926","44,089","16,771","77,316","40,022","20,885","11,628","36,895","19,902","18,768","13,391",
2020년06월_계_연령구간인구수,"565,378","24,514","15,301","8,871","28,170","14,725","17,712","32,045","29,749","23,873","16,853","31,972","21,926","44,089","16,771","77,316","40,022","20,885","11,628","36,895","19,902","18,768","13,391",
2020년06월_계_0~9세,"42,006","1,806",642,415,"2,211",722,"1,387","2,147","1,944","1,415",925,"1,488","2,119","5,343",645,"9,239","3,116","1,213",402,"2,455",892,793,687,
2020년06월_계_10~19세,"56,915","2,070",772,614,"2,400","1,055","1,759","3,737","3,070","2,635","1,463","2,588","2,129","8,353","1,219","8,461","4,975","1,565",608,"3,765","1,377","1,313",987,
2020년06월_계_20~29세,"80,365","3,021","2,440","1,330","4,347","2,428","2,518","5,131","4,809","4,171","2,578","6,626","2,715","4,216","1,886","9,294","5,493","3,629","1,308","5,187","2,927","2,572","1,739",
2020년06월_계_30~39세,"68,579","2,956","1,955",998,"3,922","1,818","2,338","3,478","3,409","2,535","2,154","3,671","3,011","4,811","1,358","11,848","4,284","2,929","1,175","4,020","2,343","2,001","1,565",
2020년06월_계_40~49세,"91,267","3,703","1,972","1,184","4,245","2,099","2,830","5,419","4,788","3,870","2,445","4,768","3,937","10,797","2,358","13,687","6,594","2,695","1,286","5,352","2,769","2,473","1,996",
2020년06월_계_50~59세,"104,991","4,277","2,739","1,571","5,268","3,018","3,388","6,691","6,536","5,279","3,603","6,500","3,930","5,822","3,129","11,909","7,443","3,954","2,332","7,501","3,879","3,553","2,669",
2020년06월_계_60~69세,"71,393","3,794","2,525","1,403","3,598","2,208","2,132","3,310","3,201","2,399","2,442","3,565","2,624","2,837","3,108","7,780","4,901","3,011","2,549","5,325","3,206","3,320","2,155",
2020년06월_계_70~79세,"33,827","2,024","1,564",900,"1,586",962,974,"1,483","1,357","1,036",868,"1,831","1,035","1,283","2,065","3,498","2,082","1,284","1,288","2,151","1,711","1,803","1,042",
2020년06월_계_80~89세,"14,306",771,619,406,524,379,344,593,571,487,334,838,375,549,904,"1,425","1,003",535,600,"1,024",718,825,482,
2020년06월_계_90~99세,"1,645",84,67,45,67,34,39,54,62,46,41,96,48,70,93,158,126,66,80,115,77,108,69,
2020년06월_계_100세 이상,84,8,6,5,2,2,3,2,2,0,0,1,3,8,6,17,5,4,0,0,3,7,0,
2020년06월_남_총인구수,"279,227","11,978","7,453","4,287","13,813","7,299","8,759","16,053","14,992","12,009","8,539","16,408","10,857","21,586","8,076","38,091","19,597","10,345","5,613","17,941","9,863","9,017","6,651",
2020년06월_남_연령구간인구수,"279,227","11,978","7,453","4,287","13,813","7,299","8,759","16,053","14,992","12,009","8,539","16,408","10,857","21,586","8,076","38,091","19,597","10,345","5,613","17,941","9,863","9,017","6,651",
2020년06월_남_0~9세,"21,509",880,330,220,"1,100",355,733,"1,117","1,036",723,479,784,"1,046","2,715",360,"4,726","1,576",632,207,"1,266",480,398,346,
2020년06월_남_10~19세,"29,552",996,393,311,"1,246",568,900,"1,987","1,622","1,352",767,"1,303",996,"4,228",638,"4,480","2,740",832,332,"1,962",720,657,522,
2020년06월_남_20~29세,"42,978","1,527","1,142",683,"2,177","1,268","1,349","2,740","2,612","2,296","1,413","3,647","1,481","2,295","1,048","4,932","3,006","1,910",748,"2,800","1,543","1,372",989,
2020년06월_남_30~39세,"35,539","1,516","1,026",505,"2,040","1,017","1,211","1,810","1,838","1,353","1,207","2,134","1,534","2,110",739,"5,746","2,122","1,651",676,"2,058","1,290","1,095",861,
2020년06월_남_40~49세,"44,164","1,932","1,086",608,"2,058","1,021","1,346","2,484","2,217","1,778","1,201","2,441","1,974","5,012","1,226","6,705","2,926","1,314",663,"2,458","1,433","1,245","1,036",
2020년06월_남_50~59세,"50,795","2,133","1,374",748,"2,517","1,422","1,623","3,360","3,197","2,624","1,682","3,281","1,908","3,135","1,556","5,660","3,502","1,802","1,044","3,454","1,839","1,652","1,282",
2020년06월_남_60~69세,"34,523","1,796","1,179",656,"1,720","1,096","1,047","1,647","1,672","1,250","1,271","1,774","1,273","1,326","1,421","3,724","2,400","1,452","1,187","2,614","1,495","1,520","1,003",
2020년06월_남_70~79세,"14,975",912,680,389,745,408,428,693,581,459,386,788,496,567,791,"1,580",942,577,577,962,789,767,458,
2020년06월_남_80~89세,"4,813",270,230,156,195,134,115,206,201,167,122,236,135,178,270,494,352,163,159,346,260,289,135,
2020년06월_남_90~99세,362,15,12,11,13,9,6,9,16,7,11,20,12,19,26,38,31,12,20,21,14,21,19,
2020년06월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,
2020년06월_여_총인구수,"286,151","12,536","7,848","4,584","14,357","7,426","8,953","15,992","14,757","11,864","8,314","15,564","11,069","22,503","8,695","39,225","20,425","10,540","6,015","18,954","10,039","9,751","6,740",
2020년06월_여_연령구간인구수,"286,151","12,536","7,848","4,584","14,357","7,426","8,953","15,992","14,757","11,864","8,314","15,564","11,069","22,503","8,695","39,225","20,425","10,540","6,015","18,954","10,039","9,751","6,740",
2020년06월_여_0~9세,"20,497",926,312,195,"1,111",367,654,"1,030",908,692,446,704,"1,073","2,628",285,"4,513","1,540",581,195,"1,189",412,395,341,
2020년06월_여_10~19세,"27,363","1,074",379,303,"1,154",487,859,"1,750","1,448","1,283",696,"1,285","1,133","4,125",581,"3,981","2,235",733,276,"1,803",657,656,465,
2020년06월_여_20~29세,"37,387","1,494","1,298",647,"2,170","1,160","1,169","2,391","2,197","1,875","1,165","2,979","1,234","1,921",838,"4,362","2,487","1,719",560,"2,387","1,384","1,200",750,
2020년06월_여_30~39세,"33,040","1,440",929,493,"1,882",801,"1,127","1,668","1,571","1,182",947,"1,537","1,477","2,701",619,"6,102","2,162","1,278",499,"1,962","1,053",906,704,
2020년06월_여_40~49세,"47,103","1,771",886,576,"2,187","1,078","1,484","2,935","2,571","2,092","1,244","2,327","1,963","5,785","1,132","6,982","3,668","1,381",623,"2,894","1,336","1,228",960,
2020년06월_여_50~59세,"54,196","2,144","1,365",823,"2,751","1,596","1,765","3,331","3,339","2,655","1,921","3,219","2,022","2,687","1,573","6,249","3,941","2,152","1,288","4,047","2,040","1,901","1,387",
2020년06월_여_60~69세,"36,870","1,998","1,346",747,"1,878","1,112","1,085","1,663","1,529","1,149","1,171","1,791","1,351","1,511","1,687","4,056","2,501","1,559","1,362","2,711","1,711","1,800","1,152",
2020년06월_여_70~79세,"18,852","1,112",884,511,841,554,546,790,776,577,482,"1,043",539,716,"1,274","1,918","1,140",707,711,"1,189",922,"1,036",584,
2020년06월_여_80~89세,"9,493",501,389,250,329,245,229,387,370,320,212,602,240,371,634,931,651,372,441,678,458,536,347,
2020년06월_여_90~99세,"1,283",69,55,34,54,25,33,45,46,39,30,76,36,51,67,120,95,54,60,94,63,87,50,
2020년06월_여_100세 이상,67,7,5,5,0,1,2,2,2,0,0,1,1,7,5,11,5,4,0,0,3,6,0,
2020년07월_계_총인구수,"564,639","24,483","15,116","8,802","28,186","14,688","17,732","32,010","29,697","23,832","16,845","31,983","21,895","44,030","16,755","77,354","39,984","20,797","11,626","36,827","19,885","18,719","13,393",
2020년07월_계_연령구간인구수,"564,639","24,483","15,116","8,802","28,186","14,688","17,732","32,010","29,697","23,832","16,845","31,983","21,895","44,030","16,755","77,354","39,984","20,797","11,626","36,827","19,885","18,719","13,393",
2020년07월_계_0~9세,"41,777","1,787",633,408,"2,221",714,"1,387","2,132","1,925","1,393",921,"1,479","2,098","5,305",642,"9,217","3,114","1,198",403,"2,444",881,790,685,
2020년07월_계_10~19세,"56,690","2,077",766,609,"2,375","1,054","1,770","3,716","3,047","2,630","1,448","2,556","2,140","8,331","1,205","8,450","4,957","1,560",610,"3,745","1,359","1,301",984,
2020년07월_계_20~29세,"80,272","3,016","2,407","1,323","4,348","2,418","2,518","5,127","4,812","4,142","2,567","6,678","2,721","4,232","1,880","9,290","5,473","3,609","1,310","5,149","2,937","2,583","1,732",
2020년07월_계_30~39세,"68,260","2,926","1,952",988,"3,929","1,820","2,324","3,476","3,396","2,529","2,155","3,679","2,969","4,759","1,355","11,743","4,273","2,951","1,168","3,986","2,320","2,000","1,562",
2020년07월_계_40~49세,"91,064","3,699","1,937","1,172","4,231","2,083","2,834","5,386","4,745","3,858","2,436","4,744","3,936","10,798","2,348","13,747","6,573","2,678","1,261","5,363","2,777","2,449","2,009",
2020년07월_계_50~59세,"104,880","4,285","2,700","1,568","5,268","3,005","3,370","6,685","6,539","5,271","3,598","6,485","3,944","5,845","3,114","11,949","7,446","3,938","2,340","7,474","3,876","3,522","2,658",
2020년07월_계_60~69세,"71,633","3,784","2,487","1,397","3,627","2,218","2,165","3,344","3,235","2,426","2,467","3,582","2,615","2,844","3,124","7,811","4,913","2,984","2,552","5,366","3,211","3,315","2,166",
2020년07월_계_70~79세,"33,956","2,037","1,550",889,"1,594",954,972,"1,487","1,366","1,046",876,"1,851","1,037","1,287","2,076","3,532","2,102","1,275","1,293","2,149","1,726","1,814","1,043",
2020년07월_계_80~89세,"14,362",779,609,401,526,386,351,599,566,491,336,832,385,552,912,"1,434",997,534,609,"1,034",719,826,484,
2020년07월_계_90~99세,"1,660",85,69,42,65,34,38,56,64,46,41,96,47,69,93,164,131,66,80,117,76,111,70,
2020년07월_계_100세 이상,85,8,6,5,2,2,3,2,2,0,0,1,3,8,6,17,5,4,0,0,3,8,0,
2020년07월_남_총인구수,"278,813","11,959","7,361","4,263","13,820","7,276","8,759","16,059","14,965","11,981","8,533","16,412","10,846","21,563","8,064","38,055","19,578","10,305","5,611","17,907","9,843","9,001","6,652",
2020년07월_남_연령구간인구수,"278,813","11,959","7,361","4,263","13,820","7,276","8,759","16,059","14,965","11,981","8,533","16,412","10,846","21,563","8,064","38,055","19,578","10,305","5,611","17,907","9,843","9,001","6,652",
2020년07월_남_0~9세,"21,408",871,327,219,"1,106",352,732,"1,112","1,026",710,477,783,"1,038","2,694",359,"4,711","1,578",626,207,"1,265",472,398,345,
2020년07월_남_10~19세,"29,417",995,394,309,"1,222",566,904,"1,977","1,611","1,351",761,"1,283",999,"4,217",629,"4,458","2,732",832,338,"1,946",717,657,519,
2020년07월_남_20~29세,"42,892","1,526","1,129",680,"2,188","1,255","1,336","2,752","2,616","2,273","1,406","3,666","1,488","2,312","1,046","4,920","2,981","1,895",740,"2,784","1,541","1,373",985,
2020년07월_남_30~39세,"35,389","1,501","1,018",503,"2,043","1,024","1,208","1,808","1,829","1,349","1,206","2,134","1,517","2,090",733,"5,681","2,124","1,670",674,"2,050","1,269","1,094",864,
2020년07월_남_40~49세,"44,118","1,930","1,068",607,"2,061","1,015","1,354","2,475","2,206","1,773","1,201","2,439","1,976","5,003","1,223","6,741","2,917","1,302",650,"2,462","1,444","1,230","1,041",
2020년07월_남_50~59세,"50,725","2,142","1,358",743,"2,507","1,414","1,614","3,350","3,194","2,620","1,678","3,273","1,908","3,159","1,546","5,682","3,511","1,793","1,055","3,428","1,833","1,639","1,278",
2020년07월_남_60~69세,"34,616","1,792","1,163",656,"1,735","1,094","1,060","1,669","1,680","1,268","1,278","1,785","1,269","1,319","1,432","3,731","2,404","1,435","1,187","2,637","1,495","1,518","1,009",
2020년07월_남_70~79세,"15,042",913,671,382,748,410,426,696,588,462,392,798,501,569,799,"1,595",949,574,580,962,800,772,455,
2020년07월_남_80~89세,"4,830",274,221,154,195,136,118,211,199,167,123,231,136,180,271,493,352,166,160,351,259,296,137,
2020년07월_남_90~99세,358,14,11,10,13,9,6,9,16,8,11,20,12,19,25,37,30,12,20,22,13,22,19,
2020년07월_남_100세 이상,18,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0,
2020년07월_여_총인구수,"285,826","12,524","7,755","4,539","14,366","7,412","8,973","15,951","14,732","11,851","8,312","15,571","11,049","22,467","8,691","39,299","20,406","10,492","6,015","18,920","10,042","9,718","6,741",
2020년07월_여_연령구간인구수,"285,826","12,524","7,755","4,539","14,366","7,412","8,973","15,951","14,732","11,851","8,312","15,571","11,049","22,467","8,691","39,299","20,406","10,492","6,015","18,920","10,042","9,718","6,741",
2020년07월_여_0~9세,"20,369",916,306,189,"1,115",362,655,"1,020",899,683,444,696,"1,060","2,611",283,"4,506","1,536",572,196,"1,179",409,392,340,
2020년07월_여_10~19세,"27,273","1,082",372,300,"1,153",488,866,"1,739","1,436","1,279",687,"1,273","1,141","4,114",576,"3,992","2,225",728,272,"1,799",642,644,465,
2020년07월_여_20~29세,"37,380","1,490","1,278",643,"2,160","1,163","1,182","2,375","2,196","1,869","1,161","3,012","1,233","1,920",834,"4,370","2,492","1,714",570,"2,365","1,396","1,210",747,
2020년07월_여_30~39세,"32,871","1,425",934,485,"1,886",796,"1,116","1,668","1,567","1,180",949,"1,545","1,452","2,669",622,"6,062","2,149","1,281",494,"1,936","1,051",906,698,
2020년07월_여_40~49세,"46,946","1,769",869,565,"2,170","1,068","1,480","2,911","2,539","2,085","1,235","2,305","1,960","5,795","1,125","7,006","3,656","1,376",611,"2,901","1,333","1,219",968,
2020년07월_여_50~59세,"54,155","2,143","1,342",825,"2,761","1,591","1,756","3,335","3,345","2,651","1,920","3,212","2,036","2,686","1,568","6,267","3,935","2,145","1,285","4,046","2,043","1,883","1,380",
2020년07월_여_60~69세,"37,017","1,992","1,324",741,"1,892","1,124","1,105","1,675","1,555","1,158","1,189","1,797","1,346","1,525","1,692","4,080","2,509","1,549","1,365","2,729","1,716","1,797","1,157",
2020년07월_여_70~79세,"18,914","1,124",879,507,846,544,546,791,778,584,484,"1,053",536,718,"1,277","1,937","1,153",701,713,"1,187",926,"1,042",588,
2020년07월_여_80~89세,"9,532",505,388,247,331,250,233,388,367,324,213,601,249,372,641,941,645,368,449,683,460,530,347,
2020년07월_여_90~99세,"1,302",71,58,32,52,25,32,47,48,38,30,76,35,50,68,127,101,54,60,95,63,89,51,
2020년07월_여_100세 이상,67,7,5,5,0,1,2,2,2,0,0,1,1,7,5,11,5,4,0,0,3,6,0,
2020년08월_계_총인구수,"563,730","24,430","14,926","8,731","28,167","14,641","17,700","32,005","29,703","23,826","16,812","32,042","21,821","44,011","16,752","77,293","39,942","20,571","11,630","36,792","19,831","18,749","13,355",
2020년08월_계_연령구간인구수,"563,730","24,430","14,926","8,731","28,167","14,641","17,700","32,005","29,703","23,826","16,812","32,042","21,821","44,011","16,752","77,293","39,942","20,571","11,630","36,792","19,831","18,749","13,355",
2020년08월_계_0~9세,"41,447","1,766",631,402,"2,204",707,"1,372","2,104","1,914","1,386",903,"1,469","2,080","5,274",645,"9,143","3,098","1,174",401,"2,423",870,795,686,
2020년08월_계_10~19세,"56,382","2,077",752,599,"2,373","1,026","1,744","3,687","3,037","2,597","1,431","2,554","2,143","8,327","1,189","8,469","4,925","1,521",610,"3,723","1,345","1,294",959,
2020년08월_계_20~29세,"80,288","3,007","2,387","1,306","4,348","2,433","2,533","5,156","4,803","4,161","2,583","6,745","2,701","4,240","1,880","9,275","5,463","3,572","1,305","5,148","2,926","2,578","1,738",
2020년08월_계_30~39세,"67,995","2,905","1,929",970,"3,924","1,829","2,301","3,457","3,404","2,545","2,161","3,670","2,935","4,750","1,358","11,664","4,263","2,931","1,154","3,973","2,321","1,999","1,552",
2020년08월_계_40~49세,"90,718","3,690","1,894","1,170","4,212","2,056","2,825","5,370","4,749","3,815","2,403","4,697","3,938","10,757","2,345","13,792","6,546","2,652","1,266","5,343","2,750","2,453","1,995",
2020년08월_계_50~59세,"104,670","4,278","2,654","1,542","5,263","2,981","3,374","6,705","6,522","5,290","3,588","6,486","3,905","5,882","3,109","11,954","7,443","3,899","2,325","7,444","3,867","3,515","2,644",
2020년08월_계_60~69세,"72,021","3,791","2,484","1,401","3,653","2,218","2,175","3,381","3,269","2,443","2,499","3,613","2,637","2,858","3,124","7,831","4,956","2,961","2,567","5,411","3,230","3,337","2,182",
2020년08월_계_70~79세,"34,030","2,044","1,518",894,"1,594",966,980,"1,482","1,365","1,049",871,"1,859","1,044","1,296","2,081","3,545","2,118","1,258","1,309","2,169","1,720","1,821","1,047",
2020년08월_계_80~89세,"14,425",776,604,400,530,387,354,607,574,490,334,851,386,550,924,"1,441",997,529,613,"1,040",722,837,479,
2020년08월_계_90~99세,"1,668",88,67,42,64,36,39,54,64,50,39,97,49,69,91,162,128,70,79,118,77,112,73,
2020년08월_계_100세 이상,86,8,6,5,2,2,3,2,2,0,0,1,3,8,6,17,5,4,1,0,3,8,0,
2020년08월_남_총인구수,"278,341","11,921","7,259","4,237","13,810","7,243","8,731","16,059","14,971","11,990","8,519","16,446","10,806","21,552","8,055","38,032","19,541","10,188","5,618","17,888","9,826","9,018","6,631",
2020년08월_남_연령구간인구수,"278,341","11,921","7,259","4,237","13,810","7,243","8,731","16,059","14,971","11,990","8,519","16,446","10,806","21,552","8,055","38,032","19,541","10,188","5,618","17,888","9,826","9,018","6,631",
2020년08월_남_0~9세,"21,240",864,329,217,"1,098",350,722,"1,098","1,016",705,469,781,"1,026","2,665",358,"4,688","1,574",609,207,"1,253",466,401,344,
2020년08월_남_10~19세,"29,252",991,386,305,"1,211",550,901,"1,964","1,618","1,325",749,"1,284","1,002","4,221",622,"4,462","2,709",813,340,"1,927",708,655,509,
2020년08월_남_20~29세,"42,886","1,532","1,112",667,"2,192","1,255","1,332","2,758","2,603","2,290","1,419","3,701","1,479","2,324","1,038","4,911","2,975","1,876",742,"2,788","1,538","1,368",986,
2020년08월_남_30~39세,"35,327","1,489","1,008",498,"2,046","1,039","1,192","1,804","1,838","1,371","1,212","2,127","1,500","2,089",736,"5,646","2,112","1,658",663,"2,055","1,280","1,101",863,
