카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년09월_계_50~59세,"11,355","3,403","3,135",418,"1,061",567,614,"1,055",362,558,182
2020년09월_계_60~69세,"10,854","2,700","2,432",548,"1,260",711,811,923,503,699,267
2020년09월_계_70~79세,"6,700","1,461","1,223",416,910,492,683,633,365,366,151
2020년09월_계_80~89세,"4,023",844,555,281,661,330,434,334,247,243,94
2020년09월_계_90~99세,542,115,91,35,86,41,66,43,21,30,14
2020년09월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년09월_남_총인구수,"32,687","9,458","9,934","1,193","3,204","1,469","1,743","2,797","1,013","1,406",470
2020년09월_남_연령구간인구수,"32,687","9,458","9,934","1,193","3,204","1,469","1,743","2,797","1,013","1,406",470
2020년09월_남_0~9세,"2,129",692,982,26,151,30,37,161,9,31,10
2020년09월_남_10~19세,"3,197","1,093","1,392",63,173,48,70,219,36,87,16
2020년09월_남_20~29세,"3,197","1,192",866,93,290,112,149,250,78,136,31
2020년09월_남_30~39세,"2,939",976,995,87,311,88,83,222,54,92,31
2020년09월_남_40~49세,"5,139","1,507","1,966",127,382,184,197,461,114,159,42
2020년09월_남_50~59세,"6,219","1,775","1,721",227,617,329,358,603,214,277,98
2020년09월_남_60~69세,"5,621","1,341","1,241",296,673,373,409,498,262,384,144
2020년09월_남_70~79세,"2,922",603,582,182,385,198,292,280,156,175,69
2020년09월_남_80~89세,"1,210",251,166,87,198,97,135,99,87,62,28
2020년09월_남_90~99세,111,28,22,5,22,10,13,4,3,3,1
2020년09월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년09월_여_총인구수,"31,751","9,309","9,668","1,207","2,991","1,429","1,770","2,627",948,"1,358",444
2020년09월_여_연령구간인구수,"31,751","9,309","9,668","1,207","2,991","1,429","1,770","2,627",948,"1,358",444
2020년09월_여_0~9세,"2,103",650,"1,007",31,157,34,27,142,14,35,6
2020년09월_여_10~19세,"2,809",907,"1,254",51,133,40,73,247,29,64,11
2020년09월_여_20~29세,"2,300",856,706,68,175,70,94,187,41,83,20
2020년09월_여_30~39세,"2,832",960,"1,127",68,231,58,61,197,34,78,18
2020년09월_여_40~49세,"4,308","1,406","1,867",88,212,93,114,350,54,103,21
2020년09월_여_50~59세,"5,136","1,628","1,414",191,444,238,256,452,148,281,84
2020년09월_여_60~69세,"5,233","1,359","1,191",252,587,338,402,425,241,315,123
2020년09월_여_70~79세,"3,778",858,641,234,525,294,391,353,209,191,82
2020년09월_여_80~89세,"2,813",593,389,194,463,233,299,235,160,181,66
2020년09월_여_90~99세,431,87,69,30,64,31,53,39,18,27,13
2020년09월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년10월_계_총인구수,"64,351","18,752","19,564","2,397","6,190","2,902","3,487","5,432","1,954","2,762",911
2020년10월_계_연령구간인구수,"64,351","18,752","19,564","2,397","6,190","2,902","3,487","5,432","1,954","2,762",911
2020년10월_계_0~9세,"4,189","1,314","1,983",57,310,66,60,300,22,62,15
2020년10월_계_10~19세,"5,990","1,998","2,643",110,307,88,140,463,62,151,28
2020년10월_계_20~29세,"5,513","2,057","1,575",165,461,185,237,446,118,218,51
2020년10월_계_30~39세,"5,721","1,921","2,097",153,540,146,144,413,91,170,46
2020년10월_계_40~49세,"9,429","2,911","3,818",209,594,279,308,814,166,265,65
2020년10월_계_50~59세,"11,318","3,405","3,129",418,"1,049",566,608,"1,056",354,555,178
2020년10월_계_60~69세,"10,915","2,709","2,446",555,"1,277",712,810,931,509,697,269
2020년10월_계_70~79세,"6,691","1,464","1,230",414,901,493,676,629,363,369,152
2020년10월_계_80~89세,"4,035",853,549,282,664,327,441,334,248,244,93
2020년10월_계_90~99세,537,115,88,34,85,40,63,46,21,31,14
2020년10월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2020년10월_남_총인구수,"32,635","9,453","9,914","1,192","3,193","1,473","1,733","2,805","1,005","1,400",467
2020년10월_남_연령구간인구수,"32,635","9,453","9,914","1,192","3,193","1,473","1,733","2,805","1,005","1,400",467
2020년10월_남_0~9세,"2,098",678,974,26,151,29,34,161,8,27,10
2020년10월_남_10~19세,"3,181","1,093","1,386",61,172,48,70,216,33,86,16
2020년10월_남_20~29세,"3,210","1,199",872,97,288,112,144,254,78,136,30
2020년10월_남_30~39세,"2,912",967,984,86,307,89,83,221,54,92,29
2020년10월_남_40~49세,"5,125","1,505","1,958",122,380,185,195,466,113,158,43
2020년10월_남_50~59세,"6,215","1,780","1,720",229,611,332,358,603,211,275,96
2020년10월_남_60~69세,"5,652","1,344","1,246",298,683,375,412,502,263,385,144
2020년10월_남_70~79세,"2,922",607,589,181,382,199,287,277,155,175,70
2020년10월_남_80~89세,"1,206",252,162,86,195,94,138,101,87,63,28
2020년10월_남_90~99세,110,28,21,6,22,10,12,4,3,3,1
2020년10월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년10월_여_총인구수,"31,716","9,299","9,650","1,205","2,997","1,429","1,754","2,627",949,"1,362",444
2020년10월_여_연령구간인구수,"31,716","9,299","9,650","1,205","2,997","1,429","1,754","2,627",949,"1,362",444
2020년10월_여_0~9세,"2,091",636,"1,009",31,159,37,26,139,14,35,5
2020년10월_여_10~19세,"2,809",905,"1,257",49,135,40,70,247,29,65,12
2020년10월_여_20~29세,"2,303",858,703,68,173,73,93,192,40,82,21
2020년10월_여_30~39세,"2,809",954,"1,113",67,233,57,61,192,37,78,17
2020년10월_여_40~49세,"4,304","1,406","1,860",87,214,94,113,348,53,107,22
2020년10월_여_50~59세,"5,103","1,625","1,409",189,438,234,250,453,143,280,82
2020년10월_여_60~69세,"5,263","1,365","1,200",257,594,337,398,429,246,312,125
2020년10월_여_70~79세,"3,769",857,641,233,519,294,389,352,208,194,82
2020년10월_여_80~89세,"2,829",601,387,196,469,233,303,233,161,181,65
2020년10월_여_90~99세,427,87,67,28,63,30,51,42,18,28,13
2020년10월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
2020년11월_계_총인구수,"64,235","18,696","19,511","2,397","6,216","2,885","3,485","5,414","1,942","2,778",911
2020년11월_계_연령구간인구수,"64,235","18,696","19,511","2,397","6,216","2,885","3,485","5,414","1,942","2,778",911
2020년11월_계_0~9세,"4,123","1,287","1,954",57,311,65,59,296,18,62,14
2020년11월_계_10~19세,"5,976","1,994","2,639",110,306,85,142,457,61,154,28
2020년11월_계_20~29세,"5,528","2,063","1,576",166,480,183,236,440,117,215,52
2020년11월_계_30~39세,"5,659","1,883","2,060",154,549,144,144,415,89,175,46
2020년11월_계_40~49세,"9,418","2,899","3,833",208,598,275,309,803,163,267,63
2020년11월_계_50~59세,"11,286","3,399","3,127",415,"1,037",566,605,"1,054",350,555,178
2020년11월_계_60~69세,"10,951","2,723","2,454",558,"1,282",710,809,934,512,699,270
2020년11월_계_70~79세,"6,694","1,472","1,229",420,896,492,667,630,363,373,152
2020년11월_계_80~89세,"4,044",855,547,274,670,325,448,337,247,247,94
2020년11월_계_90~99세,543,116,86,35,85,40,66,48,22,31,14
2020년11월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2020년11월_남_총인구수,"32,576","9,413","9,883","1,200","3,209","1,463","1,732","2,804",997,"1,408",467
2020년11월_남_연령구간인구수,"32,576","9,413","9,883","1,200","3,209","1,463","1,732","2,804",997,"1,408",467
2020년11월_남_0~9세,"2,070",661,960,26,153,30,33,164,6,28,9
2020년11월_남_10~19세,"3,177","1,090","1,386",61,170,48,74,213,31,87,17
2020년11월_남_20~29세,"3,210","1,200",868,98,299,108,143,250,78,136,30
2020년11월_남_30~39세,"2,886",946,966,86,311,91,84,227,52,94,29
2020년11월_남_40~49세,"5,114","1,507","1,961",123,380,180,195,456,111,159,42
2020년11월_남_50~59세,"6,180","1,768","1,715",225,603,332,352,604,209,276,96
2020년11월_남_60~69세,"5,679","1,348","1,258",302,686,371,414,505,266,383,146
2020년11월_남_70~79세,"2,939",612,589,186,386,200,286,278,154,179,69
2020년11월_남_80~89세,"1,207",253,157,86,197,93,140,103,87,63,28
2020년11월_남_90~99세,110,28,21,7,22,10,11,4,3,3,1
2020년11월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년11월_여_총인구수,"31,659","9,283","9,628","1,197","3,007","1,422","1,753","2,610",945,"1,370",444
2020년11월_여_연령구간인구수,"31,659","9,283","9,628","1,197","3,007","1,422","1,753","2,610",945,"1,370",444
2020년11월_여_0~9세,"2,053",626,994,31,158,35,26,132,12,34,5
2020년11월_여_10~19세,"2,799",904,"1,253",49,136,37,68,244,30,67,11
2020년11월_여_20~29세,"2,318",863,708,68,181,75,93,190,39,79,22
2020년11월_여_30~39세,"2,773",937,"1,094",68,238,53,60,188,37,81,17
2020년11월_여_40~49세,"4,304","1,392","1,872",85,218,95,114,347,52,108,21
2020년11월_여_50~59세,"5,106","1,631","1,412",190,434,234,253,450,141,279,82
2020년11월_여_60~69세,"5,272","1,375","1,196",256,596,339,395,429,246,316,124
2020년11월_여_70~79세,"3,755",860,640,234,510,292,381,352,209,194,83
2020년11월_여_80~89세,"2,837",602,390,188,473,232,308,234,160,184,66
2020년11월_여_90~99세,433,88,65,28,63,30,55,44,19,28,13
2020년11월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
2020년12월_계_총인구수,"64,182","18,666","19,486","2,401","6,228","2,888","3,478","5,404","1,948","2,771",912
2020년12월_계_연령구간인구수,"64,182","18,666","19,486","2,401","6,228","2,888","3,478","5,404","1,948","2,771",912
2020년12월_계_0~9세,"4,098","1,282","1,932",57,318,63,60,291,18,63,14
2020년12월_계_10~19세,"5,939","1,985","2,633",109,305,85,139,454,59,143,27
2020년12월_계_20~29세,"5,523","2,050","1,589",165,480,178,234,441,121,215,50
2020년12월_계_30~39세,"5,615","1,875","2,021",157,552,144,145,406,92,172,51
2020년12월_계_40~49세,"9,386","2,875","3,823",209,603,274,304,798,163,271,66
2020년12월_계_50~59세,"11,269","3,381","3,133",413,"1,030",568,608,"1,059",351,555,171
2020년12월_계_60~69세,"11,026","2,757","2,477",563,"1,280",719,805,944,510,701,270
2020년12월_계_70~79세,"6,693","1,475","1,235",417,898,492,665,617,368,371,155
2020년12월_계_80~89세,"4,073",864,550,277,675,324,451,346,244,248,94
2020년12월_계_90~99세,546,117,86,34,85,41,67,48,22,32,14
2020년12월_계_100세 이상,14,5,7,0,2,0,0,0,0,0,0
2020년12월_남_총인구수,"32,561","9,400","9,873","1,204","3,224","1,463","1,733","2,799","1,001","1,397",467
2020년12월_남_연령구간인구수,"32,561","9,400","9,873","1,204","3,224","1,463","1,733","2,799","1,001","1,397",467
2020년12월_남_0~9세,"2,047",652,950,26,153,28,33,162,6,28,9
2020년12월_남_10~19세,"3,160","1,088","1,382",60,172,48,73,212,29,80,16
2020년12월_남_20~29세,"3,221","1,203",874,98,301,105,144,251,80,138,27
2020년12월_남_30~39세,"2,864",937,949,85,314,92,86,226,55,89,31
2020년12월_남_40~49세,"5,083","1,491","1,948",123,384,180,192,450,111,161,43
2020년12월_남_50~59세,"6,185","1,767","1,721",229,600,334,353,606,210,272,93
2020년12월_남_60~69세,"5,721","1,364","1,271",303,690,375,415,507,265,384,147
2020년12월_남_70~79세,"2,951",613,598,186,387,198,285,276,156,180,72
2020년12월_남_80~89세,"1,216",257,157,87,201,93,141,104,86,62,28
2020년12월_남_90~99세,109,28,21,7,20,10,11,5,3,3,1
2020년12월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년12월_여_총인구수,"31,621","9,266","9,613","1,197","3,004","1,425","1,745","2,605",947,"1,374",445
2020년12월_여_연령구간인구수,"31,621","9,266","9,613","1,197","3,004","1,425","1,745","2,605",947,"1,374",445
2020년12월_여_0~9세,"2,051",630,982,31,165,35,27,129,12,35,5
2020년12월_여_10~19세,"2,779",897,"1,251",49,133,37,66,242,30,63,11
2020년12월_여_20~29세,"2,302",847,715,67,179,73,90,190,41,77,23
2020년12월_여_30~39세,"2,751",938,"1,072",72,238,52,59,180,37,83,20
2020년12월_여_40~49세,"4,303","1,384","1,875",86,219,94,112,348,52,110,23
2020년12월_여_50~59세,"5,084","1,614","1,412",184,430,234,255,453,141,283,78
2020년12월_여_60~69세,"5,305","1,393","1,206",260,590,344,390,437,245,317,123
2020년12월_여_70~79세,"3,742",862,637,231,511,294,380,341,212,191,83
2020년12월_여_80~89세,"2,857",607,393,190,474,231,310,242,158,186,66
2020년12월_여_90~99세,437,89,65,27,65,31,56,43,19,29,13
2020년12월_여_100세 이상,10,5,5,0,0,0,0,0,0,0,0
2021년01월_계_총인구수,"64,036","18,629","19,412","2,414","6,201","2,888","3,457","5,398","1,943","2,781",913
2021년01월_계_연령구간인구수,"64,036","18,629","19,412","2,414","6,201","2,888","3,457","5,398","1,943","2,781",913
2021년01월_계_0~9세,"4,018","1,258","1,884",55,312,67,59,291,17,62,13
2021년01월_계_10~19세,"5,974","2,002","2,637",122,302,85,142,462,58,137,27
2021년01월_계_20~29세,"5,475","2,036","1,583",159,472,180,226,430,122,217,50
2021년01월_계_30~39세,"5,535","1,859","1,981",154,550,144,144,391,90,173,49
2021년01월_계_40~49세,"9,354","2,861","3,801",220,594,275,298,802,162,274,67
2021년01월_계_50~59세,"11,210","3,372","3,135",409,"1,009",563,596,"1,058",348,553,167
2021년01월_계_60~69세,"11,121","2,774","2,503",564,"1,299",718,810,952,512,712,277
2021년01월_계_70~79세,"6,674","1,476","1,228",413,901,486,664,614,368,370,154
2021년01월_계_80~89세,"4,110",867,565,284,675,329,453,350,242,250,95
2021년01월_계_90~99세,551,119,88,34,85,41,65,48,24,33,14
2021년01월_계_100세 이상,14,5,7,0,2,0,0,0,0,0,0
2021년01월_남_총인구수,"32,487","9,382","9,845","1,210","3,208","1,468","1,721","2,784",998,"1,403",468
2021년01월_남_연령구간인구수,"32,487","9,382","9,845","1,210","3,208","1,468","1,721","2,784",998,"1,403",468
2021년01월_남_0~9세,"2,010",638,929,24,151,32,32,161,6,29,8
2021년01월_남_10~19세,"3,188","1,103","1,388",67,168,48,75,218,27,78,16
2021년01월_남_20~29세,"3,196","1,196",874,94,295,106,141,243,81,140,26
2021년01월_남_30~39세,"2,820",928,924,83,318,92,85,216,53,91,30
2021년01월_남_40~49세,"5,063","1,479","1,945",128,379,182,188,447,111,159,45
2021년01월_남_50~59세,"6,159","1,763","1,725",228,590,332,344,604,209,272,92
2021년01월_남_60~69세,"5,755","1,373","1,279",303,695,373,417,512,266,388,149
2021년01월_남_70~79세,"2,958",614,596,187,390,200,288,273,157,180,73
2021년01월_남_80~89세,"1,225",259,162,90,201,93,140,104,84,64,28
2021년01월_남_90~99세,109,29,21,6,19,10,11,6,4,2,1
2021년01월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2021년01월_여_총인구수,"31,549","9,247","9,567","1,204","2,993","1,420","1,736","2,614",945,"1,378",445
2021년01월_여_연령구간인구수,"31,549","9,247","9,567","1,204","2,993","1,420","1,736","2,614",945,"1,378",445
2021년01월_여_0~9세,"2,008",620,955,31,161,35,27,130,11,33,5
2021년01월_여_10~19세,"2,786",899,"1,249",55,134,37,67,244,31,59,11
2021년01월_여_20~29세,"2,279",840,709,65,177,74,85,187,41,77,24
2021년01월_여_30~39세,"2,715",931,"1,057",71,232,52,59,175,37,82,19
2021년01월_여_40~49세,"4,291","1,382","1,856",92,215,93,110,355,51,115,22
2021년01월_여_50~59세,"5,051","1,609","1,410",181,419,231,252,454,139,281,75
2021년01월_여_60~69세,"5,366","1,401","1,224",261,604,345,393,440,246,324,128
2021년01월_여_70~79세,"3,716",862,632,226,511,286,376,341,211,190,81
2021년01월_여_80~89세,"2,885",608,403,194,474,236,313,246,158,186,67
2021년01월_여_90~99세,442,90,67,28,66,31,54,42,20,31,13
2021년01월_여_100세 이상,10,5,5,0,0,0,0,0,0,0,0
2021년02월_계_총인구수,"63,879","18,568","19,348","2,412","6,183","2,877","3,453","5,420","1,935","2,777",906
2021년02월_계_연령구간인구수,"63,879","18,568","19,348","2,412","6,183","2,877","3,453","5,420","1,935","2,777",906
2021년02월_계_0~9세,"3,970","1,251","1,845",56,307,66,57,295,19,60,14
2021년02월_계_10~19세,"5,961","1,987","2,641",121,307,82,142,464,58,132,27
2021년02월_계_20~29세,"5,412","2,025","1,570",156,460,174,221,425,117,216,48
2021년02월_계_30~39세,"5,456","1,822","1,950",150,537,144,147,394,91,174,47
2021년02월_계_40~49세,"9,331","2,857","3,783",219,596,274,296,809,161,270,66
2021년02월_계_50~59세,"11,195","3,363","3,142",409,"1,001",560,591,"1,067",346,551,165
2021년02월_계_60~69세,"11,190","2,792","2,531",565,"1,313",722,815,950,512,715,275
2021년02월_계_70~79세,"6,646","1,470","1,217",416,894,480,664,613,366,373,153
2021년02월_계_80~89세,"4,150",876,575,286,679,335,453,355,242,252,97
2021년02월_계_90~99세,554,119,88,34,87,40,67,48,23,34,14
2021년02월_계_100세 이상,14,6,6,0,2,0,0,0,0,0,0
2021년02월_남_총인구수,"32,425","9,353","9,817","1,214","3,200","1,464","1,722","2,800",993,"1,401",461
2021년02월_남_연령구간인구수,"32,425","9,353","9,817","1,214","3,200","1,464","1,722","2,800",993,"1,401",461
2021년02월_남_0~9세,"1,993",640,910,24,150,33,30,163,7,28,8
2021년02월_남_10~19세,"3,187","1,100","1,386",68,173,47,76,220,27,74,16
2021년02월_남_20~29세,"3,154","1,192",863,92,290,100,139,238,76,139,25
2021년02월_남_30~39세,"2,794",903,921,83,311,93,86,221,55,93,28
2021년02월_남_40~49세,"5,040","1,480","1,925",128,378,180,186,451,109,159,44
2021년02월_남_50~59세,"6,157","1,751","1,737",230,582,332,346,610,207,272,90
2021년02월_남_60~69세,"5,788","1,380","1,294",301,708,376,417,513,266,385,148
2021년02월_남_70~79세,"2,959",618,591,189,386,199,288,274,157,184,73
2021년02월_남_80~89세,"1,240",261,167,93,201,95,142,104,85,64,28
2021년02월_남_90~99세,108,27,21,6,19,9,12,6,4,3,1
2021년02월_남_100세 이상,5,1,2,0,2,0,0,0,0,0,0
2021년02월_여_총인구수,"31,454","9,215","9,531","1,198","2,983","1,413","1,731","2,620",942,"1,376",445
2021년02월_여_연령구간인구수,"31,454","9,215","9,531","1,198","2,983","1,413","1,731","2,620",942,"1,376",445
2021년02월_여_0~9세,"1,977",611,935,32,157,33,27,132,12,32,6
2021년02월_여_10~19세,"2,774",887,"1,255",53,134,35,66,244,31,58,11
2021년02월_여_20~29세,"2,258",833,707,64,170,74,82,187,41,77,23
2021년02월_여_30~39세,"2,662",919,"1,029",67,226,51,61,173,36,81,19
2021년02월_여_40~49세,"4,291","1,377","1,858",91,218,94,110,358,52,111,22
2021년02월_여_50~59세,"5,038","1,612","1,405",179,419,228,245,457,139,279,75
2021년02월_여_60~69세,"5,402","1,412","1,237",264,605,346,398,437,246,330,127
2021년02월_여_70~79세,"3,687",852,626,227,508,281,376,339,209,189,80
2021년02월_여_80~89세,"2,910",615,408,193,478,240,311,251,157,188,69
2021년02월_여_90~99세,446,92,67,28,68,31,55,42,19,31,13
2021년02월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
2021년03월_계_총인구수,"63,694","18,519","19,301","2,406","6,163","2,880","3,445","5,378","1,935","2,761",906
2021년03월_계_연령구간인구수,"63,694","18,519","19,301","2,406","6,163","2,880","3,445","5,378","1,935","2,761",906
2021년03월_계_0~9세,"3,923","1,232","1,825",56,302,68,58,288,19,60,15
2021년03월_계_10~19세,"5,921","1,986","2,635",116,310,78,137,454,57,123,25
2021년03월_계_20~29세,"5,373","2,013","1,570",152,447,177,223,418,114,210,49
2021년03월_계_30~39세,"5,385","1,798","1,923",151,530,147,142,388,89,170,47
2021년03월_계_40~49세,"9,238","2,829","3,760",222,592,265,293,793,157,264,63
2021년03월_계_50~59세,"11,196","3,375","3,158",403,992,557,588,"1,057",345,552,169
2021년03월_계_60~69세,"11,252","2,813","2,531",573,"1,327",730,809,959,519,719,272
2021년03월_계_70~79세,"6,651","1,471","1,222",409,890,482,667,614,366,376,154
2021년03월_계_80~89세,"4,178",877,581,290,683,336,457,359,245,253,97
2021년03월_계_90~99세,563,119,90,34,88,40,71,48,24,34,15
2021년03월_계_100세 이상,14,6,6,0,2,0,0,0,0,0,0
2021년03월_남_총인구수,"32,325","9,335","9,786","1,213","3,186","1,470","1,710","2,782",993,"1,389",461
2021년03월_남_연령구간인구수,"32,325","9,335","9,786","1,213","3,186","1,470","1,710","2,782",993,"1,389",461
2021년03월_남_0~9세,"1,967",629,898,23,150,34,31,158,7,28,9
2021년03월_남_10~19세,"3,155","1,097","1,380",65,170,45,72,216,27,68,15
2021년03월_남_20~29세,"3,143","1,196",868,90,284,103,137,235,72,132,26
2021년03월_남_30~39세,"2,751",892,906,83,303,96,82,217,54,90,28
2021년03월_남_40~49세,"4,988","1,470","1,901",130,377,177,185,444,105,157,42
2021년03월_남_50~59세,"6,154","1,751","1,752",229,577,327,342,604,205,275,92
2021년03월_남_60~69세,"5,829","1,389","1,294",305,716,384,415,521,272,386,147
2021년03월_남_70~79세,"2,964",623,590,186,383,201,287,274,162,185,73
2021년03월_남_80~89세,"1,257",258,172,95,206,94,147,107,85,65,28
2021년03월_남_90~99세,112,29,23,7,18,9,12,6,4,3,1
2021년03월_남_100세 이상,5,1,2,0,2,0,0,0,0,0,0
2021년03월_여_총인구수,"31,369","9,184","9,515","1,193","2,977","1,410","1,735","2,596",942,"1,372",445
2021년03월_여_연령구간인구수,"31,369","9,184","9,515","1,193","2,977","1,410","1,735","2,596",942,"1,372",445
2021년03월_여_0~9세,"1,956",603,927,33,152,34,27,130,12,32,6
2021년03월_여_10~19세,"2,766",889,"1,255",51,140,33,65,238,30,55,10
2021년03월_여_20~29세,"2,230",817,702,62,163,74,86,183,42,78,23
2021년03월_여_30~39세,"2,634",906,"1,017",68,227,51,60,171,35,80,19
2021년03월_여_40~49세,"4,250","1,359","1,859",92,215,88,108,349,52,107,21
2021년03월_여_50~59세,"5,042","1,624","1,406",174,415,230,246,453,140,277,77
2021년03월_여_60~69세,"5,423","1,424","1,237",268,611,346,394,438,247,333,125
2021년03월_여_70~79세,"3,687",848,632,223,507,281,380,340,204,191,81
2021년03월_여_80~89세,"2,921",619,409,195,477,242,310,252,160,188,69
2021년03월_여_90~99세,451,90,67,27,70,31,59,42,20,31,14
2021년03월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
2021년04월_계_총인구수,"63,573","18,504","19,278","2,412","6,143","2,867","3,448","5,336","1,935","2,749",901
2021년04월_계_연령구간인구수,"63,573","18,504","19,278","2,412","6,143","2,867","3,448","5,336","1,935","2,749",901
2021년04월_계_0~9세,"3,884","1,222","1,812",56,293,67,62,278,18,60,16
2021년04월_계_10~19세,"5,885","1,983","2,628",115,306,77,135,440,56,122,23
2021년04월_계_20~29세,"5,338","2,006","1,566",148,446,172,220,419,113,203,45
2021년04월_계_30~39세,"5,335","1,780","1,911",153,518,142,147,383,86,169,46
2021년04월_계_40~49세,"9,193","2,816","3,746",223,585,266,295,779,157,263,63
2021년04월_계_50~59세,"11,147","3,368","3,152",398,988,553,581,"1,054",343,548,162
2021년04월_계_60~69세,"11,336","2,826","2,546",588,"1,343",733,814,964,527,718,277
2021년04월_계_70~79세,"6,654","1,487","1,229",400,883,480,665,612,363,379,156
2021년04월_계_80~89세,"4,205",888,588,295,687,336,459,356,247,252,97
2021년04월_계_90~99세,583,123,94,36,92,41,70,51,25,35,16
2021년04월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2021년04월_남_총인구수,"32,279","9,322","9,776","1,215","3,180","1,467","1,718","2,771",992,"1,381",457
2021년04월_남_연령구간인구수,"32,279","9,322","9,776","1,215","3,180","1,467","1,718","2,771",992,"1,381",457
2021년04월_남_0~9세,"1,941",623,886,24,142,33,34,153,7,29,10
2021년04월_남_10~19세,"3,135","1,094","1,374",65,167,44,72,212,26,67,14
2021년04월_남_20~29세,"3,129","1,188",874,86,285,105,134,236,71,126,24
2021년04월_남_30~39세,"2,729",882,901,84,298,93,85,216,53,91,26
2021년04월_남_40~49세,"4,964","1,464","1,892",131,373,179,187,437,104,155,42
2021년04월_남_50~59세,"6,142","1,755","1,752",226,578,323,338,603,205,273,89
2021년04월_남_60~69세,"5,883","1,391","1,309",312,727,388,420,527,276,384,149
2021년04월_남_70~79세,"2,976",636,592,183,384,199,286,276,159,188,73
2021년04월_남_80~89세,"1,263",260,171,97,205,94,151,105,86,65,29
2021년04월_남_90~99세,113,29,23,7,19,9,11,6,5,3,1
2021년04월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2021년04월_여_총인구수,"31,294","9,182","9,502","1,197","2,963","1,400","1,730","2,565",943,"1,368",444
2021년04월_여_연령구간인구수,"31,294","9,182","9,502","1,197","2,963","1,400","1,730","2,565",943,"1,368",444
2021년04월_여_0~9세,"1,943",599,926,32,151,34,28,125,11,31,6
2021년04월_여_10~19세,"2,750",889,"1,254",50,139,33,63,228,30,55,9
2021년04월_여_20~29세,"2,209",818,692,62,161,67,86,183,42,77,21
2021년04월_여_30~39세,"2,606",898,"1,010",69,220,49,62,167,33,78,20
2021년04월_여_40~49세,"4,229","1,352","1,854",92,212,87,108,342,53,108,21
2021년04월_여_50~59세,"5,005","1,613","1,400",172,410,230,243,451,138,275,73
2021년04월_여_60~69세,"5,453","1,435","1,237",276,616,345,394,437,251,334,128
2021년04월_여_70~79세,"3,678",851,637,217,499,281,379,336,204,191,83
2021년04월_여_80~89세,"2,942",628,417,198,482,242,308,251,161,187,68
2021년04월_여_90~99세,470,94,71,29,73,32,59,45,20,32,15
2021년04월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
2021년05월_계_총인구수,"63,267","18,363","19,239","2,394","6,100","2,854","3,432","5,318","1,939","2,738",890
2021년05월_계_연령구간인구수,"63,267","18,363","19,239","2,394","6,100","2,854","3,432","5,318","1,939","2,738",890
2021년05월_계_0~9세,"3,841","1,209","1,796",56,285,66,61,278,18,58,14
2021년05월_계_10~19세,"5,866","1,979","2,643",105,296,78,134,431,59,118,23
2021년05월_계_20~29세,"5,292","1,973","1,564",152,446,165,216,418,113,200,45
2021년05월_계_30~39세,"5,288","1,759","1,892",149,510,141,150,387,87,170,43
2021년05월_계_40~49세,"9,113","2,796","3,740",211,577,262,292,758,156,260,61
2021년05월_계_50~59세,"11,086","3,343","3,137",399,978,550,577,"1,062",341,541,158
2021년05월_계_60~69세,"11,362","2,831","2,551",591,"1,349",736,810,966,526,723,279
2021년05월_계_70~79세,"6,644","1,473","1,224",401,879,482,663,616,369,383,154
2021년05월_계_80~89세,"4,191",880,591,297,687,333,459,353,244,251,96
2021년05월_계_90~99세,575,117,97,33,91,41,70,49,26,34,17
2021년05월_계_100세 이상,9,3,4,0,2,0,0,0,0,0,0
2021년05월_남_총인구수,"32,137","9,243","9,774","1,208","3,154","1,460","1,712","2,759",993,"1,378",456
2021년05월_남_연령구간인구수,"32,137","9,243","9,774","1,208","3,154","1,460","1,712","2,759",993,"1,378",456
2021년05월_남_0~9세,"1,928",618,886,24,141,32,33,151,8,27,8
2021년05월_남_10~19세,"3,105","1,083","1,374",58,156,45,72,210,28,65,14
2021년05월_남_20~29세,"3,102","1,167",876,90,284,100,129,237,69,126,24
2021년05월_남_30~39세,"2,705",870,897,80,293,93,87,216,53,91,25
2021년05월_남_40~49세,"4,922","1,459","1,893",127,365,176,186,421,101,152,42
